Aeridani Troopers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Tri_National_Dominion	Carsten Meyer	3	21	60	46	87	90	83	51	27	99	10	89	C+	27	70.08	510	-2	1	90	331
Holy_Yektonisa	Holy Yektonesia Player #3	4	63	18	77	84	52	39	79	10	104	54	74	C+	32	68.23	308	-3	7	122	461
Ethanthova	Ethanthova Player #2	5	54	5	86	89	60	36	65	26	86	50	98	B	29	65.38	310	2	1	180	750
Blaist_Blaland	Blanaxon Player #1	1	88	79	31	30	43	92	41	78	47	53	98	B	30	56.64	152	1	1	243	2383
Ethanthova	Ethanthova Player #3	2	77	41	14	12	25	96	67	98	73	52	61	C+	29	63.43	303	3	1	159	959
Atapwa	Tise Tuni	3	70	65	83	35	44	51	57	59	92	58	86	C+	23	62.94	-1	2	1	212	1064
Blaist_Blaland	Uxku Noxkol	4	82	67	95	86	36	56	62	33	78	91	67	C	24	66.70	-1	2	1	170	591
Blaist_Blaland	Ixbla Kibla	5	68	19	91	92	78	35	63	35	55	54	90	C	31	65.91	307	2	1	175	690
Blaist_Blaland	Blanaxon Player #1	1	88	79	31	30	43	92	41	78	47	53	98	B	30	56.64	152	1	1	243	2383
Transhimalia	Higashi Kiyohira	2	40	49	63	13	26	46	96	90	50	74	92	D+	24	62.15	-1	2	1	229	1237
Blaist_Blaland	Nadaklo Praxo	3	87	20	61	7	47	52	76	55	101	53	101	C	26	62.13	1	2	1	240	1247
Dotruga	Alomibamobei Olalomundi	4	50	31	92	79	68	74	60	10	61	67	60	C	20	65.49	750	1	1	207	730
Bielosia	Kale Khouphongsy	5	53	36	75	44	81	84	48	31	98	38	57	D	22	65.26	-1	2	1	193	770
Bongatar Boppers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Shmupland	Om Kwang-Jo	1	99	60	16	17	40	102	13	84	67	49	84	C+	30	54.84	344	1	1	404	2759
Wyverncliff	Xavier Wells	2	91	91	41	23	44	94	70	90	64	50	72	C	21	66.78	-1	3	1	101	588
Blaist_Blaland	Blanox Proki	3	96	91	92	68	70	49	96	42	45	38	95	C+	22	66.26	-1	2	1	155	640
Dotruga	Dugaro Gagodosa	4	39	27	65	58	62	65	65	31	95	98	70	C	25	64.53	375	2	1	240	846
Bielosia	Keowynn Thepsenavong	5	59	56	60	95	90	90	74	41	66	81	99	D+	20	75.71	-1	3	1	30	106
Darvincia	King	1	37	60	38	42	36	44	80	74	61	51	58	C	28	55.69	787	1	1	342	2569
Transhimalia	Higashi Kiyohira	2	40	49	63	13	26	46	96	90	50	74	92	D+	24	62.15	-1	2	1	229	1237
Ethanthova	Eric Gilroy	3	60	65	68	81	78	80	56	3	71	58	55	B	27	61.82	735	-1	1	270	1306
Wyverncliff	Saiki Udo	4	43	46	69	86	46	75	54	8	75	45	48	B	20	61.19	752	2	1	428	1435
Bongatar	Bongatar Player #1	5	38	7	84	82	84	78	45	40	26	47	95	D+	31	65.24	367	1	1	196	774
Dotruga	Kiromi Hialerko	1	96	101	8	17	42	71	62	82	55	48	45	C+	24	52.30	358	1	1	574	3190
Holykol	dot	2	89	44	18	23	44	98	63	86	48	53	54	C+	25	58.96	675	1	1	373	1843
Wyverncliff	Nathaniel Starks	3	50	52	63	64	75	70	37	37	81	53	55	B	26	60.43	460	2	1	313	1539
Wyverncliff	Saiki Udo	4	43	46	69	86	46	75	54	8	75	45	48	B	20	61.19	752	2	1	428	1435
Key_to_Don	Błá Kánpovŕagá	5	74	9	60	33	96	75	53	69	47	100	73	B	26	61.75	327	1	1	309	1336
Pyxanovia Elites	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Pyxanovia	Pyxanovia Player #1	1	99	65	36	43	9	56	78	81	52	45	55	B+	31	55.23	451	1	1	371	2659
Aeridani	Kompasu Yasuoka	2	64	42	46	35	71	55	78	81	86	27	49	C+	32	65.88	540	-1	1	109	693
Other	Jesse Svensson	3	73	93	100	49	77	93	56	52	63	95	92	C+	26	70.63	-1	2	1	78	296
Lyintaria	Kaili Vatthana	4	33	37	93	28	93	88	60	36	98	75	92	D+	23	72.19	-1	-1	1	46	211
Blaist_Blaland	Ixux Naixi	5	38	48	75	77	103	50	49	46	72	48	50	B	28	66.22	459	1	1	147	641
Pyxanovia	Pyxanovia Player #8	1	103	10	53	46	32	66	57	80	20	48	73	C+	29	52.39	811	1	1	555	3167
Darvincia	Easy	2	42	37	48	49	14	96	61	59	72	54	92	B	27	62.89	666	3	1	187	1088
Czalliso	ilu	3	97	99	85	35	77	79	67	64	66	57	61	C+	20	66.91	-1	1	1	140	576
Sagua	Sagua Player #3	4	17	41	102	96	35	49	68	41	56	47	100	C+	31	67.35	203	1	1	162	537
Ethanthova	Ethanthova Player #2	5	54	5	86	89	60	36	65	26	86	50	98	B	29	65.38	310	2	1	180	750
Pyxanovia	Pyxanovia Player #8	1	103	10	53	46	32	66	57	80	20	48	73	C+	29	52.39	811	1	1	555	3167
Auspikitan	Itausŋaŋufi Utipŋiqe	2	80	37	61	55	20	66	72	75	74	48	46	C+	30	63.38	841	1	1	170	986
Kaeshar	Dipaia Mopke	3	66	72	94	80	52	87	46	32	71	25	73	C	20	66.21	-1	1	1	156	643
Transhimalia	Yuguchi Higashikuni	4	29	38	87	58	59	63	58	13	94	61	70	D	23	64.96	-1	2	1	237	816
Bongatar	Hexar Iode	5	74	50	89	39	96	61	59	42	46	79	90	C	23	64.30	-1	2	1	217	870
Alteus Astronauts	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alukeili Asoertotrisei	1	71	78	38	42	57	80	68	90	58	49	65	B+	28	63.45	35	3	1	86	957
Aiyota	Jumpe	2	83	55	64	59	34	94	30	87	58	52	51	B	28	62.25	59	0	1	227	1221
Shmupland	Om Jae-Wook 	3	23	86	39	23	75	68	84	54	50	100	103	C+	21	58.21	1212	-1	1	389	2055
Holykol	ilu	4	79	73	46	55	56	80	70	33	95	47	66	D	22	63.18	-1	1	1	314	1025
Barsein	A'opi Dova'mar'éxànè	5	46	40	55	88	92	36	88	31	86	33	84	C	23	69.21	-1	2	1	100	391
Shmupland	Chwa Young-Chul	1	91	94	43	20	46	85	64	94	50	81	91	B	20	62.61	-1	1	1	104	1133
Czalliso	tag	2	92	59	36	35	53	46	98	92	56	45	49	C+	29	62.11	452	1	1	239	1259
Shmupland	Om Jae-Wook 	3	23	86	39	23	75	68	84	54	50	100	103	C+	21	58.21	1212	-1	1	389	2055
Lyintaria	Alukeili Himadosadetsei	4	81	27	72	65	52	26	58	42	79	53	69	C+	23	58.81	795	1	1	547	1920
Blaist_Blaland	Zaxkla Kukroda	5	26	23	58	69	100	75	52	27	58	91	84	C+	22	65.20	-1	1	1	198	782
Dtersauuw_Sagua	Tsekon Unup'a	1	76	66	43	43	35	72	49	99	86	61	98	D	27	66.59	-1	1	1	46	615
Dotruga	Osiei Bituna	2	65	75	10	12	18	91	89	77	72	51	47	B	30	60.63	178	2	1	268	1507
Shmupland	Om Jae-Wook 	3	23	86	39	23	75	68	84	54	50	100	103	C+	21	58.21	1212	-1	1	389	2055
Dotruga	Aiyota Player #9	4	30	27	65	67	63	21	65	21	80	46	49	B	29	56.36	563	1	2	622	2418
Blaist_Blaland	Zaxkla Kukroda	5	26	23	58	69	100	75	52	27	58	91	84	C+	22	65.20	-1	1	1	198	782
Naskitrusk Brutes	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Naxnoxsoya Liksov	1	63	95	35	34	44	58	97	70	41	51	93	B	26	58.40	53	1	1	162	2003
Blaist_Blaland	Blanaxon Player #3	2	54	51	63	61	20	101	63	88	50	52	72	C+	32	67.01	153	-2	2	92	563
Tri_National_Dominion	Volker Kluck	3	35	40	95	103	47	49	58	48	84	53	45	C	28	66.94	299	3	1	138	571
Darvincia	Zagësba Daho	4	94	80	94	99	65	74	32	45	93	9	91	C	21	75.64	-1	2	1	30	108
Transhimalia	Sugimoto Masuhiro	5	84	69	93	91	96	38	72	48	73	23	63	C	23	72.35	-1	0	1	63	206
Blaist_Blaland	Kudapa Kaxpa	1	76	45	53	51	25	60	43	89	80	48	62	C	31	60.24	298	1	1	136	1557
Dotruga	Dugaro Himadosadetsei	2	100	100	62	25	57	40	86	60	97	78	98	D+	25	66.89	-1	2	1	95	580
Aeridani	Minamoto Takeji	3	61	37	52	62	56	57	80	59	78	98	90	B	26	64.61	297	2	1	183	839
Barsein	Ametsuchi Sumiteru	4	46	33	56	92	65	64	73	13	86	98	95	C+	21	68.19	-1	2	1	125	465
Wyverncliff	Zac Lolant	5	76	30	56	25	101	62	42	75	65	22	90	B	27	60.89	95	3	1	344	1478
Ethanthova	Dylan Cass	1	66	62	37	27	19	36	79	103	62	82	94	C+	26	58.66	222	1	1	160	1967
Kaeshar	Vipoi Zonaqa	2	93	99	37	21	37	77	79	100	51	75	98	C	23	65.37	-1	1	1	127	752
Antarion	Venkàgttonhasttà Nùŕèodàkpiis	3	91	81	98	24	79	99	70	37	62	62	76	D	23	67.71	-1	1	1	119	488
Auspikitan	Tekle Doko	4	71	5	95	96	57	31	30	32	93	51	86	C	31	67.51	448	3	1	157	528
Wyverncliff	Zac Lolant	5	76	30	56	25	101	62	42	75	65	22	90	B	27	60.89	95	3	1	344	1478
Klákjábo Servals	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Saiki Shunmyo	1	47	67	54	46	23	36	71	97	44	47	94	B+	27	56.93	57	1	1	228	2312
Bielosia	Keahi Saenthavisouk	2	61	79	41	30	47	71	57	86	66	103	69	B	26	61.18	339	2	1	251	1451
Bielosia	Xaisomboun Tayvihane	3	9	88	34	37	94	65	88	35	51	7	96	C	22	59.05	118	1	1	361	1813
Aeridani	Tembin Sho	4	98	91	69	66	78	50	57	28	95	87	94	B	20	67.56	-1	1	1	155	524
Aeridani	Himi Danjuro	5	87	87	99	71	69	81	54	64	61	31	86	C	25	70.65	-1	-2	1	84	292
Dotruga	Omeli Sensoi	1	92	97	27	12	41	73	61	85	32	84	95	C+	22	53.21	-1	1	1	518	3076
Bongatar	Bongatar Player #5	2	31	81	23	18	42	98	62	78	72	46	84	D+	29	63.43	585	3	1	167	967
Bielosia	Xaisomboun Tayvihane	3	9	88	34	37	94	65	88	35	51	7	96	C	22	59.05	118	1	1	361	1813
Aeridani	Hvanne Aeridaniok	4	72	60	91	81	60	60	69	21	56	19	62	C+	31	64.51	94	2	1	242	851
Dotruga	Danomobei Subeina	5	43	44	52	46	104	71	76	49	42	53	56	C	30	63.26	100	2	1	239	1016
Transhimalia	Kajiki Tomoyuki	1	46	30	34	16	17	67	51	73	75	69	74	C	22	54.03	-1	1	1	461	2907
Ethanthova	Bernard Wade	2	61	84	48	35	43	44	48	94	76	104	50	C+	25	58.64	450	1	1	426	1974
Bielosia	Xaisomboun Tayvihane	3	9	88	34	37	94	65	88	35	51	7	96	C	22	59.05	118	1	1	361	1813
Sagua	Kolnu Auprat	4	66	41	93	93	16	44	52	42	74	18	65	B	24	62.18	589	2	1	364	1231
Wyverncliff	Zac Lolant	5	76	30	56	25	101	62	42	75	65	22	90	B	27	60.89	95	3	1	344	1478
Barsein Beggars	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Abosa Aludetsei 	1	37	32	5	10	15	82	94	100	40	56	65	B	24	56.56	1201	1	1	250	2392
Dotruga	Sagomundisei Hisei	2	57	57	46	55	57	80	87	60	78	32	54	D+	28	66.82	142	-2	2	99	584
Shmupland	Om Kwang-Seok	3	52	40	94	89	43	32	64	50	74	46	77	C	29	63.74	150	-3	2.3	191	932
Blaist_Blaland	Uxku Noxkol	4	82	67	95	86	36	56	62	33	78	91	67	C	24	66.70	-1	2	1	170	591
Aiyota	Namia Akaleta	5	27	28	87	85	52	78	63	19	72	54	81	C+	26	66.11	601	2	1	151	665
Darvincia	Center #149	1	37	49	27	34	49	91	50	104	22	51	73	C+	28	55.75	877	1	1	327	2537
Bielosia	Phetdum Somphonpadee	2	70	78	66	76	54	68	40	64	94	12	56	C	36	65.24	600	0	1	130	777
Height_Sagua	Váqáp Vjamhá	3	42	15	48	49	71	89	76	70	40	99	94	C	27	62.45	449	1	1	232	1177
Bielosia	Aulii Thonemany	4	95	85	98	96	41	72	42	39	45	15	90	C+	25	65.29	144	2	1	223	765
Ethanthova	Malcolm Bowyer	5	85	89	66	68	98	57	42	36	93	18	52	C	22	65.31	-1	1	1	184	757
Darvincia	Center #149	1	37	49	27	34	49	91	50	104	22	51	73	C+	28	55.75	877	1	1	327	2537
Dotruga	Alotru Amodetsei 	2	65	29	32	15	37	57	64	83	101	63	74	C	24	63.11	1224	2	1	174	1030
Height_Sagua	Váqáp Vjamhá	3	42	15	48	49	71	89	76	70	40	99	94	C	27	62.45	449	1	1	232	1177
Solea	Hato Yoshifumi	4	70	17	83	83	38	53	48	24	81	53	57	B	27	61.72	721	3	1	381	1344
Ethanthova	Malcolm Bowyer	5	85	89	66	68	98	57	42	36	93	18	52	C	22	65.31	-1	1	1	184	757
Ma-Popá Yiffs	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bongatar	Pusu Iode	1	83	88	27	18	14	58	99	90	73	23	82	D	27	62.66	-1	3	1	100	1126
Dotruga	Atolep Subeina	2	61	81	42	33	13	85	46	99	77	65	57	C	25	63.19	-1	-2	1	173	1024
Dotruga	Olandi Amodetsei 	3	45	24	82	14	81	67	70	77	80	100	48	C	21	65.85	1192	3	1	159	697
Dotruga	Alomibamobei Olalomundi	4	51	30	91	77	71	65	58	9	55	68	61	B	23	63.10	69	2	1	315	1036
Dotruga	Xigasiei Atusin	5	12	27	87	91	63	83	26	35	48	46	47	C	27	60.62	622	2	1	353	1509
Bongatar	Hexar Mann	1	65	85	14	5	8	59	87	77	69	101	88	C	28	55.64	645	0	1	351	2580
Aeridani	Wakayama Higashikuni	2	60	73	40	49	50	77	78	68	56	62	45	B	27	60.52	706	0	1	270	1513
Dotruga	Olandi Amodetsei 	3	45	24	82	14	81	67	70	77	80	100	48	C	21	65.85	1192	3	1	159	697
Aeridani	Sasagawa Bunzo	4	57	68	70	84	41	69	66	44	65	94	76	C	24	64.10	-1	1	1	259	884
Barsein	Guvggillmào Nùx́iś	5	63	51	55	63	85	55	44	40	37	23	76	C+	23	56.04	74	1	1	501	2490
Bongatar	Hexar Mann	1	65	85	14	5	8	59	87	77	69	101	88	C	28	55.64	645	0	1	351	2580
Aeridani	Wakayama Higashikuni	2	60	73	40	49	50	77	78	68	56	62	45	B	27	60.52	706	0	1	270	1513
Dotruga	Olandi Amodetsei 	3	45	24	82	14	81	67	70	77	80	100	48	C	21	65.85	1192	3	1	159	697
Aeridani	Sasagawa Bunzo	4	57	68	70	84	41	69	66	44	65	94	76	C	24	64.10	-1	1	1	259	884
Bielosia	Keahi Bokeo	5	24	13	48	49	40	82	61	33	70	48	54	B	27	53.55	883	1	1	566	3001
Protopolis Progs	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Kaeshar	Eŋipxuk Vokigei	1	72	60	41	18	18	74	90	93	51	27	53	D+	21	60.26	-1	1	1	133	1554
Dotruga	Hevek Gagomos	2	81	38	25	25	81	96	86	88	53	53	79	C+	31	68.17	385	1	1	83	467
Wyverncliff	Juri Perch	3	55	77	73	78	66	46	100	85	59	80	83	C+	28	70.86	388	-3	5.3	75	284
Aeridani	Itso Bigo	4	57	7	87	94	70	9	70	35	102	48	51	C	29	69.24	495	2	1	96	384
Kaeshar	Imuk Poi	5	38	33	67	95	98	36	64	21	70	20	82	C	25	66.62	-1	-2	1	142	612
Solea	kekh okepekít	1	75	89	34	32	27	70	104	69	49	70	76	D+	25	60.18	381	3	1	138	1588
Ethanthova	Dylan Fowler	2	44	102	50	53	45	64	103	79	56	50	45	C+	28	65.83	377	3	1	112	703
Other	Jesse Svensson	3	73	93	100	49	77	93	56	52	63	95	92	C+	26	70.63	-1	2	1	78	296
Dotruga	Veno Kibiget	4	58	19	74	67	60	71	28	41	95	49	47	B	24	63.22	630	1	1	312	1022
Darvincia	Làto Naksik	5	69	14	64	38	74	60	89	75	52	81	58	C+	29	62.38	526	2	1	271	1194
Wyverncliff	Yoade Perch	1	103	69	30	9	37	68	62	79	73	45	46	B	23	56.15	43	1	1	279	2448
Bielosia	Phetdum Phanivong	2	61	44	46	62	79	87	51	78	69	38	54	C	34	65.70	930	1	1	120	715
Blaist_Blaland	Ixbla Naxki	3	92	67	59	42	40	86	53	99	79	46	96	C+	24	67.22	-1	3	1	130	554
Sagua	Harver Borelli	4	6	11	96	97	8	44	32	33	102	46	88	D	26	64.47	619	2	1	244	853
Darvincia	Làto Naksik	5	69	14	64	38	74	60	89	75	52	81	58	C+	29	62.38	526	2	1	271	1194
Holylmao Bison	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	P'uyo Lek'at	1	73	59	49	12	11	75	70	95	68	33	92	C	26	62.78	-1	1	1	93	1119
Kaeshar	Makiaipisi Nitip	2	73	66	66	44	46	86	57	80	91	50	79	C	23	71.35	-1	1	1	45	251
Holykol	hax	3	23	69	95	99	31	91	51	7	75	52	68	C	30	64.93	428	3	1	177	818
Aiyota	Namia	4	51	67	92	63	74	36	62	9	100	61	78	D+	21	67.18	-1	2	1	167	557
Pyxanovia	Akamu Cheruene	5	72	31	62	50	99	64	70	92	68	42	67	C+	30	69.16	268	2	1	103	395
Darvincia	Zagësba Kanix	1	77	60	19	15	12	75	68	97	59	28	64	C+	19	56.65	-1	1	1	235	2375
Czalliso	ilu	2	93	90	61	29	34	95	77	61	50	18	90	C	20	63.91	-1	1	1	149	907
Dtersauuw_Sagua	Tsekon Wap't'ebw	3	56	77	74	72	20	88	37	59	58	53	101	C	24	60.35	434	3	1	315	1552
Aeridani	Suda Hideki	4	75	70	81	70	67	41	41	31	87	73	82	C	22	63.71	-1	3	1	286	935
Height_Sagua	Height Sagua Player #2	5	8	35	89	91	62	79	46	26	54	53	104	C	28	66.37	646	1	1	143	634
Darvincia	Zagësba Kanix	1	77	60	19	15	12	75	68	97	59	28	64	C+	19	56.65	-1	1	1	235	2375
Ethanthova	Bruce Mack	2	77	85	19	14	15	65	95	103	35	39	74	D+	25	57.97	147	1	1	464	2128
Dotruga	Danomobei Kixidosu	3	39	36	78	47	81	34	78	90	45	11	95	F+	21	63.40	-1	2	1	193	972
Aeridani	Hiroshima Yakumo	4	71	53	101	98	15	62	44	37	61	78	77	D+	27	63.42	253	1	1	296	970
Holykol	quj	5	61	21	103	100	74	70	9	38	41	54	45	C+	30	61.21	432	2	1	334	1430
Aahrus Goosi	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Other	Max Jordanov	1	80	100	32	17	19	57	90	91	54	42	72	C	21	58.32	-1	1	1	180	2034
Darvincia	Easy	2	42	37	48	49	14	96	61	59	72	54	92	B	27	62.89	666	3	1	187	1088
Aeridani	Kawata Hirokazu	3	76	86	66	80	41	60	90	65	66	71	97	C+	25	67.83	6	2	1	115	479
Loviniosa	Phetdum Phanivong	4	56	31	58	57	42	58	60	26	78	49	97	C+	23	57.95	660	1	1	586	2134
Ethanthova	Gerard Mortlock	5	39	27	98	97	81	72	62	13	69	72	67	C	28	71.63	13	-1	8	71	234
Other	Nathaniel Fine	1	76	68	40	13	25	72	42	92	68	71	94	C	24	57.66	-1	0	1	201	2185
Other	Yoade Turner	2	97	94	43	16	30	37	63	95	65	10	96	C+	20	58.11	-1	0	1	446	2074
Dotruga	Olandi Amodetsei 	3	45	24	82	14	81	67	70	77	80	100	48	C	21	65.85	1192	3	1	159	697
Nja	Śonpennneŕgomà Luʃpùwàrpèćii	4	81	80	84	55	33	55	57	31	58	9	82	C	21	56.44	-1	1	1	620	2405
Czalliso	app	5	35	39	90	58	96	45	65	43	96	41	77	C+	21	69.95	-1	1	1	91	341
Aahrus	Aahrus Player #2	1	82	78	18	21	27	104	48	89	41	50	69	B	29	55.32	7	1	1	363	2646
Other	Yoade Turner	2	97	94	43	16	30	37	63	95	65	10	96	C+	20	58.11	-1	0	1	446	2074
Height_Sagua	Váqáp Vjamhá	3	42	15	48	49	71	89	76	70	40	99	94	C	27	62.45	449	1	1	232	1177
Nja	Śonpennneŕgomà Luʃpùwàrpèćii	4	81	80	84	55	33	55	57	31	58	9	82	C	21	56.44	-1	1	1	620	2405
Holykol	kaf	5	83	56	81	62	98	82	30	24	66	63	97	C	21	67.01	-1	1	1	133	563
Boston Beavers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Kawaii Thepsenavong	1	100	93	14	10	33	60	65	91	87	57	79	C	22	59.54	-1	1	1	151	1706
Dotruga	Alukeili Asolomundi	2	61	74	71	55	62	70	87	89	67	44	91	B+	37	73.85	676	0	1	26	155
Aeridani	Kawata Hirokazu	3	76	86	66	80	41	60	90	65	66	71	97	C+	25	67.83	6	2	1	115	479
Aeridani	Yabuta Higashikuni	4	92	79	97	51	74	67	60	7	91	59	70	D+	21	67.71	-1	2	1	131	495
Tri_National_Dominion	Alfred Unterberger	5	47	73	91	83	35	76	63	6	65	33	45	C+	26	60.21	541	-1	1	368	1579
Aeridani	Yamazaki Senichi	1	96	102	19	19	17	94	52	68	83	14	97	D+	27	59.74	265	1	1	144	1669
Pentadominion	Noùpexi Dova'mar'éxànè	2	100	90	74	9	52	65	76	55	67	73	62	B	20	61.12	-1	2	1	253	1463
Bongatar	Bongatar Player #9	3	10	19	100	102	100	34	34	20	80	49	64	C+	31	65.12	698	1	1	166	792
Aeridani	Siolle Lago	4	23	30	91	89	54	71	26	35	63	45	53	B	30	62.48	269	2	1	355	1168
