University of Pxalit'k'a	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
University of Sande Sitei	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Darvincia	The Moo Rrasab	1	39	38	6	16	15	37	40	118	21	86	62	C	18	41.03	-1	1	1	0	0
Darvincia	Atrêsga Sikasbë	2	14	21	25	5	7	22	30	13	25	52	90	D	20	23.88	-1	1	1	0	0
Darvincia	Tapan Daho	3	38	48	15	17	14	42	33	11	65	52	55	C	19	31.97	-1	1	1	0	0
Darvincia	Tapan Kanix	4	12	8	26	13	15	26	29	14	13	90	60	F+	21	21.07	-1	1	1	0	0
Darvincia	Asdëk Rrasab	5	9	8	25	18	20	6	21	9	12	9	52	D+	18	17.91	-1	1	1	0	0
Darvincia	Zagësba Osia	1	21	24	22	16	22	26	29	48	16	68	82	F+	18	28.95	-1	1	1	0	0
Darvincia	Nàsà Cows	2	51	59	27	68	37	32	68	98	66	54	109	C	20	60.90	-1	1	1	0	0
Darvincia	The Moo Azaska	3	146	139	57	30	84	47	68	54	68	33	86	D	21	60.58	-1	1	1	0	0
Darvincia	Cabodu Ūnā	4	45	50	66	32	25	40	36	16	64	95	95	D	21	45.02	-1	1	1	0	0
Darvincia	Nàsà Cows	5	21	18	49	36	50	18	47	12	30	37	66	F+	21	37.14	-1	1	1	0	0
Darvincia	Zagësba Kanix	1	68	54	27	22	19	69	81	91	48	34	57	C+	18	56.22	-1	1	1	0	0
Darvincia	Cabodu Gasbërr	2	92	105	80	25	44	52	74	117	48	100	84	C+	21	68.31	-1	1	1	0	0
Darvincia	Cabodu Sikasbë	3	17	20	24	13	18	22	22	14	13	47	83	D+	18	21.28	-1	1	1	0	0
Darvincia	Zagësba Sokàtà	4	52	56	46	69	35	37	54	37	27	65	69	D	20	44.74	-1	1	1	0	0
Darvincia	Kardo Ūnā	5	49	46	38	33	57	27	40	32	65	33	57	D+	21	41.82	-1	1	1	0	0
University of Kap'atŋpiri	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Oesa	Nouka Lereŋ	1	37	37	32	12	33	7	26	72	30	52	74	F+	20	33.04	-1	1	1	0	0
Oesa	Nouka Lome	2	46	34	10	10	20	33	17	35	22	6	57	C	20	24.63	-1	1	1	0	0
Oesa	Oevu Lereŋ	3	71	75	37	54	44	43	34	29	44	62	93	D	20	43.38	-1	1	1	0	0
Oesa	Olue Porewo	4	44	37	28	26	27	56	32	6	33	8	72	F+	19	32.52	-1	1	1	0	0
Oesa	Olue Lereŋ	5	27	15	23	11	31	28	20	12	9	74	83	D+	19	23.40	-1	1	1	0	0
Oesa	Piri Aq'aie	1	31	26	24	12	14	46	38	36	32	56	65	D	21	32.98	-1	1	1	0	0
Oesa	Tise Atona	2	32	28	51	23	9	26	16	24	55	82	53	F	20	32.12	-1	1	1	0	0
Oesa	Nouka Aq'aie	3	45	47	55	63	79	42	79	17	80	63	71	C	20	59.98	-1	1	1	0	0
Oesa	Oevu Porewo	4	57	73	45	17	45	20	49	19	56	92	68	C	19	38.76	-1	1	1	0	0
Oesa	Olue Aq'aie	5	24	19	29	11	29	16	26	22	23	85	57	D	20	23.74	-1	1	1	0	0
Oesa	Nouka Epi	1	18	30	18	15	16	28	26	59	41	81	69	D	21	33.40	-1	1	1	0	0
Oesa	Tise Aq'aie	2	38	38	14	16	17	48	38	48	20	40	79	F+	21	33.82	-1	1	1	0	0
Oesa	Nouka Lereŋ	3	33	34	47	35	21	36	51	11	35	29	96	D+	18	37.36	-1	1	1	0	0
Oesa	Apu Tuni	4	49	42	50	76	26	52	48	14	60	39	63	D	20	49.69	-1	1	1	0	0
Oesa	Tise Pitwa	5	52	65	39	32	36	25	37	24	25	49	85	D+	18	34.39	-1	1	1	0	0
University of Futi'akep	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Futiakep	Oevu Tuni	1	56	61	25	13	18	37	31	48	17	67	100	C	19	32.56	-1	1	1	0	0
Futiakep	Lekena Epi	2	44	52	35	8	29	15	40	56	44	53	92	D+	19	38.38	-1	1	1	0	0
Futiakep	Paekua Pitwa	3	27	23	17	10	14	11	15	7	27	41	67	D	21	18.09	-1	1	1	0	0
Futiakep	Oevu Pitwa	4	56	51	29	67	46	56	49	34	44	21	83	C+	19	48.14	-1	1	1	0	0
Futiakep	Nouka Epi	5	27	17	28	39	26	23	38	14	13	45	73	F+	19	28.87	-1	1	1	0	0
Futiakep	Paekua Epi	1	83	77	33	22	26	64	73	40	52	80	71	C	21	49.12	-1	1	1	0	0
Futiakep	Tise Lome	2	62	49	36	9	23	65	33	71	28	37	85	D	19	44.28	-1	1	1	0	0
Futiakep	Piri Porewo	3	43	63	40	25	36	70	38	44	44	10	70	D	21	44.02	-1	1	1	0	0
Futiakep	Lekena Epi	4	31	42	42	28	43	33	19	10	35	26	96	D	18	34.72	-1	1	1	0	0
Futiakep	Nouka Atona	5	25	30	53	56	81	29	22	15	37	30	58	D	20	44.13	-1	1	1	0	0
Futiakep	Olue Pitwa	1	67	74	33	11	5	59	50	92	37	46	79	C	19	48.24	-1	1	1	0	0
Futiakep	Paekua Epi	2	74	86	63	23	22	53	56	113	107	52	83	C+	19	71.46	-1	1	1	0	0
Futiakep	Paekua Atona	3	38	49	44	25	19	52	51	12	66	99	65	D+	21	41.87	-1	1	1	0	0
Futiakep	Piri Tuni	4	75	86	54	42	14	24	49	16	29	18	50	C	18	35.16	-1	1	1	0	0
Futiakep	Apu Atona	5	10	11	17	6	20	16	10	23	12	37	91	C	18	18.22	-1	1	1	0	0
University of Atapwa	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Atapwa	Piri Epi	1	63	68	11	10	8	5	22	33	5	27	96	C	18	19.15	-1	1	1	0	0
Atapwa	Piri Lome	2	24	15	10	5	16	24	24	30	12	30	76	F+	21	21.82	-1	1	1	0	0
Atapwa	Paekua Pitwa	3	23	21	27	10	13	5	16	5	10	77	89	F+	20	16.57	-1	1	1	0	0
Atapwa	Apu Tuni	4	5	13	19	17	17	6	54	8	5	22	48	D+	19	18.97	-1	1	1	0	0
Atapwa	Olue Pitwa	5	60	38	31	61	61	44	15	20	57	14	60	C+	19	42.76	-1	1	1	0	0
Atapwa	Olue Porewo	1	19	24	20	14	24	11	19	17	12	8	89	F	18	19.67	-1	1	1	0	0
Atapwa	Paekua Atona	2	46	49	16	17	36	29	25	79	19	93	73	C	19	35.25	-1	1	1	0	0
Atapwa	Tise Tuni	3	48	67	75	29	33	42	50	29	77	52	77	C+	20	51.31	-1	1	1	0	0
Atapwa	Nouka Aq'aie	4	18	17	23	22	24	13	11	9	11	28	91	D	21	20.56	-1	1	1	0	0
Atapwa	Olue Aq'aie	5	52	47	45	48	49	30	18	12	19	15	91	F+	21	36.16	-1	1	1	0	0
Atapwa	Tise Pitwa	1	99	99	10	8	7	14	14	65	54	54	76	D	18	32.03	-1	1	1	0	0
Atapwa	Nouka Pitwa	2	78	76	30	20	29	53	40	45	38	75	100	D	20	42.42	-1	1	1	0	0
Atapwa	Nouka Lome	3	45	36	28	26	23	18	35	30	38	53	70	D	18	30.87	-1	1	1	0	0
Atapwa	Piri Lome	4	30	27	21	28	22	36	13	14	48	72	52	D+	18	28.41	-1	1	1	0	0
Atapwa	Paekua Porewo	5	18	25	60	35	76	75	41	29	42	53	60	C	19	52.36	-1	1	1	0	0
University of Hinaika Oceanography Institute	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Hinaika	Olue Epi	1	58	54	7	12	18	28	43	65	58	22	77	D+	18	39.56	-1	1	1	0	0
Hinaika	Olue Pitwa	2	148	130	43	40	22	83	59	105	31	54	71	D+	21	60.74	-1	1	1	0	0
Hinaika	Oevu Lome	3	17	25	29	15	15	23	15	9	19	66	73	D	21	21.06	-1	1	1	0	0
Hinaika	Piri Tuni	4	25	30	30	39	23	15	22	5	51	66	47	F+	19	29.76	-1	1	1	0	0
Hinaika	Tise Atona	5	10	7	42	9	29	16	20	14	23	93	60	D+	21	23.79	-1	1	1	0	0
Hinaika	Olue Aq'aie	1	36	46	24	23	21	20	34	40	53	80	84	C	18	35.28	-1	1	1	0	0
Hinaika	Piri Lome	2	74	82	25	18	16	63	61	47	30	28	72	C	18	43.05	-1	1	1	0	0
Hinaika	Paekua Porewo	3	37	38	44	16	39	37	18	66	28	17	75	C	19	36.34	-1	1	1	0	0
Hinaika	Oevu Porewo	4	23	18	58	38	12	47	33	35	19	75	98	C	20	37.37	-1	1	1	0	0
Hinaika	Tise Aq'aie	5	15	27	83	33	70	14	67	68	50	7	103	D+	18	55.00	-1	1	1	0	0
Hinaika	Olue Epi	1	35	33	41	21	12	34	33	40	16	46	55	D+	18	30.08	-1	1	1	0	0
Hinaika	Nouka Epi	2	22	22	19	10	10	17	16	44	18	90	84	D+	18	24.33	-1	1	1	0	0
Hinaika	Paekua Porewo	3	21	26	26	18	26	38	38	43	20	81	89	D	18	32.14	-1	1	1	0	0
Hinaika	Paekua Tuni	4	9	11	25	48	36	33	27	10	46	58	59	D	19	34.62	-1	1	1	0	0
Hinaika	Lekena Aq'aie	5	36	38	103	48	44	33	81	19	88	36	55	D	21	58.54	-1	1	1	0	0
University of Auspikitan	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Auspikitan	Kudqoatlop Nide	1	47	28	19	9	16	43	15	66	83	91	95	C	18	43.93	-1	1	1	0	0
Auspikitan	Makiaipisi Fana	2	22	17	31	14	32	31	27	17	20	49	79	D	18	27.00	-1	1	1	0	0
Auspikitan	Taneba Zonaqa	3	21	17	34	21	6	20	37	48	28	30	90	D+	21	30.75	-1	1	1	0	0
Auspikitan	Eiqe Depazeoni	4	69	71	65	35	23	44	35	43	84	91	53	D+	19	48.82	-1	1	1	0	0
Auspikitan	Klegna Vokigei	5	10	14	14	33	32	44	11	36	8	31	70	F	19	26.91	-1	1	1	0	0
Auspikitan	Biplatza Nide	1	68	74	14	22	29	20	58	119	64	29	92	D+	20	53.48	-1	1	1	0	0
Auspikitan	Nio Kivi	2	52	52	23	31	14	54	16	68	40	26	57	D+	19	39.12	-1	1	1	0	0
Auspikitan	Kipana Kateni	3	51	52	35	22	39	61	83	34	51	35	76	D	19	48.46	-1	1	1	0	0
Auspikitan	Pau Nibrit	4	35	50	51	40	52	52	71	20	68	78	94	D	21	53.64	-1	1	1	0	0
Auspikitan	Oiŋi Finapeke	5	56	41	54	85	80	56	77	27	74	71	98	D	20	67.29	-1	1	1	0	0
Auspikitan	Pezi Aivik	1	32	45	34	19	17	57	47	120	71	14	95	C	19	59.83	-1	1	1	0	0
Auspikitan	Iveo Vuki	2	71	37	50	18	14	16	38	101	57	62	88	D+	20	49.60	-1	1	1	0	0
Auspikitan	Dezik Fekku	3	52	45	47	27	74	45	92	23	17	94	54	F+	21	45.08	-1	1	1	0	0
Auspikitan	Ivi Vokigei	4	41	43	82	59	47	55	13	31	57	13	89	C+	20	53.04	-1	1	1	0	0
Auspikitan	Nio Depazeoni	5	28	24	39	37	65	18	18	23	43	28	77	D+	18	37.13	-1	1	1	0	0
University of Alteus	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Wyverncliff	Steve Svensson	1	73	63	39	10	68	61	59	124	71	8	52	C	18	64.25	-1	1	1	0	0
Wyverncliff	Bob Byrne	2	61	53	30	6	40	48	19	50	58	19	67	D	20	40.47	-1	1	1	0	0
Wyverncliff	Yoade McBob	3	39	21	37	9	32	20	44	35	58	20	50	D+	18	35.56	-1	1	1	0	0
Wyverncliff	Brian McSteve	4	38	39	23	22	28	18	26	12	42	74	49	F	20	26.73	-1	1	1	0	0
Wyverncliff	Max Starks	5	32	32	71	40	72	36	30	28	45	38	81	C+	21	48.13	-1	1	1	0	0
Wyverncliff	Quinten Perch	1	61	72	31	17	22	63	65	85	30	66	98	D+	18	51.26	-1	1	1	0	0
Wyverncliff	Nathaniel Lolant	2	90	83	22	27	30	59	61	91	68	54	67	C+	21	57.53	-1	1	1	0	0
Wyverncliff	Alex Keaton	3	35	37	38	20	37	71	33	41	42	34	69	D	19	41.66	-1	1	1	0	0
Wyverncliff	Pat Wells	4	50	72	84	38	48	30	48	9	83	14	89	D	21	54.38	-1	1	1	0	0
Wyverncliff	Doran Tooli	5	29	29	61	46	97	75	53	28	53	87	83	D+	18	61.68	-1	1	1	0	0
Wyverncliff	Thomas Byrne	1	92	96	9	27	25	78	35	84	56	53	87	C	18	51.69	-1	1	1	0	0
Wyverncliff	Daniel Keaton	2	93	97	68	51	39	74	97	109	60	30	87	C+	21	76.09	-1	1	1	0	0
Wyverncliff	Johan Turner	3	58	60	76	52	29	44	19	26	43	25	66	C+	18	42.60	-1	1	1	0	0
Wyverncliff	Shadd Drake	4	91	83	93	115	17	81	68	30	58	102	92	C+	19	70.14	-1	1	1	0	0
Wyverncliff	Travis Wells	5	36	34	39	40	80	37	35	43	76	38	74	D+	20	50.17	-1	1	1	0	0
University of Saelunavvk	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Solea	lagak tepal	1	105	109	21	38	54	45	80	85	80	71	94	C+	18	62.70	-1	1	1	0	0
Solea	zepkék kitet	2	55	48	15	14	35	15	50	48	56	44	81	F+	18	38.52	-1	1	1	0	0
Solea	petgek zaiqatpit	3	56	83	50	17	35	55	44	32	63	94	72	C+	19	45.60	-1	1	1	0	0
Solea	napuk aiqík	4	52	55	36	44	41	19	56	24	63	92	71	D	18	43.25	-1	1	1	0	0
Solea	tikit' kuvkithet	5	25	17	46	54	41	26	58	8	7	30	67	D+	18	37.67	-1	1	1	0	0
Solea	pukaktál lekeŋ	1	36	32	38	10	11	49	20	50	16	54	57	D+	18	30.82	-1	1	1	0	0
Solea	vaŋun tŋken	2	41	42	13	9	46	38	25	109	39	44	66	D	19	44.48	-1	1	1	0	0
Solea	petgek átnhílekh	3	73	69	30	19	70	69	50	30	90	39	88	C	21	55.03	-1	1	1	0	0
Solea	tikit' aiqík	4	83	75	103	51	65	21	36	44	63	85	64	D+	21	57.13	-1	1	1	0	0
Solea	napuk pátélokain	5	69	81	58	37	62	15	34	45	32	45	65	D+	18	41.32	-1	1	1	0	0
Solea	zepkék kutap	1	77	89	26	34	8	48	14	80	48	70	73	D	18	42.13	-1	1	1	0	0
Solea	kakuzek pátélokain	2	83	78	54	17	13	41	47	85	26	13	83	D+	19	46.98	-1	1	1	0	0
Solea	pekleɰ upaiktotgekóg	3	39	49	43	34	39	26	34	34	45	49	58	D	18	37.55	-1	1	1	0	0
Solea	kekh lekeŋ	4	68	73	89	56	58	87	76	25	66	81	88	D+	19	67.47	-1	1	1	0	0
Solea	zepkék okepekít	5	57	47	54	80	81	25	31	33	33	8	52	D	18	48.97	-1	1	1	0	0
University of Nausicaa	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Nausicaa	Nàsà Cows	1	32	30	15	8	5	21	7	25	22	19	71	D+	20	19.22	-1	1	1	0	0
Nausicaa	Tapan Kanix	2	56	48	11	23	38	16	34	29	36	86	79	D	19	29.68	-1	1	1	0	0
Nausicaa	Bá Kánpovŕagá	3	25	30	68	31	28	33	28	40	27	54	94	F+	21	38.66	-1	1	1	0	0
Nausicaa	Tapan Sikasbë	4	26	22	34	40	25	30	24	11	50	50	59	C+	20	33.68	-1	1	1	0	0
Nausicaa	Kardo Cows	5	19	13	69	48	67	28	20	21	17	38	89	F+	20	42.19	-1	1	1	0	0
Nausicaa	Kĺokŕañhá Blamhákpwano	1	33	28	16	13	22	44	35	48	53	25	58	D	20	37.17	-1	1	1	0	0
Nausicaa	Vŕá Płońiblá	2	28	31	38	13	12	48	17	48	12	32	58	D+	20	30.26	-1	1	1	0	0
Nausicaa	Mom Slivókŕámhomhók	3	35	52	84	34	28	45	67	19	39	12	90	D+	20	47.82	-1	1	1	0	0
Nausicaa	Ǵŕópjó Słanák	4	34	24	103	50	23	30	48	19	53	85	92	C	21	51.59	-1	1	1	0	0
Nausicaa	Mazló Nasa	5	52	47	52	53	72	64	26	18	25	51	81	C	19	48.17	-1	1	1	0	0
Nausicaa	Sávákán Vanho	1	54	51	24	12	13	26	77	76	16	38	84	C	18	40.66	-1	1	1	0	0
Nausicaa	Tapan Sikasbë	2	71	65	29	38	43	30	34	69	38	86	54	C	18	41.26	-1	1	1	0	0
Nausicaa	Mi'ódá Zlánáḿ	3	90	76	50	45	62	53	62	32	77	52	98	D+	18	57.88	-1	1	1	0	0
Nausicaa	Kĺokŕañhá Qlámipanońqo	4	36	33	38	56	51	16	8	26	10	21	63	D+	18	31.32	-1	1	1	0	0
Nausicaa	Atrêsga Cows	5	45	45	85	69	129	49	65	46	58	81	80	C	21	73.06	-1	1	1	0	0
University of Noxium	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Sokolnox Zaxau	1	27	16	11	24	22	33	11	54	30	81	67	D+	19	29.28	-1	1	1	0	0
Blaist_Blaland	Sopratyabla Kolau	2	42	32	44	11	17	51	31	32	47	27	58	D+	20	37.56	-1	1	1	0	0
Blaist_Blaland	Lato Tanpratia	3	25	34	12	15	41	16	33	49	32	73	66	D+	19	29.65	-1	1	1	0	0
Blaist_Blaland	Nuux Zaxau	4	55	59	45	28	17	23	23	18	78	61	102	D+	19	39.65	-1	1	1	0	0
Blaist_Blaland	Noxrit Idaso	5	8	5	8	11	16	15	16	15	25	7	52	F	19	16.45	-1	1	1	0	0
Blaist_Blaland	Pratnoxpro Pasovya	1	73	67	22	29	13	47	30	60	36	21	65	C	18	38.02	-1	1	1	0	0
Blaist_Blaland	Kolpa Faraulik	2	50	64	25	22	21	35	22	48	48	40	98	D	21	37.76	-1	1	1	0	0
Blaist_Blaland	Kuilikki Idaso	3	50	55	74	39	67	35	51	50	40	50	59	C	20	49.85	-1	1	1	0	0
Blaist_Blaland	Nukunaix Lizaxium	4	37	35	100	59	24	63	66	32	84	52	68	C	20	63.48	-1	1	1	0	0
Blaist_Blaland	Noxuxnaix Proki	5	21	21	57	71	69	39	20	16	31	89	72	C	20	45.88	-1	1	1	0	0
Blaist_Blaland	Sovlik Naxix	1	33	25	15	9	26	36	52	88	27	78	70	C+	18	40.68	-1	1	1	0	0
Blaist_Blaland	Lakolku Krofar	2	82	81	47	8	6	55	57	40	28	54	77	C	18	41.30	-1	1	1	0	0
Blaist_Blaland	Blanox Liksov	3	60	73	70	15	28	55	60	124	80	40	90	C	21	63.50	-1	1	1	0	0
Blaist_Blaland	Uxku Noxkol	4	38	35	42	26	11	21	13	39	48	92	69	F+	18	31.26	-1	1	1	0	0
Blaist_Blaland	Sopratyabla Kaxpa	5	17	21	21	46	21	41	24	47	22	71	67	C+	18	31.40	-1	1	1	0	0
University of Prokax	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Farbla Kolau	1	28	59	20	16	35	39	34	61	35	94	77	D+	21	38.06	-1	1	1	0	0
Blaist_Blaland	Noxuxnaix Kaxfar	2	52	50	21	23	14	17	24	50	28	49	83	F+	19	30.14	-1	1	1	0	0
Blaist_Blaland	Danax Naxkro	3	28	28	15	7	24	14	25	14	40	73	80	D+	21	24.16	-1	1	1	0	0
Blaist_Blaland	Ikkrosovi Kolpauxso	4	92	92	26	65	25	27	43	32	53	72	85	C	20	42.65	-1	1	1	0	0
Blaist_Blaland	Autanblanaix Ritkropro	5	31	27	51	70	91	23	35	19	77	88	81	C	20	54.41	-1	1	1	0	0
Blaist_Blaland	Blalikki Uxyakro	1	56	52	11	5	16	61	43	93	37	74	77	F+	19	45.05	-1	1	1	0	0
Blaist_Blaland	Uxproku Tanpratia	2	52	56	42	11	66	21	38	63	54	59	64	C+	20	43.97	-1	1	1	0	0
Blaist_Blaland	Kilik Ixau	3	29	31	36	23	9	19	32	38	36	44	64	D	19	29.78	-1	1	1	0	0
Blaist_Blaland	Kudapa Tanpratia	4	65	69	70	78	36	52	53	19	69	95	66	C	21	57.24	-1	1	1	0	0
Blaist_Blaland	Kunaix Lizaxium	5	19	31	40	51	107	62	36	42	69	88	83	C	22	59.61	-1	1	1	0	0
Blaist_Blaland	Blanoxium Dazaxka	1	18	9	17	14	6	30	11	7	21	48	95	D+	18	20.14	-1	1	1	0	0
Blaist_Blaland	Farbla Noxkol	2	49	35	18	23	23	63	36	30	6	62	71	D+	18	31.44	-1	1	1	0	0
Blaist_Blaland	Danax Kolau	3	77	72	93	23	71	70	67	66	92	30	69	D+	19	69.75	-1	1	1	0	0
Blaist_Blaland	Nuux Ixau	4	11	8	25	11	16	8	6	6	15	71	87	D	18	17.14	-1	1	1	0	0
Blaist_Blaland	Kaxnaixfar Toso	5	40	41	79	86	92	73	70	47	57	56	82	C	19	72.56	-1	1	1	0	0
University of Klanaxon	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Hjeki Kaxbla	1	92	90	24	13	17	17	34	63	19	42	51	F+	18	30.19	-1	1	1	0	0
Blaist_Blaland	Kolnu Kiixrit	2	66	76	26	18	34	58	37	31	20	82	83	C	19	35.94	-1	1	1	0	0
Blaist_Blaland	Nuux Naxki	3	46	40	63	33	40	69	50	21	65	89	70	C	19	50.82	-1	1	1	0	0
Blaist_Blaland	Nukunaix Prokexov	4	28	30	12	12	23	29	9	12	29	8	63	F+	19	20.64	-1	1	1	0	0
Blaist_Blaland	Noxku Sovkol	5	33	21	52	48	70	26	42	30	18	51	68	D	21	43.04	-1	1	1	0	0
Blaist_Blaland	Sopratyabla Kroda	1	74	72	37	24	26	21	27	92	32	78	64	C	18	39.88	-1	1	1	0	0
Blaist_Blaland	Blanox Noxtan	2	72	79	30	25	18	63	52	63	18	38	101	C	20	44.96	-1	1	1	0	0
Blaist_Blaland	Sopratyabla Ix	3	49	48	83	47	60	56	31	20	38	77	93	D+	21	49.41	-1	1	1	0	0
Blaist_Blaland	Lakolku Ixau	4	62	65	54	24	23	8	15	13	30	26	88	D+	19	29.39	-1	1	1	0	0
Blaist_Blaland	Lato Noxkol	5	5	11	45	39	117	75	29	42	30	52	63	D+	18	55.50	-1	1	1	0	0
Blaist_Blaland	Sokolnox Ikro	1	32	34	38	14	35	50	38	122	54	31	76	C	18	54.66	-1	1	1	0	0
Blaist_Blaland	Ixux Ito	2	47	35	62	35	47	30	51	74	44	6	85	D+	18	51.25	-1	1	1	0	0
Blaist_Blaland	Uxku Kibla	3	72	77	15	22	23	44	64	59	44	66	65	D+	18	40.50	-1	1	1	0	0
Blaist_Blaland	Sovnox Hjetohje	4	59	43	44	49	20	61	54	12	37	26	101	C	21	43.83	-1	1	1	0	0
Blaist_Blaland	Ixux Kurit	5	30	26	18	61	98	77	32	15	35	91	62	C	18	51.34	-1	1	1	0	0
University of Naxda	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Zax Kibla	1	93	86	34	11	9	75	43	50	46	32	51	D	18	43.82	-1	1	1	0	0
Blaist_Blaland	Sovhjekax Bla	2	20	20	25	12	16	7	6	14	18	26	78	F	19	17.12	-1	1	1	0	0
Blaist_Blaland	Sokolnox Uxyakro	3	78	73	73	32	51	62	55	65	42	65	59	D+	19	53.65	-1	1	1	0	0
Blaist_Blaland	Sovtanzax Pasovya	4	13	13	15	21	21	12	22	15	18	85	73	F+	21	20.53	-1	1	1	0	0
Blaist_Blaland	Tansov Uxyakro	5	24	18	52	32	49	17	29	35	21	103	71	D	20	34.94	-1	1	1	0	0
Blaist_Blaland	Tonox Naxix	1	39	39	5	8	21	53	12	34	20	64	86	D	18	26.92	-1	1	1	0	0
Blaist_Blaland	Blalikki Hjetohje	2	24	22	17	16	16	19	23	36	23	40	73	D	21	25.26	-1	1	1	0	0
