University of Pxalit'k'a players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
University of Kap'atŋpiri players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Apu Epi,64,2685,24,0,0,0,0,0,0,0,0,0,0,885,216,669,0,4,2,50, -5.9375
Oevu Atona,36,1467,101,377,405,184,45.4320987654321,0,0,26,9,64,4,257,56,201,43,671,355,52.9061102831595, -7.86111111111111
Paekua Lereŋ,37,1554,484,813,737,324,43.9620081411126,249,59,45,24,76,18,226,52,174,37,677,340,50.2215657311669, -7.16216216216216
Apu Tuni,32,1517,76,932,814,354,43.4889434889435,389,88,36,17,82,13,177,38,139,29,642,310,48.2866043613707, -8.375
Apu Lereŋ,64,3034,452,672,689,325,47.1698113207547,0,0,48,22,126,48,383,95,288,41,1291,628,48.6444616576297, -6.390625
Oevu Pitwa,4,43,0,0,0,0,0,0,0,0,0,0,0,14,3,11,0,0,0,0, -0.75
Apu Lereŋ,16,280,18,116,145,54,37.2413793103448,0,0,16,8,15,4,41,6,35,33,129,62,48.062015503876, -3.25
Apu Lereŋ,12,208,39,108,107,51,47.6635514018692,0,0,10,6,11,7,26,10,16,26,114,42,36.8421052631579, -0.416666666666667
Oevu Aq'aie,1,1,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0, 2
Nouka Aq'aie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Apu Lereŋ,4,126,0,0,0,0,0,0,0,0,0,0,0,37,8,29,0,0,0,0, 2.5
Apu Lome,6,88,7,55,39,24,61.5384615384615,9,4,1,0,1,0,7,1,6,5,28,15,53.5714285714286, -1
Nouka Lereŋ,69,2722,382,1639,1543,681,44.1348023331173,408,130,56,38,106,35,425,94,331,117,1055,497,47.1090047393365, -5.79710144927536
Piri Atona,1,18,1,2,1,1,100,0,0,0,0,1,0,1,0,1,2,12,3,25, 0
Nouka Epi,34,259,56,153,114,61,53.5087719298246,43,14,0,0,9,4,32,7,25,9,127,55,43.3070866141732, 0.676470588235294
University of Futi'akep players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Olue Pitwa,106,3056,64,4,2,2,100,0,0,0,0,9,1,1261,299,962,3,11,3,27.2727272727273, 3.44339622641509
Tise Lereŋ,37,1584,258,696,657,285,43.37899543379,255,59,4,1,54,23,321,52,269,52,743,411,55.3162853297443, 8.59459459459459
Paekua Epi,66,2785,353,1621,1431,659,46.0517120894479,378,105,69,45,99,40,340,70,270,90,1204,576,47.8405315614618, 7.93939393939394
Lekena Epi,101,3505,1078,2049,1806,883,48.8925802879291,471,127,13,10,122,37,477,101,376,82,1704,899,52.7582159624413, 5.5049504950495
Tise Pitwa,32,1500,103,676,593,267,45.0252951096121,246,53,10,6,43,22,215,50,165,17,686,339,49.4169096209913, 9.46875
Paekua Epi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Paekua Atona,1,12,3,4,4,2,50,0,0,0,0,1,2,1,0,1,2,6,4,66.6666666666667, -1
Piri Aq'aie,14,265,51,117,133,54,40.6015037593985,18,4,2,2,12,5,40,12,28,21,135,53,39.2592592592593, 0.5
Piri Tuni,35,540,48,284,272,139,51.1029411764706,0,0,8,6,17,7,87,22,65,35,237,121,51.0548523206751, -0.657142857142857
Piri Porewo,17,344,54,177,156,68,43.5897435897436,65,20,6,6,15,2,42,17,25,7,143,59,41.2587412587413, 1.88235294117647
Piri Lereŋ,1,22,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1,0,0, 14
Piri Lome,2,30,6,10,12,5,41.6666666666667,0,0,2,0,0,0,5,1,4,2,13,8,61.5384615384615, 4
Oevu Aq'aie,41,1579,435,758,723,308,42.6002766251729,213,48,14,12,47,19,215,54,161,70,694,316,45.5331412103746, 0.707317073170732
Oevu Atona,3,48,8,24,25,10,40,7,1,0,0,3,1,2,0,2,3,21,13,61.9047619047619, 2
Apu Atona,64,2247,422,919,800,368,46,309,91,15,8,56,21,272,63,209,30,1012,541,53.4584980237154, 1.328125
University of Atapwa players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Olue Porewo,96,4254,0,0,0,0,0,0,0,0,0,4,1,851,187,664,2,34,21,61.7647058823529, -3.375
Oevu Tuni,55,1780,185,552,633,267,42.1800947867299,0,0,38,18,36,25,400,103,297,97,725,357,49.2413793103448, -2.47272727272727
Tise Lereŋ,33,1238,210,570,495,285,57.5757575757576,0,0,0,0,42,52,131,37,94,68,458,207,45.1965065502183, -4.96969696969697
Piri Lome,55,1841,203,971,829,485,58.5042219541616,0,0,2,1,55,19,209,58,151,34,967,516,53.3609100310238, -1.61818181818182
Apu Lome,75,1691,316,985,831,409,49.2178098676294,274,72,19,12,51,28,211,53,158,44,576,286,49.6527777777778, 0.0266666666666667
Piri Epi,8,118,0,0,0,0,0,0,0,0,0,0,0,20,4,16,0,0,0,0, 1.25
Paekua Porewo,72,1106,276,349,347,174,50.1440922190202,0,0,2,1,32,19,274,68,206,52,554,286,51.6245487364621, -1.70833333333333
Nouka Lome,56,1823,393,895,881,442,50.1702610669694,0,0,26,11,59,19,243,61,182,103,787,369,46.8869123252859, 0.107142857142857
Oevu Atona,11,220,52,162,133,81,60.9022556390977,0,0,0,0,7,3,19,4,15,19,92,47,51.0869565217391, 1.36363636363636
Lekena Lome,32,751,112,390,346,158,45.6647398843931,139,30,3,2,22,13,76,18,58,18,272,124,45.5882352941176, -2.59375
Piri Epi,41,1774,0,0,0,0,0,0,0,0,0,2,0,488,89,399,0,0,0,0, -8.5609756097561
Piri Epi,5,48,3,12,12,5,41.6666666666667,0,0,4,2,0,0,9,3,6,3,26,15,57.6923076923077, 1.2
Apu Lome,3,30,5,9,11,4,36.3636363636364,5,0,0,0,2,0,2,1,1,2,12,5,41.6666666666667, -2.66666666666667
Lekena Atona,68,1071,283,762,644,379,58.8509316770186,0,0,10,4,43,19,124,36,88,59,502,232,46.2151394422311, -0.955882352941177
Paekua Aq'aie,32,787,465,423,348,207,59.4827586206897,11,1,4,2,14,7,119,21,98,32,309,132,42.7184466019417, -2.3125
University of Hinaika Oceanography Institute players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Lekena Porewo,32,1536,0,0,0,0,0,0,0,0,0,1,0,396,104,292,1,3,2,66.6666666666667, 2.75
Nouka Epi,85,2875,361,1011,1065,487,45.7276995305164,0,0,72,37,85,33,695,181,514,134,1169,565,48.3319076133447, 0.152941176470588
Paekua Porewo,99,4390,1237,2109,2151,902,41.9339841933984,486,129,82,49,155,77,707,161,546,163,1997,962,48.1722583875814, -3.49494949494949
Piri Aq'aie,36,1394,251,924,730,384,52.6027397260274,230,75,0,0,39,22,202,49,153,30,704,357,50.7102272727273, 2.58333333333333
Tise Epi,70,3085,315,1283,1117,565,50.5819158460161,220,65,26,17,136,41,406,92,314,43,1438,705,49.0264255910988, -3.74285714285714
Olue Epi,76,2670,0,0,0,0,0,0,0,0,0,0,1,615,127,488,4,34,15,44.1176470588235, -3.76315789473684
Tise Tuni,25,393,40,215,199,104,52.2613065326633,0,0,10,7,12,11,89,24,65,47,174,65,37.3563218390805, 0.52
Lekena Tuni,8,124,19,59,62,29,46.7741935483871,0,0,2,1,4,2,15,2,13,7,71,32,45.0704225352113, -2
Olue Aq'aie,5,97,6,10,16,5,31.25,0,0,0,0,5,2,7,0,7,0,47,24,51.063829787234, -4
Olue Atona,9,123,20,63,61,25,40.9836065573771,24,6,0,0,7,0,9,1,8,2,64,30,46.875, -6.33333333333333
Paekua Atona,14,232,0,0,0,0,0,0,0,0,0,0,0,54,11,43,0,1,1,100, -5.85714285714286
Piri Lome,28,495,55,217,233,107,45.9227467811159,0,0,6,3,20,7,118,21,97,32,191,79,41.3612565445026, 1.92857142857143
Oevu Atona,7,107,20,69,61,30,49.1803278688525,18,5,2,2,6,10,13,5,8,14,34,14,41.1764705882353, 2
Paekua Porewo,6,98,10,42,37,17,45.945945945946,14,1,0,0,3,2,13,1,12,0,63,29,46.031746031746, 3.66666666666667
Nouka Tuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
University of Auspikitan players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Taneba Abu,96,4522,53,32,28,16,57.1428571428571,0,0,0,0,16,2,1681,453,1228,4,74,34,45.945945945946, 5.64583333333333
Makiaipisi Fana,128,4872,737,2523,2240,1036,46.25,792,201,9,6,167,68,894,211,683,247,2121,1076,50.7307873644507, 2.8984375
Biplatza Qeki,96,3690,885,1781,1676,726,43.3174224343675,567,136,42,25,154,102,456,114,342,185,1614,740,45.8488228004957, 2.85416666666667
Tipeprik Nibrit,44,1695,227,912,800,375,46.875,297,89,0,0,58,35,226,49,177,37,855,437,51.1111111111111, 8.63636363636364
Nio Depazeoni,46,1812,627,1072,930,451,48.494623655914,310,83,2,2,44,28,287,56,231,48,718,321,44.7075208913649, 10.2826086956522
Klegna Kivi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Tibiziŋag Zonaqa,50,992,202,450,406,217,53.448275862069,16,7,13,7,22,14,192,46,146,46,513,281,54.775828460039, 5.78
Kipana Kateni,35,556,92,268,281,134,47.6868327402135,0,0,0,0,11,64,76,14,62,54,187,58,31.0160427807487, 3.82857142857143
Pau Gekxakŋi,35,1157,168,865,769,432,56.1768530559168,0,0,2,1,33,11,144,31,113,60,566,252,44.5229681978799, 0.857142857142857
Kudqoatlop Poi,1,10,3,5,10,2,20,4,1,0,0,0,0,0,0,0,0,4,2,50, 6
Aseqa Kateni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Vioŋeki Ifet,5,40,10,22,17,11,64.7058823529412,0,0,0,0,2,0,6,1,5,7,29,18,62.0689655172414, 1.8
Vipoi Vokigei,16,206,38,124,115,62,53.9130434782609,0,0,0,0,8,5,23,5,18,13,87,31,35.632183908046, 1.25
Einep Nitip,45,1478,570,1118,863,559,64.7740440324449,0,0,0,0,40,11,201,61,140,59,665,330,49.6240601503759, 1.35555555555556
Pau Neksap,1,9,1,6,7,2,28.5714285714286,5,2,0,0,0,1,1,0,1,0,4,4,100, 3
University of Alteus players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Juri Vuchko,32,1536,87,0,1,0,0,0,0,0,0,0,0,450,149,301,0,2,0,0, 3.5
Daniel Tooli,64,1964,293,926,907,452,49.8346196251378,0,0,44,22,61,34,410,147,263,157,802,339,42.2693266832918, 2.96875
Doran Traenfeglia,41,1486,324,796,674,397,58.9020771513353,0,0,4,2,38,15,179,52,127,75,577,281,48.7001733102253, 2.95121951219512
Pat Svensson,32,1403,206,774,605,387,63.9669421487603,0,0,0,0,42,14,142,40,102,32,693,371,53.5353535353535, 3
Travis Atlier,40,1575,571,584,552,287,51.9927536231884,0,0,20,10,37,18,175,49,126,19,763,379,49.6723460026212, 2.9
Thomas Byrne,8,65,6,28,21,14,66.6666666666667,0,0,0,0,0,1,18,8,10,0,19,11,57.8947368421053, 2.375
Xavier Wells,16,238,47,142,114,71,62.280701754386,0,0,0,0,7,6,38,13,25,27,90,29,32.2222222222222, 3.5
Yoade McBob,100,4265,793,2348,1923,1024,53.2501300052002,517,149,0,0,112,61,441,141,300,169,2103,1059,50.3566333808845, 6.66
Yoade Perch,13,179,10,116,82,58,70.7317073170732,0,0,0,0,4,4,24,7,17,15,100,24,24, 2.38461538461538
Quinten Tooli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Steve Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Johan Lolant,56,1051,203,510,407,253,62.1621621621622,0,0,4,4,23,5,180,44,136,31,390,225,57.6923076923077, -0.0535714285714286
Doran McSteve,7,113,6,41,41,17,41.4634146341463,12,4,1,1,6,2,13,4,9,3,44,26,59.0909090909091, -1
Jesse McBob,4,61,8,32,25,16,64,0,0,0,0,2,2,5,2,3,8,35,17,48.5714285714286, -0.25
Xavier Perch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
University of Saelunavvk players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
šunokiɰev guqavpel,96,4451,10,48,39,24,61.5384615384615,0,0,0,0,7,5,1240,325,915,8,95,41,43.1578947368421, 9.10416666666667
zepkék kitet,128,4703,808,2565,2102,1281,60.941960038059,0,0,6,3,132,80,829,248,581,318,1887,875,46.3698993110758, 6.0703125
kuzep átnhílekh,32,1022,507,604,489,246,50.3067484662577,153,41,8,7,33,26,183,51,132,74,475,227,47.7894736842105, 8.1875
ikánag zaiqatpit,37,1465,196,843,654,347,53.0581039755352,223,75,0,0,43,33,161,39,122,47,742,383,51.6172506738544, 12.6216216216216
tikit' kuvkithet,128,4459,1078,2022,1735,802,46.2247838616715,684,216,31,17,125,238,526,150,376,200,1466,629,42.9058663028649, 8.0859375
pukaktál lekeŋ,10,149,3,8,4,3,75,3,2,0,0,1,1,29,12,17,3,27,12,44.4444444444444, 4.6
vaŋun tŋken,53,703,156,267,259,133,51.3513513513513,0,0,2,1,21,10,157,51,106,82,423,203,47.9905437352246, 4.43396226415094
telel kuvkithet,26,528,103,292,250,125,50,84,21,0,0,11,30,54,15,39,51,232,73,31.4655172413793, 9.23076923076923
tátkn okepekít,17,292,25,171,138,72,52.1739130434783,39,9,0,0,5,5,33,7,26,12,183,109,59.5628415300546, 4.05882352941176
napuk pátélokain,43,837,230,373,350,186,53.1428571428571,0,0,2,1,15,14,93,29,64,39,379,185,48.8126649076517, 2.7906976744186
zepkék kutap,12,217,0,0,0,0,0,0,0,0,0,0,2,38,12,26,1,7,5,71.4285714285714, 2.33333333333333
kakuzek pátélokain,43,737,62,347,325,166,51.0769230769231,0,0,22,15,14,12,135,37,98,104,356,127,35.6741573033708, 5.48837209302326
šunokiɰev lekeŋ,12,202,19,81,72,38,52.7777777777778,0,0,8,5,8,8,13,6,7,29,129,46,35.6589147286822, 5.91666666666667
telel peval,3,51,16,36,31,18,58.0645161290323,0,0,0,0,2,0,6,3,3,5,35,15,42.8571428571429, 9.66666666666667
zepkék okepekít,41,716,304,392,322,167,51.8633540372671,88,28,2,1,12,11,96,23,73,32,346,171,49.4219653179191, 4.09756097560976
University of Nausicaa players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Swanano Głamha,32,1078,0,0,0,0,0,0,0,0,0,1,0,235,47,188,2,18,8,44.4444444444444, -5.53125
Vóbŕá Ńařa,32,1349,261,682,675,325,48.1481481481481,15,0,24,6,62,16,387,95,292,70,450,189,42, -7.375
Sova Sŕóniqńoqi,70,2304,204,225,272,106,38.9705882352941,1,0,28,13,117,26,293,70,223,40,963,537,55.7632398753894, -7.32857142857143
Mónhin Vanho,66,2167,223,1127,989,444,44.8938321536906,400,103,24,12,112,31,252,54,198,28,1051,529,50.3330161750714, -4.87878787878788
Mak Słanák,64,2232,150,987,887,378,42.6155580608794,410,109,22,8,133,27,289,64,225,36,809,427,52.7812113720643, -5.5
Sávákán Vanho,82,1168,4,0,0,0,0,0,0,0,0,14,1,355,81,274,2,5,2,40, -2.32926829268293
Kamhḿomh Qjodlonhámh,39,939,134,470,499,229,45.8917835671343,0,0,26,12,37,7,184,44,140,56,396,192,48.4848484848485, -1.84615384615385
Atrêsga Rrasab,7,123,11,94,76,39,51.3157894736842,22,6,0,0,6,4,19,3,16,1,67,34,50.7462686567164, 3
Poqá Głamha,25,597,101,252,227,124,54.625550660793,0,0,10,4,17,14,46,10,36,17,323,182,56.3467492260062, -3.16
Zlágánan Głamha,19,374,236,215,198,102,51.5151515151515,22,5,2,2,14,5,77,21,56,11,162,84,51.8518518518518, -5.26315789473684
Vóbŕá Kaḿomhkwa,10,248,9,0,0,0,0,0,0,0,0,0,1,77,16,61,1,14,12,85.7142857142857, -5.4
Tapan Sikasbë,64,1200,477,645,629,318,50.5564387917329,0,0,14,9,45,9,377,87,290,88,520,259,49.8076923076923, -1.59375
Abi Saχi,31,577,47,355,328,176,53.6585365853659,0,0,6,3,17,9,56,8,48,32,285,135,47.3684210526316, -2.61290322580645
Kĺokŕañhá Qlámipanońqo,28,445,89,169,169,81,47.9289940828402,13,4,2,1,21,6,50,19,31,17,262,147,56.1068702290076, -1.82142857142857
Naqánkló Váva,18,480,89,389,299,157,52.5083612040134,112,33,3,3,18,8,67,16,51,8,187,96,51.3368983957219, -1.55555555555556
University of Noxium players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Pratnoxpro Pasovya,35,1584,0,4,5,2,40,0,0,0,0,0,0,320,91,229,0,4,1,25, 8.68571428571429
Uxnax Ix,45,1453,388,945,765,471,61.5686274509804,0,0,6,3,46,20,485,123,362,82,684,354,51.7543859649123, 5.95555555555556
Sovtanzax Ixau,45,1525,230,653,589,325,55.1782682512733,0,0,6,3,35,20,147,38,109,76,588,294,50, 5.37777777777778
Hjenax Sovku,32,1413,80,569,507,235,46.3510848126233,191,54,0,0,33,16,174,43,131,27,719,386,53.6856745479833, 8.78125
Kuilikki Naixi,34,1553,513,791,688,331,48.1104651162791,227,54,4,4,48,48,165,36,129,42,361,161,44.5983379501385, 8.70588235294118
Sovlik Naxix,3,42,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,0,0,0, -4.66666666666667
Ikkrosovi Kuya,33,468,100,376,289,188,65.0519031141868,0,0,0,0,20,8,105,35,70,44,261,132,50.5747126436782, 1.57575757575758
Kunaix Noxtan,15,202,43,90,90,40,44.4444444444444,24,2,2,2,8,2,24,2,22,15,77,26,33.7662337662338, 4.2
Blanox Ixau,4,63,15,18,19,9,47.3684210526316,0,0,0,0,4,2,6,1,5,4,36,18,50, 5
Sopratyabla Kaxpa,29,560,82,257,224,97,43.3035714285714,90,25,12,4,20,6,82,21,61,12,257,131,50.9727626459144, -0.931034482758621
Farbla Ritkropro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Naxto Tanpratia,9,89,13,26,22,12,54.5454545454545,0,0,2,2,4,1,15,0,15,7,38,24,63.1578947368421, -0.222222222222222
Tansov Kroda,9,111,9,56,44,23,52.2727272727273,13,1,2,1,2,0,13,4,9,12,43,17,39.5348837209302, 3.55555555555556
Uxku Noxkol,68,3007,332,2166,1815,911,50.1928374655647,542,131,36,23,114,44,370,86,284,52,1535,791,51.5309446254072, -0.102941176470588
Nupa Pasovya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
University of Prokax players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Blanoxium Dazaxka,96,321,0,0,0,0,0,0,0,0,0,0,0,75,23,52,0,1,0,0, -0.34375
Autanblanaix Kipafar,69,2538,171,812,861,387,44.9477351916376,0,0,68,38,92,25,472,99,373,132,1100,562,51.0909090909091, 4.78260869565217
Lato Kolpauxso,35,995,121,340,422,167,39.5734597156398,0,0,24,6,41,13,116,25,91,57,369,195,52.8455284552846, -0.657142857142857
Nuux Ixau,97,4474,443,2065,1746,803,45.9908361970218,775,234,30,11,174,49,528,114,414,53,2247,1218,54.2056074766355, 3.5360824742268
Sovnox Kaxfar,65,2579,760,1411,1215,597,49.1358024691358,368,103,8,4,91,26,330,65,265,52,830,374,45.0602409638554, 1.09230769230769
Kolnu Prokexov,61,202,0,0,0,0,0,0,0,0,0,0,0,53,9,44,0,1,0,0, 0
Farbla Noxkol,31,451,56,118,124,57,45.9677419354839,0,0,10,4,17,5,92,22,70,35,217,78,35.9447004608295, 2.80645161290323
Zaxkla Kolau,25,434,40,301,242,124,51.2396694214876,72,19,0,0,20,10,53,15,38,37,182,75,41.2087912087912, 2.76
Zax Kaxfar,2,34,2,14,13,7,53.8461538461538,0,0,0,0,3,1,5,0,5,0,11,8,72.7272727272727, 2.5
Nupa Kuya,13,279,58,152,143,61,42.6573426573427,45,9,7,4,12,5,38,9,29,4,107,59,55.1401869158878, 0.846153846153846
Blalikki Uxyakro,32,1359,42,0,0,0,0,0,0,0,0,0,0,535,125,410,0,0,0,0, 5.21875
Uxproku Tanpratia,84,2952,667,1390,1226,693,56.5252854812398,0,0,10,4,85,44,610,138,472,129,1229,647,52.6444263628967, -1.53571428571429
Blaki Kibla,17,276,32,112,91,41,45.0549450549451,39,13,0,0,7,1,31,10,21,16,126,67,53.1746031746032, 4.47058823529412
