Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Pyzus,25,39,3139,3281,8,8,76
University of Nomvas,20,44,2779,3166,9,9,88
University of Eastern Alveske,19,45,2839,3095,10,10,90
Division 5,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Quiita-Kyudosia,42,22,3063,2819,1,1,12
University of Kholka,41,23,2921,2793,2,2,19
University of Ncov Ntiajeb,37,27,2983,2809,3,3,35
University of Eirnvse,36,28,3114,3054,4,4,40
University of Soniara,30,34,2633,2711,5,5,61
University of Zhiwasen,27,37,2705,2768,6,6,69
University of Floria,27,37,3011,3091,7,7,70
University of Svitharia,23,41,3097,3159,8,8,79
University of Venasul,23,41,2836,2989,9,9,80
University of Aavana,22,42,2699,2900,10,10,82
Division 6,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
Atresmi University,50,14,3151,2800,1,1,2
University of Vincent,50,14,3476,3163,2,2,3
Naskitrusk University,47,17,3369,3188,3,3,4
University of Vigim,41,23,3192,3083,4,4,20
Esmal District University,38,26,2892,2746,5,5,32
University of Herelle,33,31,3140,3196,6,6,50
University of Boltway,32,32,2896,2864,7,7,51
Stedro Institute of Technology,26,38,3067,3196,8,8,73
University of Tri_National_Dominion 2,21,43,2834,3014,9,9,84
University of Arinis,17,47,2998,3171,10,10,94
Division 7,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Avura Aviation & Economics (A&E),42,22,3000,2827,1,1,14
University of Imperial Institute at Levzent,39,25,3055,2933,2,2,27
University of Yoka Tse,38,26,3117,3094,3,3,33
University of University of Central Paradaniton,37,27,3224,3102,4,4,36
University of Chizait University,35,29,3355,3209,5,5,42
University of Imperial Institute at Faehrenfall,31,33,3032,3046,6,6,57
University of Western University,29,35,2999,3046,7,7,63
University of Ciulo,28,36,3002,2976,8,8,66
University of Akarine,24,40,2791,3061,9,9,77
University of Vikasa,7,57,2433,2977,10,10,100
Division 8,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Pokoj,42,22,3252,3070,1,1,13
University of Holykol,41,23,3055,2946,2,2,21
University of Lumein,38,26,2975,2970,3,3,34
University of Norkute,35,29,2899,2889,4,4,45
University of Forssa,31,33,2911,2908,5,5,56
University of Protopolis,29,35,3130,3136,6,6,62
University of Seraphia,28,36,3237,3336,7,7,68
University of Starrie,21,43,2703,2800,8,8,83
University of Biodry,21,43,2952,3173,9,9,85
University of Vatallus,20,44,3057,3240,10,10,86
Division 9,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Bongatar 1,46,18,2950,2845,1,1,6
University of Bongatar 2,43,21,2966,2851,2,2,11
University of Aahrus 2,39,25,3260,3161,3,3,28
University of Aahrus 1,36,28,2795,2641,4,4,39
University of Fiik Lanki Akol,35,29,3132,3077,5,5,43
University of Ikkuvvuki,32,32,3073,3048,6,6,53
University of Lnwm,26,38,2699,2917,7,7,75
University of Yuofuan,23,41,2770,2810,8,8,78
University of Vikkada,19,45,2786,2959,9,9,89
University of Maxwmkakki,15,49,2882,3244,10,10,97
Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Alteus,87,9,3086,2487,1,1,1
University of Kap'atŋpiri,69,27,2869,2544,2,2,7
University of Saelunavvk,64,32,2999,2672,3,3,13
University of Sande Sitei,50,46,2691,2857,4,4,51
University of Auspikitan,49,47,3185,3094,5,5,52
University of Pxalit'k'a,46,50,2656,2792,6,6,56
University of Nausicaa,42,54,2489,3024,7,7,68
University of Hinaika Oceanography Institute,38,58,3047,3131,8,8,77
University of Futi'akep,20,76,2636,2908,9,9,98
University of Atapwa,16,80,2807,3109,10,10,99
Division 1,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Naxda,65,31,3039,2700,1,1,11
University of Blanaxon,61,35,3159,3085,2,2,19
University of Radugrad,54,42,3110,3042,3,3,39
University of Autolik,52,44,2927,2856,4,4,45
University of Klanaxon,52,44,2860,2945,5,5,46
University of Prokax,48,48,2784,2761,6,6,54
University of Sozaxon,45,51,2901,2979,7,7,58
University of Sovkagrad,37,59,2751,2926,8,8,79
University of Noxium,28,68,2663,2822,9,9,92
University of Uxnua,25,71,2756,2989,10,10,96
Division 2,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Issamore,72,24,3408,3050,1,1,5
University of Antarion 3,66,30,2953,2663,2,2,8
University of Shigua,57,39,2960,2841,3,3,28
University of Barsein,56,40,2883,2884,4,4,34
University of Sagua,52,44,3038,2888,5,5,44
University of Pentadominion 1,48,48,3102,3052,6,6,53
University of Antarion 2,43,53,3298,3217,7,7,61
University of Dongua,43,53,3197,3271,8,8,63
University of Nja,29,67,2809,3293,9,9,90
University of Pentadominion 2,23,73,2672,3159,10,10,97
Division 3,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Sapphire Bay,73,23,3356,2994,1,1,3
University of Shmupland 4,61,35,3137,2943,2,2,18
University of Chromasheep Farm,60,36,2972,2833,3,3,21
University of Shmupland 3,58,38,2992,2865,4,4,27
University of Shmupland 1,55,41,2948,2875,5,5,36
University of Oasis City,42,54,3192,3333,6,6,66
University of Shmupland 5,41,55,2705,2936,7,7,71
University of Kaeshar 5,39,57,3075,3165,8,8,76
University of Shmupland 2,30,66,2937,3094,9,9,85
University of Kaeshar 4,27,69,2980,3212,10,10,93
Division 4,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Byisotia,66,30,3229,3022,1,1,9
University of Levikeana Solvae,59,37,3285,2940,2,2,22
University of Lveinta,59,37,2876,2823,3,3,23
University of Alieosia,57,39,2974,2959,4,4,31
University of Lizabechai,53,43,2831,2867,5,5,43
University of Hkamnsi,50,46,2848,2806,6,6,48
University of Vrelinku,40,56,2770,2889,7,7,72
University of Pyzus,38,58,2770,2866,8,8,78
University of Nomvas,35,61,3030,3085,9,9,80
University of Eastern Alveske,30,66,2740,2878,10,10,84
Division 5,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Quiita-Kyudosia,64,32,2895,2684,1,1,14
University of Kholka,58,38,3002,2849,2,2,25
University of Ncov Ntiajeb,58,38,3145,2993,3,3,26
University of Eirnvse,50,46,2964,3045,4,4,50
University of Floria,43,53,3193,3156,5,5,62
University of Soniara,41,55,2720,2852,6,6,70
University of Zhiwasen,40,56,2927,3048,7,7,73
University of Aavana,39,57,2805,2761,8,8,74
University of Svitharia,32,64,2802,2964,9,9,81
University of Venasul,29,67,2813,3107,10,10,89
Division 6,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
Atresmi University,74,22,3369,3077,1,1,2
University of Vincent,73,23,3229,3016,2,2,4
Naskitrusk University,71,25,3108,2864,3,3,6
Esmal District University,60,36,2944,2716,4,4,20
University of Vigim,56,40,2901,2925,5,5,35
University of Boltway,53,43,3263,3233,6,6,42
University of Herelle,46,50,2786,2918,7,7,55
Stedro Institute of Technology,44,52,2844,2770,8,8,59
University of Tri_National_Dominion 2,30,66,2761,2952,9,9,86
University of Arinis,25,71,2980,3138,10,10,95
Division 7,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Avura Aviation & Economics (A&E),66,30,3296,3090,1,1,10
University of Imperial Institute at Levzent,58,38,2936,2725,2,2,24
University of University of Central Paradaniton,57,39,2965,2893,3,3,29
University of Chizait University,56,40,3351,3213,4,4,32
University of Yoka Tse,56,40,3202,3123,5,5,33
University of Imperial Institute at Faehrenfall,44,52,2845,2946,6,6,60
University of Ciulo,42,54,3034,3101,7,7,64
University of Western University,42,54,2732,2872,8,8,65
University of Akarine,30,66,2920,3312,9,9,87
University of Vikasa,13,83,2548,2868,10,10,100
Division 8,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Pokoj,64,32,2781,2697,1,1,15
University of Holykol,63,33,2885,2536,2,2,16
University of Norkute,54,42,2929,2824,3,3,38
University of Lumein,54,42,2930,2921,4,4,40
University of Forssa,50,46,2861,2760,5,5,47
University of Seraphia,45,51,3089,3082,6,6,57
University of Protopolis,42,54,2714,2937,7,7,67
University of Starrie,39,57,2787,2753,8,8,75
University of Vatallus,29,67,3026,3179,9,9,88
University of Biodry,27,69,2897,3177,10,10,94
Division 9,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Bongatar 1,65,31,3302,3250,1,1,12
University of Bongatar 2,63,33,3056,2903,2,2,17
University of Aahrus 2,57,39,3037,2989,3,3,30
University of Aahrus 1,54,42,3135,3017,4,4,37
University of Ikkuvvuki,53,43,3327,3197,5,5,41
University of Fiik Lanki Akol,50,46,2960,2983,6,6,49
University of Yuofuan,41,55,3053,2962,7,7,69
University of Vikkada,31,65,2858,3039,8,8,82
University of Lnwm,31,65,2850,3287,9,9,83
University of Maxwmkakki,28,68,3184,3193,10,10,91
Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Alteus,114,14,3381,2879,1,1,1
University of Kap'atŋpiri,89,39,2927,2709,2,2,9
University of Saelunavvk,84,44,3023,2823,3,3,14
University of Auspikitan,76,52,3245,2971,4,4,29
University of Sande Sitei,71,57,2905,2678,5,5,39
University of Pxalit'k'a,59,69,2671,2724,6,6,58
University of Hinaika Oceanography Institute,51,77,2872,2964,7,7,76
University of Nausicaa,43,85,2278,3014,8,8,84
University of Futi'akep,30,98,2834,3094,9,9,97
University of Atapwa,20,108,2613,2971,10,10,99
Division 1,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Naxda,86,42,3383,3166,1,1,13
University of Blanaxon,82,46,3040,2884,2,2,17
University of Autolik,81,47,3417,2999,3,3,18
University of Klanaxon,73,55,3074,2930,4,4,35
University of Radugrad,71,57,2818,2818,5,5,44
University of Prokax,58,70,2713,2923,6,6,62
University of Sovkagrad,55,73,3202,3245,7,7,66
University of Sozaxon,55,73,3274,3488,8,8,70
University of Noxium,39,89,2778,2959,9,9,85
University of Uxnua,32,96,2918,3220,10,10,96
Division 2,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Issamore,95,33,3398,3158,1,1,4
University of Antarion 3,91,37,3380,3040,2,2,7
University of Barsein,78,50,3159,2952,3,3,25
University of Shigua,76,52,2902,2766,4,4,30
University of Sagua,70,58,3028,2954,5,5,45
University of Pentadominion 1,69,59,3134,3042,6,6,48
University of Antarion 2,58,70,2944,2929,7,7,61
University of Dongua,53,75,3140,3345,8,8,74
University of Nja,38,90,2777,3207,9,9,91
University of Pentadominion 2,28,100,2604,2936,10,10,98
Division 3,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Sapphire Bay,96,32,3111,2766,1,1,3
University of Chromasheep Farm,81,47,3040,2762,2,2,19
University of Shmupland 4,78,50,3240,3199,3,3,27
University of Shmupland 3,74,54,3138,3195,4,4,34
University of Shmupland 1,71,57,3059,2998,5,5,41
University of Shmupland 5,57,71,2750,2959,6,6,64
University of Oasis City,55,73,2981,3082,7,7,68
University of Kaeshar 5,53,75,3101,3224,8,8,72
University of Shmupland 2,46,82,3141,3178,9,9,79
University of Kaeshar 4,37,91,3028,3145,10,10,92
Division 4,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Byisotia,88,40,3006,2936,1,1,10
University of Levikeana Solvae,80,48,2936,2766,2,2,22
University of Alieosia,77,51,3301,3233,3,3,28
University of Lveinta,75,53,2942,3004,4,4,32
University of Hkamnsi,72,56,2985,2860,5,5,37
University of Lizabechai,69,59,3032,3108,6,6,49
University of Vrelinku,52,76,2825,2922,7,7,75
University of Pyzus,46,82,2792,2995,8,8,80
University of Nomvas,45,83,3010,3137,9,9,81
University of Eastern Alveske,39,89,2772,2967,10,10,86
Division 5,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Quiita-Kyudosia,89,39,3266,2865,1,1,8
University of Ncov Ntiajeb,79,49,3343,3217,2,2,23
University of Kholka,79,49,3113,3019,3,3,24
University of Eirnvse,71,57,3299,3154,4,4,40
University of Soniara,58,70,2963,2838,5,5,60
University of Zhiwasen,56,72,3295,3323,6,6,65
University of Floria,55,73,2904,3033,7,7,69
University of Aavana,48,80,2690,2941,8,8,78
University of Venasul,44,84,3168,3127,9,9,82
University of Svitharia,43,85,2746,2933,10,10,83
Division 6,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
Atresmi University,97,31,3139,2859,1,1,2
Naskitrusk University,94,34,3410,3193,2,2,5
University of Vincent,94,34,3356,3274,3,3,6
Esmal District University,78,50,2924,2807,4,4,26
University of Boltway,71,57,2897,2896,5,5,43
University of Vigim,68,60,3029,3080,6,6,51
Stedro Institute of Technology,60,68,2862,2793,7,7,57
University of Herelle,59,69,3170,3238,8,8,59
University of Tri_National_Dominion 2,49,79,2990,2865,9,9,77
University of Arinis,36,92,2824,2976,10,10,94
Division 7,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Avura Aviation & Economics (A&E),87,41,3485,3215,1,1,11
University of University of Central Paradaniton,81,47,3319,3103,2,2,20
University of Chizait University,75,53,3021,2999,3,3,31
University of Imperial Institute at Levzent,72,56,3307,3337,4,4,38
University of Yoka Tse,71,57,3237,3219,5,5,42
University of Imperial Institute at Faehrenfall,62,66,2998,2927,6,6,55
University of Western University,61,67,3287,3250,7,7,56
University of Ciulo,53,75,3297,3480,8,8,73
University of Akarine,39,89,3042,3311,9,9,88
University of Vikasa,18,110,3089,3436,10,10,100
Division 8,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Holykol,82,46,2984,2761,1,1,16
University of Pokoj,81,47,2907,2880,2,2,21
University of Forssa,69,59,3284,3104,3,3,47
University of Lumein,68,60,2975,2981,4,4,50
University of Seraphia,65,63,3292,3227,5,5,53
University of Norkute,64,64,2767,3055,6,6,54
University of Protopolis,55,73,2906,2981,7,7,67
University of Starrie,54,74,3161,3091,8,8,71
University of Vatallus,38,90,2691,2926,9,9,90
University of Biodry,36,92,2886,3195,10,10,95
Division 9,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Bongatar 1,87,41,3042,2917,1,1,12
University of Bongatar 2,84,44,3285,3176,2,2,15
University of Aahrus 2,74,54,3356,3288,3,3,33
University of Fiik Lanki Akol,72,56,3367,3186,4,4,36
University of Ikkuvvuki,70,58,2987,2963,5,5,46
University of Aahrus 1,67,61,3158,3205,6,6,52
University of Yuofuan,57,71,2786,2834,7,7,63
University of Lnwm,39,89,2781,3015,8,8,87
University of Maxwmkakki,38,90,2831,2988,9,9,89
University of Vikkada,37,91,3085,3318,10,10,93
Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Alteus,137,23,3349,2995,1,1,1
University of Kap'atŋpiri,107,53,2904,2800,2,2,13
University of Saelunavvk,105,55,2897,2826,3,3,14
University of Auspikitan,103,57,3044,2783,4,4,19
University of Sande Sitei,90,70,3174,3017,5,5,36
University of Pxalit'k'a,82,78,2932,2644,6,6,51
University of Hinaika Oceanography Institute,59,101,2644,2988,7,7,78
University of Nausicaa,46,114,2697,3344,8,8,92
University of Futi'akep,36,124,2659,2916,9,9,97
University of Atapwa,32,128,2986,3101,10,10,99
Division 1,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Naxda,107,53,3007,2813,1,1,12
University of Autolik,102,58,3017,2776,2,2,20
University of Blanaxon,97,63,3057,3027,3,3,26
University of Klanaxon,89,71,2903,2852,4,4,40
University of Radugrad,84,76,2999,3108,5,5,49
University of Prokax,69,91,2743,2941,6,6,67
University of Sozaxon,67,93,2874,2974,7,7,71
University of Sovkagrad,67,93,2887,3002,8,8,72
University of Noxium,53,107,2685,2788,9,9,82
University of Uxnua,37,123,2454,2894,10,10,96
Division 2,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Issamore,119,41,3095,2838,1,1,4
University of Antarion 3,114,46,3091,2690,2,2,6
University of Shigua,99,61,3069,2765,3,3,23
University of Barsein,96,64,2945,2884,4,4,28
University of Sagua,88,72,3058,2992,5,5,42
University of Pentadominion 1,85,75,3252,3193,6,6,47
University of Antarion 2,79,81,3375,3228,7,7,57
University of Dongua,67,93,2938,2968,8,8,69
University of Nja,43,117,2485,2980,9,9,95
University of Pentadominion 2,35,125,2891,3306,10,10,98
Division 3,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Sapphire Bay,123,37,3495,3063,1,1,3
University of Chromasheep Farm,104,56,3045,2780,2,2,16
University of Shmupland 1,93,67,3158,3006,3,3,30
University of Shmupland 3,93,67,2923,2867,4,4,31
University of Shmupland 4,92,68,2872,2966,5,5,34
University of Oasis City,72,88,3290,3318,6,6,63
University of Shmupland 5,70,90,2879,3033,7,7,66
University of Kaeshar 5,67,93,3194,3246,8,8,70
University of Shmupland 2,64,96,3240,3218,9,9,76
University of Kaeshar 4,47,113,3111,3267,10,10,89
Division 4,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Byisotia,111,49,3100,2884,1,1,9
University of Levikeana Solvae,104,56,3009,2798,2,2,18
University of Alieosia,98,62,3211,3173,3,3,24
University of Lizabechai,89,71,3187,3026,4,4,38
University of Hkamnsi,88,72,3008,2958,5,5,43
University of Lveinta,87,73,2955,3020,6,6,44
University of Vrelinku,68,92,3327,3289,7,7,68
University of Eastern Alveske,54,106,3184,3240,8,8,81
University of Pyzus,52,108,2795,3065,9,9,86
University of Nomvas,52,108,2657,2990,10,10,87
Division 5,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Quiita-Kyudosia,112,48,3036,2839,1,1,8
University of Ncov Ntiajeb,104,56,3295,2921,2,2,15
University of Kholka,97,63,2933,2847,3,3,25
University of Eirnvse,90,70,2994,3028,4,4,37
University of Soniara,81,79,3073,2708,5,5,54
University of Zhiwasen,73,87,3137,3112,6,6,62
University of Floria,67,93,2845,2966,7,7,73
University of Aavana,57,103,3010,3258,8,8,79
University of Venasul,53,107,3025,3252,9,9,83
University of Svitharia,53,107,2905,3159,10,10,84
Division 6,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
Atresmi University,124,36,3370,3058,1,1,2
University of Vincent,116,44,3206,3009,2,2,5
Naskitrusk University,114,46,3111,3057,3,3,7
Esmal District University,96,64,3021,2890,4,4,27
University of Vigim,86,74,3000,2966,5,5,45
University of Boltway,82,78,3117,3270,6,6,53
Stedro Institute of Technology,76,84,2891,2809,7,7,60
University of Herelle,74,86,2942,2949,8,8,61
University of Tri_National_Dominion 2,62,98,2852,2939,9,9,77
University of Arinis,47,113,3074,3201,10,10,88
Division 7,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Avura Aviation & Economics (A&E),110,50,3224,3030,1,1,10
University of University of Central Paradaniton,95,65,3242,3246,2,2,29
University of Chizait University,93,67,3321,3288,3,3,32
