Aahrus Moosi	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Palani Phomsouvanh	4	64	62	92	95	68	95	74	26	103	50	74	C+	30	81.27	27	-3	1	10	32
Aiyota	Billingulbut	5	36	42	64	61	147	85	85	59	61	53	51	C+	26	79.83	18	3	13.3	11	39
Darvincia	Làto Sokàtà	1	28	24	48	47	63	85	75	71	57	80	59	C+	29	62.97	512	-3	1	66	449
Czalliso	pot	2	81	91	36	16	39	81	75	106	76	8	64	B	26	68.48	418	-1	2.1	43	204
Kaeshar	Makiaipisi Nipta	3	98	97	46	31	49	99	51	86	72	26	80	F	21	63.24	1459	1	1	95	432
Auspikitan	Taneba Nole	4	64	24	102	95	44	81	60	31	56	52	71	D	31	69.01	26	-1	1	49	182
Ethanthova	Calvin Hayhurst	5	62	27	72	65	108	78	68	41	74	19	71	A	24	73.08	1196	-1	5	26	117
Barsein	Alve Sanraku	1	44	67	43	5	21	75	92	107	48	50	67	B	22	62.49	947	-1	1	73	468
Bongatar	Power Forward #92	2	29	15	45	49	46	41	48	74	41	52	54	D+	30	48.75	1037	-1	1	182	922
Sagua	Mom Slivókŕámhomhók	3	6	47	28	25	68	74	62	80	88	70	1	C	24	57.47	462	0	1	134	674
Aahrus	Shooting Guard #111	4	16	31	75	75	13	31	57	53	55	52	52	C+	28	51.78	1095	1	1	189	856
Aeridani	Nagasawa Okitsugu	5	60	19	81	82	74	58	42	37	74	17	90	C	24	65.00	389	1	1	66	370
Calto Cows	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Tri_National_Dominion	Asser Hutto 	1	106	53	48	46	61	77	71	91	85	45	74	C	27	71.03	1254	0	1	11	150
Bielosia	Analu Vatthana	2	93	99	69	50	48	96	91	92	64	67	85	B	28	77.03	37	1	1	12	55
Wyverncliff	Asher Turner	3	88	46	80	78	75	97	104	87	81	60	60	C	30	83.14	32	-1	16	7	24
Kaeshar	Eŋipxuk Nipta	4	71	80	92	71	58	56	28	27	95	43	91	F	24	66.30	1297	1	1	72	292
Dtersauuw_Sagua	Its'a Lełqutyi	5	59	24	99	104	115	88	77	9	99	50	72	C	31	86.45	34	2	25	4	11
Dotruga	Himiba Alumosvek	1	100	92	34	19	34	36	82	91	99	75	96	F	25	64.52	1294	1	1	58	384
Aiyota	Pranga  	2	114	79	37	31	56	84	73	115	72	57	92	B	27	73.60	1243	-1	1	27	105
Wyverncliff	Jesse Svensson	3	52	5	65	54	89	70	66	87	80	51	94	C	28	72.55	423	0	1	31	128
Czalliso	roe	4	58	51	89	45	81	94	44	48	63	67	67	F	24	65.57	1310	1	1	87	333
Lyintaria	Xaisomboun Saengsavang	5	56	30	93	105	81	63	84	28	65	10	84	B	25	75.64	44	-2	1	15	68
Dtersauuw_Sagua	Center #143	1	69	59	31	33	40	36	50	37	62	54	66	D+	28	43.57	965	1	1	186	1013
Ethanthova	David Lavender	2	96	94	68	48	59	51	33	99	84	36	68	F	25	65.22	1315	2	1	75	348
Dotruga	Kiro Elomos	3	69	75	58	27	34	59	58	73	58	93	59	F	22	52.89	-1	1	1	174	829
Pyxanovia	Koa Sengtavisouk	4	66	72	83	55	76	56	83	17	64	80	55	F	22	62.98	1389	1	1	115	446
Kaeshar	Imuk Poi	5	27	29	64	95	90	36	64	21	70	20	77	F	25	64.49	1298	0	1	71	390
Height Sagua Cats	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Wyverncliff	Daniel Keaton	2	85	90	65	48	35	74	75	93	53	30	84	F	23	67.64	1360	0	1	59	237
Ethanthova	Takishima Natsuo	3	30	59	91	84	44	29	91	79	84	50	66	C	28	70.59	664	2	1	43	156
Ethanthova	Rusty Berry	4	57	63	103	116	84	70	89	22	108	38	72	C+	30	87.43	431	-2	1	5	7
Shmupland	No Kwang-Jo	5	62	83	64	86	105	101	93	26	88	17	76	C	26	82.36	51	-2	7.6	8	27
Blaist_Blaland	Naxnoxsoya Liksov	1	75	100	45	34	44	65	101	82	44	56	96	B	27	63.87	53	-2	3.4	63	422
Shmupland	Om Sung-Soo	2	83	75	84	19	79	58	39	95	76	68	63	F	21	66.02	1441	1	1	72	310
Antarion	Denni O'àpàasà	3	65	54	94	30	78	50	78	42	78	45	83	F	24	65.68	1307	2	1	67	329
Dotruga	Carlos Garber	4	59	18	86	81	47	23	83	23	88	49	90	C	26	66.33	885	3	1	68	288
Wyverncliff	Xavier Wilcox	5	71	36	70	86	97	98	70	101	71	46	68	C+	28	80.58	58	-1	1	9	34
Lyintaria	Kaili Menorath	1	74	79	33	39	33	47	45	98	78	49	79	F	23	57.94	1375	1	1	99	646
Aeridani	Nomura Harumi	2	99	99	51	41	45	64	54	85	81	37	73	F	23	64.48	1392	1	1	82	395
Blaist_Blaland	Ixbla Naxki	3	74	61	54	34	36	75	50	99	71	46	96	F	24	61.67	1339	1	1	105	484
Height_Sagua	Height Sagua Player #4	4	9	31	80	77	68	50	84	11	63	49	100	D	31	65.69	55	1	1	85	327
Wyverncliff	Brodie Cropper	5	36	13	70	67	67	64	27	11	71	49	59	D+	24	54.96	499	1	1	163	767
Key to Don Yees	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Tri_National_Dominion	Gerard Holzer	1	101	96	64	63	62	62	49	109	66	46	87	B	30	68.50	61	3	1	17	200
Ethanthova	Iggy Bolter	2	65	76	64	47	66	93	66	107	62	47	96	C+	28	75.46	164	2	1	21	80
Loviniosa	Malo Sayasone	3	75	61	104	82	100	77	63	68	58	64	70	C+	31	75.59	238	3	1	14	70
Aiyota	Mornay	4	34	47	113	103	56	63	78	44	38	52	50	B	30	70.05	135	1	1	43	165
Darvincia	Cabodu Sokàtà	5	65	64	95	99	74	108	63	33	61	28	101	B	30	78.36	72	-1	4.4	13	50
Lyintaria	Kaili Menorath	1	74	79	33	39	33	47	45	98	78	49	79	F	23	57.94	1375	1	1	99	646
Dotruga	Kapel Hilo	2	97	88	50	51	49	63	64	84	82	53	86	B	27	67.40	62	-1	4	63	247
Transhimalia	Wakuni Senelile	3	96	95	58	32	43	71	81	93	81	73	87	F	24	67.29	1301	-1	1	54	248
Aahrus	Matsuyama Izo	4	99	92	72	56	45	61	90	27	97	75	57	F	22	65.78	1423	1	1	76	318
Barsein	Guvggillmào Nùx́iś	5	69	57	62	69	89	55	48	51	44	23	76	C+	24	60.61	74	0	1	103	534
Dtersauuw_Sagua	P'uyo Lek'at	1	46	37	42	12	7	69	51	93	58	25	88	F	22	55.12	1309	0	1	113	758
Kaeshar	Tibiziŋag Qeki	2	88	78	72	23	37	50	91	86	19	82	94	F	23	59.04	1333	0	1	122	598
Ethanthova	William Stephen	3	90	96	46	38	66	47	76	95	68	87	90	F	22	63.12	1407	1	1	97	434
Solea	kekh pátélokain	4	55	80	77	67	34	44	78	23	95	22	74	F	21	63.59	1455	1	1	105	425
Barsein	Guvggillmào Nùx́iś	5	69	57	62	69	89	55	48	51	44	23	76	C+	24	60.61	74	0	1	103	534
Manwx Saguans	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Uemura Tadashi	1	117	114	62	32	56	81	91	111	69	19	63	B	30	74.72	442	-2	1	4	91
Barsein	Éxànnecig Hàŕselàn	2	111	76	101	72	33	56	102	133	64	95	78	B+	27	83.53	437	-2	1	4	21
Ethanthova	Rusty Harries	3	90	99	78	81	54	91	87	84	103	50	92	B	29	83.32	78	-2	6.8	6	23
Bielosia	Palani Phomsouvanh	4	64	62	92	95	68	95	74	26	103	50	74	C+	30	81.27	27	-3	1	10	32
Blaist_Blaland	Blalikki Kiixrit	5	46	32	97	90	99	51	89	45	77	66	98	C+	27	79.27	82	4	12	12	45
Aeridani	Himi Azumamaro	1	111	88	12	10	44	79	108	115	79	59	105	B	30	73.63	76	-1	8.8	6	103
Oesa	Eipe Hawo	2	97	106	66	64	63	88	75	108	79	50	105	C+	30	81.42	77	-1	1	7	30
Bielosia	Keon Keothavong	3	50	63	79	75	26	92	91	50	51	63	51	F	22	64.52	1450	1	1	86	388
Shmupland	Ok Yeong-Jin	4	55	69	70	107	57	76	80	46	99	96	104	B+	27	79.48	87	0	1.4	16	41
Aeridani	Himi Danjuro	5	81	83	87	68	53	63	45	64	52	31	82	F	25	60.81	1303	1	1	97	525
Blaist_Blaland	Pixtij Lekaxo	1	109	82	44	30	30	60	83	90	67	53	60	B	28	62.41	242	1	1	75	470
Shmupland	Sol Jae-Wook	2	82	106	78	80	82	72	64	82	102	61	79	B	29	79.33	85	-1	3.1	9	44
Sagua	Ḿavwápŕi Pimh 	3	31	68	56	4	10	91	66	80	78	73	67	D+	25	57.42	1234	1	1	135	675
Dotruga	Alundi Elodosatrisei	4	94	79	107	97	63	75	52	37	95	94	93	B	29	79.38	330	-2	1	17	42
Aeridani	Himi Danjuro	5	81	83	87	68	53	63	45	64	52	31	82	F	23	60.81	1387	1	1	97	525
Sagua Ocelots	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Oesa	Eipe Hawo	2	97	106	66	64	63	88	75	108	79	50	105	C+	30	81.42	77	-1	1	7	30
Dotruga	Alomibamobei Osadolsei	3	66	48	113	74	65	71	91	41	93	62	88	B	27	79.04	102	-1	1	10	46
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Auspikitan	Nio Oipa	5	25	35	85	90	76	60	90	9	62	51	85	C+	27	70.34	827	2	1	27	160
Aeridani	Takamitsu Takeji	1	92	99	28	39	52	77	73	89	56	58	77	F	23	62.56	1366	3	1	68	463
Dotruga	Hevek Himadolsei	2	83	9	79	67	48	77	54	79	65	46	75	C+	29	67.88	96	2	1	57	232
Loviniosa	Malo Sayasone	3	75	61	104	82	100	77	63	68	58	64	70	C+	31	75.59	238	3	1	14	70
Blaist_Blaland	Sopratyabla Kipafar	4	71	65	94	33	62	60	45	24	96	83	99	F	22	63.90	1445	1	1	99	417
Wyverncliff	Zac Lolant	5	77	35	65	39	105	71	55	79	73	22	92	B	28	69.08	95	0	5.8	39	181
Tri_National_Dominion	Ingo Samter 	1	55	59	65	59	9	69	67	88	62	25	52	D	28	62.08	1268	-1	1	77	479
Wyverncliff	Daniel Keaton	2	85	90	65	48	35	74	75	93	53	30	84	F	24	67.64	1296	0	1	59	237
Loviniosa	Malo Sayasone	3	75	61	104	82	100	77	63	68	58	64	70	C+	31	75.59	238	3	1	14	70
Blaist_Blaland	Darkon Piklo	4	61	25	90	88	81	46	81	14	7	53	65	C	28	59.09	189	1	1	142	596
Dotruga	Tuto Bexek	5	6	10	52	54	48	79	40	69	41	52	69	C+	24	52.44	1158	1	1	180	834
Solea Geysers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alomundi Bituna	1	1	43	64	52	82	78	98	1	101	54	84	C+	22	67.45	106	0	10.5	26	246
Wyverncliff	Daniel Keaton	2	85	90	65	48	35	74	75	93	53	30	84	F	22	67.64	1436	1	1	59	237
Bielosia	Kersok Milan	3	95	1	143	139	89	100	103	13	1	54	1	D	31	74.52	108	1	25	24	94
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Auspikitan	Makiaipisi Fana	5	94	66	117	109	95	72	88	48	104	52	90	B	29	90.09	110	2	25	2	4
Bielosia	Center #162	1	72	70	66	60	33	94	72	65	64	50	63	A	27	66.13	990	3	1	35	301
Darvincia	The Moo Saχi	2	79	66	44	42	27	55	82	95	74	45	52	D+	25	64.40	103	3	5.5	86	402
Transhimalia	Wakuni Senelile	3	96	95	58	32	43	71	81	93	81	73	87	F	23	67.29	1369	1	2.83251953125	54	248
Kaeshar	Eŋipxuk Nipta	4	71	80	92	71	58	56	28	27	95	43	91	F	24	66.30	1297	1	1	72	292
Dotruga	Kiromibakeili Tute 	5	44	20	67	65	70	86	69	31	27	89	100	D+	26	62.86	1200	-1	1	78	455
Aeridani	Takamitsu Takeji	1	92	99	28	39	52	77	73	89	56	58	77	F	23	62.56	1363	0	1	68	463
Czalliso	noe	2	85	96	47	38	74	50	74	95	46	28	96	F	23	63.34	1395	2	1	92	429
Holy_Yektonisa	Phetdum Bouvanaat 	3	8	68	76	81	67	82	70	86	11	56	83	D+	21	63.95	1238	1	1	92	414
Blaist_Blaland	Sopratyabla Kipafar	4	71	65	94	33	62	60	45	24	96	83	99	F	22	63.90	1440	1	1	99	417
Nausicaa	Ḿavwápŕi Sŕóniqńoqi	5	73	11	77	45	86	62	1	87	88	28	59	C+	24	59.53	120	1	1	117	583
Autolik Autonomy	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Ethanthova	Dennis Tsoi	2	83	77	39	39	42	84	90	96	61	24	99	C+	24	70.87	1197	-1	7.5	37	152
Kaeshar	Makiaipisi Finapeke	3	94	93	79	25	63	80	57	48	93	29	94	F	22	67.02	1373	2	1	57	257
Loviniosa	Keoki Vongsay	4	44	41	90	89	90	67	67	35	80	71	75	B	27	75.29	125	3	1	26	84
Auspikitan	Nio Oipa	5	25	35	85	90	76	60	90	9	62	51	85	C+	27	70.34	827	2	1	27	160
Dotruga	Himiba Alumosvek	1	100	92	34	19	34	36	82	91	99	75	96	F	22	64.52	1431	1	1	58	384
Solea	Malo Phoutthasinh	2	37	62	35	32	34	95	34	97	73	50	67	C+	27	62.58	576	-1	1	99	460
Ethanthova	William Stephen	3	90	96	46	38	66	47	76	95	68	87	90	F	23	63.12	1330	1	1	97	434
Pyxanovia	Ikaika Kethavongsa	4	55	63	78	81	65	63	71	37	99	40	80	C	24	72.97	129	-1	1.8	33	123
Kaeshar	Imuk Poi	5	27	29	64	95	90	36	64	21	70	20	77	F	25	64.49	1298	0	1	71	390
Auspikitan	Kipana Nibrit	1	93	108	16	17	26	82	83	97	62	47	51	C+	23	61.12	116	1	1	78	507
Solea	Malo Phoutthasinh	2	37	62	35	32	34	95	34	97	73	50	67	C+	27	62.58	576	-1	1	99	460
Bielosia	Paxathipatai Phoutthasinh	3	115	53	51	34	62	97	77	41	56	24	86	C+	25	61.62	128	-1	1	109	488
Aiyota	Mornay	4	34	47	113	103	56	63	78	44	38	52	50	B	30	70.05	135	1	1	43	165
Ethanthova	William James	5	76	40	63	65	91	68	66	1	66	52	8	C	28	60.45	465	-1	1	112	543
Barsein Bats	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Ethanthova	Iggy Bolter	2	65	76	64	47	66	93	66	107	62	47	96	C+	28	75.46	164	2	1	21	80
Wyverncliff	Matthew Grabochov	3	50	83	97	87	74	88	78	76	89	57	96	C+	29	83.75	139	0	12.5	5	20
Bielosia	Aulii Thonemany	4	104	87	108	104	55	78	51	54	66	15	93	C+	26	76.50	144	1	3.8	19	62
Loviniosa	Keahi Siyavong	5	31	42	85	108	74	57	58	52	103	49	79	B	28	74.54	148	1	6.5	20	93
Dotruga	Abosa Aludetsei 	1	44	32	10	10	25	85	95	115	58	60	68	B	25	64.22	1201	-1	5	62	405
Shmupland	Om Sung-Soo	2	83	75	84	19	79	58	39	95	76	68	63	F	22	66.02	1368	3	1	72	310
Transhimalia	Gmii Hlema	3	96	96	52	38	39	96	39	80	99	64	97	F	22	66.75	1446	1	1	60	267
Dotruga	Heine Umlauf	4	72	62	100	93	63	33	62	23	56	58	99	D+	26	66.39	915	1	1	62	276
Holy_Yektonisa	Maik Thepsenavong	5	32	35	84	31	72	92	52	37	40	78	51	F	20	58.34	1478	1	1	126	631
Aiyota	Aiyota Player #1	1	80	91	14	13	13	99	59	77	62	47	69	C	31	56.26	247	1	1	109	714
Aeridani	Nomura Harumi	2	99	99	51	41	45	64	54	85	81	37	73	F	23	64.48	1392	1	1	82	395
Oesa	Nouka Aq'aie	3	39	47	48	63	69	42	68	14	76	57	67	F	21	55.20	-1	1	1	158	752
Aahrus	Matsuyama Izo	4	99	92	72	56	45	61	90	27	97	75	57	F	24	65.78	1302	-1	1	76	318
Aeridani	Yamataka Danjuro	5	34	17	68	33	95	75	25	46	31	60	83	F	23	55.32	-1	0	1	156	750
Blanaxon Hammers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	P'uyo Unup'a	1	80	75	46	32	26	76	97	93	83	77	73	C+	28	70.77	165	0	4.3	13	154
Auspikitan	Eiqe Vokigei	2	85	79	75	81	68	77	104	94	82	34	96	B	29	84.16	166	2	1	2	17
Aeridani	Nobira Nariaki	3	98	60	72	61	120	45	100	105	91	57	87	C	28	83.14	154	1	20	7	24
Tri_National_Dominion	Edgar Fichtner	4	27	33	98	96	56	67	63	47	108	57	109	B	29	80.34	157	1	20.230565795353	14	38
Dotruga	Versi Alovek	5	68	57	91	80	119	93	70	62	87	51	65	C+	26	84.50	160	-1	1	6	15
Shmupland	Ha Chihu	1	78	64	62	29	44	53	88	104	56	82	97	B	27	66.75	387	-1	1	30	270
Ethanthova	Iggy Bolter	2	65	76	64	47	66	93	66	107	62	47	96	C+	28	75.46	164	2	1	21	80
Bielosia	Keon Keothavong	3	50	63	79	75	26	92	91	50	51	63	51	F	24	64.52	1313	3	1.440625	86	388
Blaist_Blaland	Sopratyabla Kipafar	4	71	65	94	33	62	60	45	24	96	83	99	F	23	63.90	1385	3	1	99	417
Nausicaa	Błá Váva	5	60	50	82	92	85	63	88	22	90	20	62	B	28	74.89	826	2	1	16	85
Dotruga	Bob Gagodo	1	72	57	70	77	43	59	47	86	84	54	69	C+	24	66.39	163	2	1	33	282
Aeridani	Nomura Harumi	2	99	99	51	41	45	64	54	85	81	37	73	F	22	64.48	1449	1	1	82	395
Shmupland	Eun Cho	3	91	51	9	104	10	88	91	54	63	50	66	C	26	59.91	229	1	1	118	567
Key_to_Don	Dylan Rooney	4	38	27	62	64	67	67	72	24	61	69	91	B+	24	61.60	737	0	1	118	493
Dotruga	Sagotru Vealerko	5	21	36	89	91	93	38	31	44	52	54	53	C+	25	61.60	800	2	1	88	489
Kaeshar Kaisers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Lilo Vatthana	1	101	113	36	19	54	66	101	110	66	55	90	C	26	70.66	167	0	7	14	155
Blaist_Blaland	Uxnax Prokexov	2	92	64	50	41	52	63	73	98	98	61	103	B	28	74.38	181	-2	1	25	95
Shmupland	Sol Song-Jin	3	35	20	101	70	88	65	86	99	106	106	72	B	29	85.51	175	-3	1	3	13
Barsein	Akamine Naizen	4	59	48	112	102	70	76	100	33	125	59	89	C	29	91.51	170	-1	1	3	2
Wyverncliff	Travis Traenfeglia	5	55	47	76	65	84	58	69	21	96	59	87	B	24	68.78	433	3	1	40	186
Lyintaria	Kaili Menorath	1	74	79	33	39	33	47	45	98	78	49	79	F	22	57.94	1435	1	1	99	646
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Key_to_Don	Key To Don Player #4	3	13	56	86	46	103	90	60	89	7	53	96	C	33	65.30	169	-1	1	77	346
Pyxanovia	Koa Sengtavisouk	4	66	72	83	55	76	56	83	17	64	80	55	F	23	62.98	1314	3	1	115	446
Darvincia	Làto Naksik	5	73	22	70	40	84	69	89	77	65	81	65	C+	30	68.43	526	-2	2.3	51	206
Dtersauuw_Sagua	P'uyo Lek'at	1	46	37	42	12	7	69	51	93	58	25	88	F	21	55.12	1381	1	1	113	758
Hinaika	Olue Pitwa	2	99	93	39	40	22	79	54	88	26	54	66	F	22	54.08	-1	1	1	159	804
Bielosia	Lani Siphandon	3	61	56	59	29	47	92	65	34	74	75	47	F	19	57.67	-1	1	1	127	663
Aeridani	Tanifuji Shirosama	4	6	44	82	71	20	64	66	66	83	65	10	C+	28	61.52	179	-2	3.7	120	495
Ethanthova	Carlos Harris	5	65	39	77	69	9	87	72	56	86	90	73	C	25	62.14	171	-1	10	84	475
Naxda Nomads	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Nausicaa	Vŕá Płońiblá	1	111	99	73	56	55	84	73	94	64	75	85	C	31	73.00	234	-3	1	7	118
Aahrus	Aahrus Player #1	2	111	65	14	19	86	89	66	114	78	57	94	B	33	72.64	12	-1	1	30	124
Nausicaa	Mhokba Djamhámhoñha	3	79	88	67	79	49	86	61	67	87	43	75	C+	26	71.10	195	-3	1	40	147
Blaist_Blaland	Tixen Prokol	4	85	48	97	98	83	87	73	17	90	54	70	B+	30	80.49	185	3	1	12	36
Wyverncliff	Zac Perch	5	16	22	57	64	83	49	67	19	92	38	67	F	23	62.23	1367	0	1	82	473
Aeridani	Takamitsu Takeji	1	92	99	28	39	52	77	73	89	56	58	77	F	22	62.56	1433	1	1	68	463
Shmupland	Om Sung-Soo	2	83	75	84	19	79	58	39	95	76	68	63	F	24	66.02	1305	-1	1	72	310
Transhimalia	Ienaga Ethanthovok	3	98	95	79	28	63	38	87	86	88	14	64	F	23	67.48	1425	1	1	51	243
Blaist_Blaland	Sopratyabla Kipafar	4	71	65	94	33	62	60	45	24	96	83	99	F	23	63.90	1382	0	1	99	417
Nausicaa	Atrêsga Cows	5	34	45	77	56	93	46	55	46	44	77	75	F	25	60.54	1304	1	1	106	537
Bongatar	Hexar Mann	1	69	93	22	5	8	66	90	85	74	1	88	C	28	60.35	645	1	1	86	544
Pyxanovia	Moke Savang	2	93	98	49	61	81	73	50	75	64	88	70	C	27	63.88	193	1	1	91	421
Blaist_Blaland	Blanox Liksov	3	56	73	61	15	21	55	60	94	71	33	85	F	23	56.31	-1	0	1	148	713
Blaist_Blaland	Darkon Piklo	4	61	25	90	88	81	46	81	14	7	53	65	C	28	59.09	189	1	1	142	596
Ethanthova	Rusty Caplin	5	34	36	68	79	82	31	44	25	66	69	82	F	23	58.14	1334	1	1	128	634
Red Rainbow Sickles	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Nausicaa	Vŕá Płońiblá	1	111	99	73	56	55	84	73	94	64	75	85	C	31	73.00	234	-3	1	7	118
Bielosia	Analu Vatthana	2	93	99	69	50	48	96	91	92	64	67	85	B	28	77.03	37	1	1	12	55
Holykol	xek	3	87	62	106	98	62	65	35	36	83	53	107	C+	35	71.20	256	-3	1	37	144
Ethanthova	Rusty Berry	4	57	63	103	116	84	70	89	22	108	38	72	C+	30	87.43	431	-2	1	5	7
Nausicaa	Błá Váva	5	60	50	82	92	85	63	88	22	90	20	62	B	28	74.89	826	2	1	16	85
Tri_National_Dominion	Gerard Holzer	1	101	96	64	63	62	62	49	109	66	46	87	B	30	68.50	61	3	1	17	200
Tri_National_Dominion	Asser Steinbauer	2	96	103	78	65	38	86	90	85	66	42	98	C+	25	76.72	314	1	1	17	60
Transhimalia	Ienaga Ethanthovok	3	98	95	79	28	63	38	87	86	88	14	64	F	24	67.48	1359	0	1	51	243
Blaist_Blaland	Tixen Prokol	4	85	48	97	98	83	87	73	17	90	54	70	B+	30	80.49	185	3	1	12	36
Kaeshar	Imuk Poi	5	27	29	64	95	90	36	64	21	70	20	77	F	23	64.49	1365	3	1	71	390
