Country	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aahrus	Small Forward #3	3	23	87	16	22	95	20	21	77	10	49	54	B	28	35.19	1089	1	1	207	1095
Dotruga	Small Forward #71	3	30	91	6	9	66	11	36	10	67	50	93	C+	28	34.90	1076	1	1	208	1097
Czalliso	elp	3	100	85	13	7	39	51	47	70	9	49	46	C+	26	33.29	1051	1	1	209	1099
Country	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aahrus	Shooting Guard #21	4	72	32	70	74	42	43	81	8	17	47	48	B	28	49.08	1093	1	1	194	913
Darvincia	First Last	4	41	21	101	100	59	27	8	6	6	52	78	C+	25	48.91	1120	1	1	195	918
Tri_National_Dominion	Shooting Guard #89	4	9	10	48	54	71	97	44	6	22	53	51	C	28	48.09	1124	1	1	196	928
Aiyota	Shooting Guard #14	4	55	18	92	85	47	37	29	28	7	45	54	C+	28	48.06	1114	1	1	197	930
Red_Rainbow	Shooting Guard #167	4	41	17	56	61	18	11	53	50	74	51	61	B	28	48.02	1109	1	1	198	931
Ethanthova	First Last	4	69	20	85	94	37	26	9	34	28	50	58	C+	26	47.90	1110	1	1	199	936
Auspikitan	Shooting Guard #125	4	51	40	62	64	7	53	21	29	73	47	55	B	28	47.25	1098	1	1	200	949
Barsein	Pau Vevapi	4	33	6	48	49	40	38	83	16	49	48	59	D+	26	47.22	1107	1	1	201	952
Blaist_Blaland	Shooting Guard #8	4	27	10	46	48	44	44	83	15	47	51	45	C	28	46.68	1112	1	1	202	960
Czalliso	Stephen McBob	4	59	22	65	66	57	24	45	32	23	48	70	C+	27	46.39	1103	1	1	203	963
Solea	Shooting Guard #113	4	46	46	55	57	53	18	17	60	54	51	58	B+	28	45.49	1097	1	1	204	976
Blaist_Blaland	Shooting Guard #70	4	20	29	65	71	51	25	42	37	26	54	45	D+	28	45.30	1128	1	1	205	980
Holykol	Shooting Guard #121	4	15	33	80	76	25	26	12	47	29	45	77	C+	28	44.96	1133	1	1	206	986
Key_to_Don	Shooting Guard #112	4	51	48	54	52	33	51	23	36	55	52	55	C+	28	44.86	1096	1	1	207	988
Tri_National_Dominion	Uwe Fein	4	70	26	62	52	9	40	74	15	44	89	57	C+	25	44.73	1104	1	1	208	989
Height_Sagua	Shooting Guard #165	4	38	28	38	38	37	46	23	49	73	46	56	B	28	43.99	1108	1	1	209	997
Height_Sagua	Shooting Guard #75	4	10	17	46	54	44	13	46	18	59	46	75	C+	28	43.44	1129	1	1	210	1010
Barsein	Shooting Guard #49	4	25	16	60	56	43	43	29	15	46	54	45	C	28	43.37	1127	1	1	211	1011
Blaist_Blaland	Shooting Guard #136	4	16	44	34	31	50	23	54	51	57	50	58	B	28	42.48	1135	1	1	212	1020
Holy_Yektonisa	Shooting Guard #108	4	45	17	53	52	12	10	52	48	57	47	63	B+	28	42.37	1130	1	1	213	1022
Auspikitan	Shooting Guard #140	4	22	23	32	26	38	39	59	34	68	49	51	D+	28	42.22	1126	1	1	214	1025
Bielosia	Shooting Guard #122	4	37	24	55	64	22	11	8	42	62	54	76	C	28	41.73	1139	1	1	215	1031
Shmupland	Shooting Guard #124	4	27	41	53	53	10	10	34	22	78	53	56	C	28	41.21	1140	1	1	216	1036
Ethanthova	Shooting Guard #60	4	55	14	53	53	49	63	12	22	26	50	49	B	28	40.73	1137	1	1	217	1041
Dotruga	Red Rainbow Player #11	4	74	18	54	46	43	20	42	32	18	46	104	C+	28	40.30	1121	1	1	218	1047
Pyxanovia	Shooting Guard #114	4	30	41	44	37	40	45	34	29	37	51	78	B	28	40.01	1125	1	1	219	1050
Height_Sagua	Shooting Guard #119	4	39	43	29	29	7	43	56	22	72	50	71	D+	28	39.66	1118	1	1	220	1057
Shmupland	Shooting Guard #137	4	49	27	28	33	46	5	34	42	72	46	69	C+	28	39.41	1119	1	1	221	1060
Aiyota	Shooting Guard #109	4	41	43	36	41	36	7	20	23	82	47	55	D	28	38.61	1131	1	1	222	1072
Ethanthova	Shooting Guard #162	4	35	45	41	37	48	56	25	23	30	51	55	B	28	37.89	1136	1	1	223	1077
Red_Rainbow	Shooting Guard #110	4	49	44	44	40	35	46	18	31	20	49	83	C+	28	35.82	1138	1	1	224	1090
Shmupland	Shooting Guard #115	4	35	42	6	28	50	31	5	18	81	45	81	C	28	35.56	1132	1	1	225	1093
Lyintaria	Shooting Guard #131	4	42	42	20	16	34	35	57	29	45	54	71	C+	28	34.75	1134	1	1	226	1098
Country	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Dvinme Player #7	5	41	44	70	68	39	40	40	33	40	46	94	B	28	48.91	1147	1	1	193	916
Czalliso	Point Guard #128	5	34	32	52	48	54	66	29	25	54	53	71	C	28	48.12	1151	1	1	195	926
Darvincia	Point Guard #154	5	31	15	56	64	61	34	40	34	54	54	46	C+	28	48.09	1188	1	1	196	929
Lyintaria	Kiromi Hisei	5	39	43	72	74	43	43	39	25	41	48	48	C+	24	47.94	1181	1	1	197	933
Aeridani	Crispy Dribble	5	17	5	32	27	84	60	55	25	25	48	81	C+	25	47.65	1149	1	1	198	940
Barsein	Tanau Krofar	5	61	42	66	68	53	48	36	34	27	52	46	C	24	47.47	1157	1	1	199	944
Tri_National_Dominion	Point Guard #159	5	28	42	50	53	74	43	52	25	17	54	57	B	28	47.07	1189	1	1	200	953
Loviniosa	Paxathipatai Menorath	5	24	27	46	46	68	42	42	33	29	53	96	C	27	46.85	1160	1	1	201	958
Darvincia	Point Guard #20	5	25	9	60	56	35	46	48	27	57	53	52	C+	28	46.23	1170	1	1	202	966
Holy_Yektonisa	Point Guard #118	5	58	9	47	48	48	53	39	38	54	54	51	C+	28	46.10	1164	1	1	203	968
Transhimalia	Point Guard #127	5	29	17	40	38	84	45	55	31	15	47	46	B	28	45.52	1174	1	1	204	975
Shmupland	Jung Kim	5	49	43	49	54	46	44	45	33	33	52	84	C+	26	45.44	1154	1	1	205	978
Barsein	Point Guard #135	5	42	19	46	54	71	28	42	13	46	49	63	C+	28	45.32	1175	1	1	206	979
Oesa	Point Guard #3	5	60	21	50	53	49	52	44	18	41	48	49	C	28	45.04	1180	1	1	207	983
Red_Rainbow	Point Guard #146	5	41	26	47	48	72	39	47	7	24	45	76	F+	28	44.99	1166	1	1	208	985
Aeridani	Onishi Takeji	5	49	25	30	27	76	63	30	32	44	45	63	C	25	44.88	1146	1	1	209	987
Dtersauuw_Sagua	Point Guard #125	5	47	5	46	48	51	36	52	23	50	50	50	C	28	44.24	1185	1	1	210	995
Bielosia	Point Guard #143	5	26	31	39	43	51	26	54	42	57	46	61	D+	28	43.92	1186	1	1	211	999
Wyverncliff	Point Guard #101	5	64	15	44	36	48	61	62	10	29	45	47	B	28	43.79	1183	1	1	212	1000
Dtersauuw_Sagua	Point Guard #105	5	44	21	26	29	72	41	63	28	27	50	69	C+	28	43.64	1172	1	1	213	1005
Height_Sagua	Height Sagua Player #8	5	49	29	37	37	65	35	63	13	26	50	77	C	28	43.54	1148	1	1	214	1006
Key_to_Don	Key To Don Player #12	5	54	21	26	25	53	67	61	8	34	49	78	C+	28	43.49	1168	1	1	215	1008
Aiyota	Point Guard #168	5	22	38	32	29	75	51	60	21	16	48	56	C	28	43.46	1190	1	1	216	1009
Oesa	Point Guard #129	5	47	31	40	41	66	25	46	44	36	45	66	C	28	43.28	1145	1	1	217	1013
Bielosia	Dvinme Player #9	5	48	28	33	29	78	58	28	33	35	51	50	C+	28	43.20	1156	1	1	218	1014
Aiyota	map	5	48	16	34	28	52	45	73	16	30	52	74	D+	26	43.13	1178	1	1	219	1016
Bongatar	Point Guard #140	5	32	35	43	41	55	25	48	38	31	48	99	C+	28	42.86	1152	1	1	220	1019
Auspikitan	Point Guard #120	5	47	25	18	19	82	34	49	37	51	47	53	C+	28	42.29	1165	1	1	221	1023
Loviniosa	Kai Thammavong	5	61	5	26	26	51	44	55	39	32	52	100	C+	23	42.26	1159	1	1	222	1024
Transhimalia	Ok Jae-Wook	5	22	36	30	33	53	62	29	19	38	50	103	C	27	42.07	1182	1	1	223	1027
Holykol	Point Guard #33	5	40	44	30	30	54	54	31	43	33	53	95	B	28	41.68	1171	1	1	224	1032
Aeridani	Point Guard #122	5	56	13	36	36	45	28	40	103	25	54	67	C	28	41.04	1173	1	1	225	1037
Ethanthova	Point Guard #156	5	52	17	29	28	67	27	56	21	35	52	71	C+	28	40.68	1167	1	1	226	1042
Wyverncliff	Ivan Buchov	5	40	42	34	29	53	48	33	35	29	50	101	D+	27	40.66	1177	1	1	227	1043
Sagua	Point Guard #102	5	64	37	27	27	55	55	33	24	54	52	50	C+	28	40.31	1163	1	1	228	1046
Blaist_Blaland	Point Guard #144	5	42	33	7	8	75	53	56	17	45	53	57	D+	28	40.10	1153	1	1	229	1049
Sagua	Point Guard #115	5	40	41	27	28	45	33	38	33	74	51	57	C	28	39.22	1184	1	1	230	1065
Blaist_Blaland	Point Guard #138	5	43	38	14	11	75	28	54	11	43	49	92	B	28	38.87	1176	1	1	231	1069
Bielosia	Point Guard #153	5	64	18	27	27	56	32	48	21	40	48	65	C+	28	38.40	1187	1	1	232	1075
