University of Pxalit'k'a players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Dezik Fekku,148,3103,899,933,979,441,45.0459652706844,0,0,88,51,75,262,326,80,246,197,955,378,39.5811518324607, 3.81081081081081
Ivi Vokigei,99,2116,320,1078,865,448,51.7919075144509,258,79,4,3,38,16,249,52,197,25,906,514,56.7328918322296, 2.35353535353535
Oiŋi Finapeke,126,2438,935,1843,1417,760,53.6344389555399,445,150,6,4,71,63,352,86,266,140,750,305,40.6666666666667, 1.4047619047619
Biplatza Nide,96,2874,159,485,469,241,51.3859275053305,0,0,4,3,32,5,821,205,616,60,399,194,48.6215538847118, 2.02083333333333
Iveo Vuki,94,2551,192,993,915,487,53.224043715847,7,1,24,13,73,16,461,125,336,126,1005,556,55.3233830845771, 4.61702127659574
Dezik Fekku,148,3103,899,933,979,441,45.0459652706844,0,0,88,51,75,262,326,80,246,197,955,378,39.5811518324607, 3.81081081081081
Ivi Vokigei,99,2116,320,1078,865,448,51.7919075144509,258,79,4,3,38,16,249,52,197,25,906,514,56.7328918322296, 2.35353535353535
Oiŋi Finapeke,126,2438,935,1843,1417,760,53.6344389555399,445,150,6,4,71,63,352,86,266,140,750,305,40.6666666666667, 1.4047619047619
Biplatza Nide,96,2874,159,485,469,241,51.3859275053305,0,0,4,3,32,5,821,205,616,60,399,194,48.6215538847118, 2.02083333333333
Nio Kivi,96,2474,182,934,917,461,50.2726281352235,0,0,22,12,89,40,484,129,355,79,1079,574,53.1974050046339, 0.75
Kipana Kateni,70,1758,213,484,473,241,50.9513742071882,0,0,6,2,26,51,177,42,135,92,497,212,42.6559356136821, 1.65714285714286
Pau Nibrit,126,1823,327,738,629,369,58.664546899841,0,0,0,0,46,29,201,57,144,86,741,357,48.1781376518219, -0.00793650793650794
Klegna Vokigei,89,1181,147,298,271,149,54.9815498154982,0,0,0,0,18,13,133,33,100,12,439,225,51.25284738041, -0.0112359550561798
University of Alteus players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Steve Svensson,64,891,172,275,270,134,49.6296296296296,0,0,10,7,17,11,420,121,299,57,308,148,48.0519480519481, 0.96875
Daniel Keaton,99,2412,499,1242,1061,621,58.5296889726673,0,0,2,0,67,76,585,174,411,205,800,282,35.25, 3.76767676767677
Alex Keaton,74,1796,345,530,513,243,47.3684210526316,76,22,8,5,33,9,178,53,125,67,769,408,53.0559167750325, 2.64864864864865
Shadd Drake,81,1978,162,1362,1140,680,59.6491228070175,0,0,2,2,68,28,232,66,166,97,809,404,49.938195302843, 2.90123456790123
Zac Perch,69,1458,671,751,578,313,54.1522491349481,181,56,0,0,35,22,214,51,163,79,569,216,37.9613356766257, 3.59420289855072
Thomas Byrne,64,1618,184,593,508,293,57.6771653543307,0,0,22,7,28,15,364,111,253,57,583,285,48.885077186964, 2.46875
Nathaniel Lolant,118,2700,443,1198,1053,592,56.2203228869896,0,0,18,14,62,39,587,164,423,161,979,441,45.0459652706844, 1.23728813559322
Alex Keaton,74,1796,345,530,513,243,47.3684210526316,76,22,8,5,33,9,178,53,125,67,769,408,53.0559167750325, 2.64864864864865
Pat Wells,128,2599,397,1266,1052,535,50.8555133079848,355,96,2,0,59,22,284,78,206,89,1133,574,50.6619593998235, 1.2109375
Travis Wells,87,2133,571,826,724,412,56.9060773480663,0,0,4,2,44,15,258,79,179,47,847,416,49.1145218417946, 1.7816091954023
Thomas Byrne,64,1618,184,593,508,293,57.6771653543307,0,0,22,7,28,15,364,111,253,57,583,285,48.885077186964, 2.46875
Brian Fine,2,22,5,2,8,1,12.5,0,0,0,0,1,0,6,2,4,7,16,8,50, -0.5
Johan Turner,64,1420,206,502,444,206,46.3963963963964,156,55,7,7,23,14,151,37,114,33,564,288,51.063829787234, 2.390625
Pat Wells,128,2599,397,1266,1052,535,50.8555133079848,355,96,2,0,59,22,284,78,206,89,1133,574,50.6619593998235, 1.2109375
Travis Wells,87,2133,571,826,724,412,56.9060773480663,0,0,4,2,44,15,258,79,179,47,847,416,49.1145218417946, 1.7816091954023
University of Saelunavvk players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
lagak tepal,64,1980,325,748,663,370,55.8069381598793,0,0,16,8,34,19,399,110,289,106,525,250,47.6190476190476, 0.046875
kakuzek pátélokain,75,1789,107,578,609,282,46.3054187192118,0,0,22,14,45,12,511,140,371,149,739,355,48.0378890392422, -1.18666666666667
petgek átnhílekh,134,2416,452,996,838,497,59.3078758949881,0,0,2,2,43,27,238,77,161,117,946,465,49.154334038055, 0.208955223880597
kekh pátélokain,41,820,167,839,607,419,69.0280065897858,1,1,0,0,21,6,128,41,87,42,296,136,45.945945945946, -0.51219512195122
zepkék okepekít,64,1483,644,319,346,155,44.7976878612717,0,0,12,9,20,20,167,45,122,35,521,258,49.5201535508637, 0.203125
lagak tepal,64,1980,325,748,663,370,55.8069381598793,0,0,16,8,34,19,399,110,289,106,525,250,47.6190476190476, 0.046875
kakuzek pátélokain,75,1789,107,578,609,282,46.3054187192118,0,0,22,14,45,12,511,140,371,149,739,355,48.0378890392422, -1.18666666666667
petgek zaiqatpit,69,1248,163,438,407,218,53.5626535626536,0,0,2,2,24,10,125,45,80,34,519,245,47.2061657032755, -0.347826086956522
kekh lekeŋ,60,1274,260,900,725,450,62.0689655172414,0,0,0,0,36,15,184,46,138,68,490,233,47.5510204081633, 1.18333333333333
zepkék okepekít,64,1483,644,319,346,155,44.7976878612717,0,0,12,9,20,20,167,45,122,35,521,258,49.5201535508637, 0.203125
zepkék kutap,61,833,118,327,291,163,56.0137457044674,0,0,2,1,18,11,169,44,125,16,309,179,57.9288025889968, 0.0655737704918033
vaŋun tŋken,66,1157,208,282,290,140,48.2758620689655,0,0,6,2,27,10,217,68,149,70,501,269,53.6926147704591, 0.712121212121212
petgek zaiqatpit,69,1248,163,438,407,218,53.5626535626536,0,0,2,2,24,10,125,45,80,34,519,245,47.2061657032755, -0.347826086956522
tikit' aiqík,124,3888,685,1916,1549,825,53.2601678502259,457,125,3,3,96,38,393,115,278,101,1892,979,51.7441860465116, 1.69354838709677
tikit' kuvkithet,61,1165,178,358,293,138,47.098976109215,120,31,15,8,16,14,149,34,115,34,340,150,44.1176470588235, 0.836065573770492
University of Nausicaa players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Sávákán Vanho,64,683,26,172,166,84,50.6024096385542,0,0,12,4,15,30,148,36,112,38,163,74,45.398773006135, 2.65625
Tapan Sikasbë,64,1407,203,456,410,220,53.6585365853659,0,0,22,16,30,13,423,111,312,54,532,273,51.3157894736842, 1.390625
Mi'ódá Zlánáḿ,64,1712,270,656,560,328,58.5714285714286,0,0,2,0,39,19,153,48,105,82,554,247,44.5848375451264, 1.0625
Vŕá Ńařa,32,672,108,289,230,123,53.4782608695652,66,25,0,0,14,3,74,23,51,20,245,123,50.2040816326531, 2
Atrêsga Cows,100,2106,1155,1523,1271,630,49.5672698662471,420,127,22,19,56,31,332,74,258,60,727,314,43.191196698762, 0.07
Sávákán Vanho,64,683,26,172,166,84,50.6024096385542,0,0,12,4,15,30,148,36,112,38,163,74,45.398773006135, 2.65625
Tapan Sikasbë,64,1407,203,456,410,220,53.6585365853659,0,0,22,16,30,13,423,111,312,54,532,273,51.3157894736842, 1.390625
Mi'ódá Zlánáḿ,64,1712,270,656,560,328,58.5714285714286,0,0,2,0,39,19,153,48,105,82,554,247,44.5848375451264, 1.0625
Ǵŕópjó Słanák,98,1664,127,748,586,306,52.2184300341297,206,72,5,4,36,18,179,43,136,52,672,374,55.6547619047619, 0.897959183673469
Mazló Nasa,96,3177,854,1234,1161,508,43.755383290267,249,69,81,52,71,24,424,93,331,53,1260,649,51.5079365079365, -2.30208333333333
Kĺokŕañhá Blamhákpwano,128,4853,186,671,568,335,58.9788732394366,0,0,2,1,48,16,1049,241,808,88,786,440,55.9796437659033, -1.6796875
Tapan Kanix,85,2016,278,658,684,322,47.0760233918129,0,0,32,14,55,16,358,77,281,78,764,422,55.2356020942408, -0.694117647058824
Mom Slivókŕámhomhók,69,1451,111,583,503,240,47.713717693837,168,49,7,5,24,30,144,33,111,83,448,194,43.3035714285714, 1.82608695652174
Kĺokŕañhá Qlámipanońqo,38,532,75,181,142,69,48.5915492957746,57,18,6,4,13,5,30,5,25,8,229,136,59.3886462882096, 1.36842105263158
Mazló Nasa,96,3177,854,1234,1161,508,43.755383290267,249,69,81,52,71,24,424,93,331,53,1260,649,51.5079365079365, -2.30208333333333
University of Noxium players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Sovlik Naxix,64,1513,165,224,213,111,52.112676056338,0,0,8,2,44,13,400,93,307,68,499,249,49.8997995991984, 0.8125
Sopratyabla Toso,32,801,108,310,315,151,47.9365079365079,0,0,20,8,13,13,149,44,105,54,254,123,48.4251968503937, 2.09375
Blanox Liksov,83,2357,257,1467,1354,732,54.0620384047267,4,2,4,1,88,31,756,210,546,142,924,411,44.4805194805195, 1.97590361445783
Nukunaix Lizaxium,121,1867,188,1644,1317,692,52.5436598329537,416,119,3,2,97,23,255,58,197,88,732,350,47.8142076502732, 2.01652892561983
Noxuxnaix Proki,96,3351,1029,1428,1235,568,45.9919028340081,461,121,29,20,75,44,392,90,302,47,1366,669,48.9751098096633, 2
Sovlik Naxix,64,1513,165,224,213,111,52.112676056338,0,0,8,2,44,13,400,93,307,68,499,249,49.8997995991984, 0.8125
Lakolku Krofar,64,1398,81,397,443,186,41.9864559819413,0,0,42,25,45,19,297,62,235,54,458,217,47.3799126637555, -0.765625
Blanox Ritkropro,32,564,62,228,225,112,49.7777777777778,0,0,6,4,20,41,60,14,46,34,168,66,39.2857142857143, 0.90625
Nukunaix Lizaxium,121,1867,188,1644,1317,692,52.5436598329537,416,119,3,2,97,23,255,58,197,88,732,350,47.8142076502732, 2.01652892561983
Noxuxnaix Proki,96,3351,1029,1428,1235,568,45.9919028340081,461,121,29,20,75,44,392,90,302,47,1366,669,48.9751098096633, 2
Pratnoxpro Pasovya,64,1194,91,335,364,160,43.956043956044,0,0,42,15,34,9,269,60,209,37,445,247,55.5056179775281, 0.96875
Lakolku Krofar,64,1398,81,397,443,186,41.9864559819413,0,0,42,25,45,19,297,62,235,54,458,217,47.3799126637555, -0.765625
Kuilikki Idaso,74,2073,377,1122,972,461,47.4279835390946,324,94,11,9,55,21,270,69,201,64,910,480,52.7472527472528, 0.175675675675676
Uxku Noxkol,57,1155,222,304,299,151,50.5016722408027,0,0,4,2,39,12,183,37,146,53,493,251,50.9127789046653, -1.84210526315789
Sopratyabla Kaxpa,64,1261,88,257,298,118,39.5973154362416,14,1,36,16,37,12,166,42,124,22,448,219,48.8839285714286, -1.109375
University of Prokax players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Uxnax Proki,32,106,3,64,47,32,68.0851063829787,0,0,0,0,3,3,25,9,16,5,30,13,43.3333333333333, 1.09375
Uxproku Tanpratia,128,3904,810,1633,1441,812,56.3497571131159,0,0,14,9,95,55,774,190,584,161,1596,847,53.0701754385965, -0.390625
Danax Kolau,67,1726,345,683,618,291,47.0873786407767,195,51,2,2,33,25,174,41,133,93,621,289,46.5378421900161, 5.32835820895522
Kudapa Tanpratia,74,1466,182,1080,914,539,58.9715536105033,0,0,2,2,45,17,150,41,109,50,535,272,50.8411214953271, 3.27027027027027
