Division A, Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank, Division Wins, Division Losses, Conference Wins, Conference Losses
Ethanthova Ponies,39,45,10146,10178,4,10,18,2,0,27,27,W3,9 - 1
Aiyota Pumps,37,47,10337,10436,5,12,21,1,1,20,34,W1,3 - 7
Avura Aviators,37,47,9882,10101,6,13,23,2,0,27,27,W2,6 - 4
Faehrenfall Feathercats,35,49,8477,8629,7,14,25,0,2,20,34,L1,7 - 3
TND Tanks,31,53,9176,9447,8,16,29,1,1,19,35,L3,3 - 7
Division D
Dvimne Spirits,55,29,8906,8550,1,2,3,1,1,35,19,L1,4 - 6
Pyxanovia Pixies,54,30,9727,9390,2,3,4,2,0,35,19,W1,5 - 5
Bongatar Banging Bongos,45,39,8577,8486,3,6,12,1,1,32,22,L1,3 - 7
Holykol Bears,43,41,10120,10055,4,7,14,1,1,24,30,W3,5 - 5
Transhimalia Disasters,42,42,9360,9302,5,8,16,1,1,26,28,W2,5 - 5
Lyintaria Lynx,41,43,9490,9553,6,9,17,1,1,27,27,W1,3 - 7
Holy Yektonisa Bishops,38,46,8671,8865,7,11,20,0,2,21,33,W1,6 - 4
Czalliso Pythons,34,50,9785,10014,8,15,27,2,0,25,29,L1,3 - 7
Division A, Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank, Division Wins, Division Losses, Conference Wins, Conference Losses
Aahrus Moosi,0,0,0,0,1,1,1,0,0,0,0,L0,0 - 0
Auspikitan Golden Falcons,0,0,0,0,2,2,3,0,0,0,0,L0,0 - 0
Calto Cows,0,0,0,0,3,6,10,0,0,0,0,L0,0 - 0
Height Sagua Cats,0,0,0,0,4,7,16,0,0,0,0,L0,0 - 0
Key to Don Yees,0,0,0,0,5,9,20,0,0,0,0,L0,0 - 0
Manwx Saguans,0,0,0,0,6,10,22,0,0,0,0,L0,0 - 0
Sagua Ocelots,0,0,0,0,7,13,26,0,0,0,0,L0,0 - 0
Solea Geysers,0,0,0,0,8,16,29,0,0,0,0,L0,0 - 0
Division B
Autolik Autonomy,0,0,0,0,1,3,4,0,0,0,0,L0,0 - 0
Barsein Bats,0,0,0,0,2,4,6,0,0,0,0,L0,0 - 0
Blanaxon Hammers,0,0,0,0,3,5,7,0,0,0,0,L0,0 - 0
Kaeshar Kaisers,0,0,0,0,4,8,19,0,0,0,0,L0,0 - 0
Naxda Nomads,0,0,0,0,5,11,23,0,0,0,0,L0,0 - 0
Red Rainbow Sickles,0,0,0,0,6,12,25,0,0,0,0,L0,0 - 0
Serkr Atolls,0,0,0,0,7,14,27,0,0,0,0,L0,0 - 0
Shmupland Dictators,0,0,0,0,8,15,28,0,0,0,0,L0,0 - 0
Division C
Aiyota Pumps,0,0,0,0,1,1,2,0,0,0,0,L0,0 - 0
Avura Aviators,0,0,0,0,2,2,5,0,0,0,0,L0,0 - 0
Boltway Bad Dragons,0,0,0,0,3,3,8,0,0,0,0,L0,0 - 0
Dotruga Falno,0,0,0,0,4,6,12,0,0,0,0,L0,0 - 0
Ethanthova Ponies,0,0,0,0,5,8,14,0,0,0,0,L0,0 - 0
Faehrenfall Feathercats,0,0,0,0,6,9,15,0,0,0,0,L0,0 - 0
Stedro Boulders,0,0,0,0,7,14,30,0,0,0,0,L0,0 - 0
TND Tanks,0,0,0,0,8,15,31,0,0,0,0,L0,0 - 0
Division D
Bongatar Banging Bongos,0,0,0,0,1,4,9,0,0,0,0,L0,0 - 0
Czalliso Pythons,0,0,0,0,2,5,11,0,0,0,0,L0,0 - 0
Dvimne Spirits,0,0,0,0,3,7,13,0,0,0,0,L0,0 - 0
Holy Yektonisa Bishops,0,0,0,0,4,10,17,0,0,0,0,L0,0 - 0
Holykol Bears,0,0,0,0,5,11,18,0,0,0,0,L0,0 - 0
Lyintaria Lynx,0,0,0,0,6,12,21,0,0,0,0,L0,0 - 0
Pyxanovia Pixies,0,0,0,0,7,13,24,0,0,0,0,L0,0 - 0
Transhimalia Disasters,0,0,0,0,8,16,32,0,0,0,0,L0,0 - 0
