New Rookies	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Phetdum Savang	3	65	69	50	10	18	92	52	34	82	73	97	D+	22	53.72	-1	1	1	0	0
Bielosia	Keon Douangvily	3	95	99	81	47	61	45	64	68	93	49	91	C	20	67.91	-1	1	1	0	0
Bielosia	Kawaii Thepsenavong	1	78	79	11	5	25	59	61	91	77	55	65	C	20	54.63	-1	1	1	0	0
Bielosia	Malo Keobunta	3	80	70	58	89	39	37	67	37	42	96	53	D	19	51.50	-1	1	1	0	0
Bielosia	Maik Phothisarath	2	94	95	55	14	31	59	83	92	43	47	84	D+	20	60.93	-1	1	1	0	0
Bielosia	Keahi Inthisane	2	100	100	42	37	52	83	28	94	98	67	100	C	20	68.53	-1	1	1	0	0
Bielosia	Keon Siyavong	4	50	26	73	82	78	76	52	24	97	66	71	D+	21	71.22	-1	1	1	0	0
Lyintaria	Mya Cheruene	4	15	11	54	36	18	14	10	17	56	23	85	D+	22	34.58	-1	1	1	0	0
Lyintaria	Kelii Khouphongsy	3	58	54	54	39	32	93	64	46	90	86	100	C	21	63.53	-1	1	1	0	0
Lyintaria	Lae Bouvanaat	1	71	64	64	19	52	40	43	91	78	54	78	C	21	58.43	-1	1	1	0	0
Lyintaria	Kimo Khouphongsy	1	68	65	20	22	38	74	45	79	60	63	81	D+	21	53.49	-1	1	1	0	0
Lyintaria	Phetdum Khouphongsy	2	97	90	53	25	49	68	73	96	60	33	77	C	20	65.80	-1	1	1	0	0
Lyintaria	Akamu Bouphavanh	4	38	38	68	80	26	58	50	16	55	12	65	C+	20	53.33	-1	1	1	0	0
Lyintaria	Phetdum Savang	5	45	47	63	60	60	54	31	39	70	38	64	C	22	53.24	-1	1	1	0	0
Pyxanovia	Meka Phomsouvanh	4	55	61	76	41	51	39	39	5	97	21	64	C	22	54.46	-1	1	1	0	0
Pyxanovia	Konala Ketthavong	1	88	97	34	23	44	72	63	99	74	60	71	C+	23	63.51	-1	1	1	0	0
Pyxanovia	Mya Phanivong	4	35	25	55	54	20	18	54	39	72	94	81	C	22	47.80	-1	1	1	0	0
Holy_Yektonisa	Maik Thepsenavong	5	63	48	90	31	92	96	59	44	52	91	58	D+	20	66.63	-1	1	1	0	0
Holy_Yektonisa	Malo Phothisarath	3	57	71	74	35	48	93	86	52	57	62	97	C	21	65.28	-1	1	1	0	0
Holy_Yektonisa	Paxathipatai Saenthavisouk	5	64	72	89	49	100	98	44	40	54	30	89	B	21	70.15	-1	1	1	0	0
Other	Yoade Jordanov	3	80	76	64	29	39	48	72	46	31	93	92	D+	22	48.98	-1	1	1	0	0
Other	Max Jordanov	1	91	91	30	22	16	57	99	90	45	42	64	C	20	57.35	-1	1	1	0	0
Other	Johan Keaton	5	35	54	70	72	61	55	78	36	50	23	70	C	22	60.88	-1	1	1	0	0
Other	Pat Turner	3	31	44	43	20	38	38	28	21	72	55	90	D+	22	41.75	-1	1	1	0	0
Other	Asher Jordanov	1	78	75	50	20	41	41	62	99	43	45	94	D+	23	55.35	-1	1	1	0	0
Other	Nathaniel Tooli	1	56	36	40	20	22	21	24	41	41	11	77	C+	19	33.28	-1	1	1	0	0
Ethanthova	William Gilroy	3	66	63	62	21	29	61	36	61	64	35	91	D	20	50.92	-1	1	1	0	0
Ethanthova	Eric Spivey	2	100	97	21	16	74	53	79	94	39	48	90	B	19	58.26	-1	1	1	0	0
Ethanthova	Bruce Fudge	4	92	74	58	55	37	17	70	35	81	78	65	C	21	53.31	-1	1	1	0	0
Ethanthova	Gerard Fowler	5	65	82	98	66	92	62	45	23	57	14	84	B	20	66.28	-1	1	1	0	0
Ethanthova	Thomas Rooney	2	68	75	49	18	70	49	34	88	94	80	73	B	19	61.37	-1	1	1	0	0
Ethanthova	Jack Gilroy	5	47	33	38	70	91	67	76	27	30	48	79	F+	22	60.37	-1	1	1	0	0
Ethanthova	Laurence Lunn	1	39	72	22	28	15	23	43	95	85	56	91	D	22	51.95	-1	1	1	0	0
Ethanthova	Carlos Hollingsworth	2	68	81	42	30	48	63	69	47	38	83	67	C	20	50.44	-1	1	1	0	0
Ethanthova	Henry Spicer	3	64	37	67	18	45	54	69	28	90	46	93	C	21	57.54	-1	1	1	0	0
Ethanthova	Bransby Vickers	4	79	58	89	66	50	84	71	36	99	33	81	C	20	73.16	-1	1	1	0	0
Ethanthova	Conor Newton	5	13	11	61	45	47	19	64	16	17	97	85	D+	19	41.81	-1	1	1	0	0
Ethanthova	Thomas Brown	1	56	79	26	17	12	38	61	100	57	55	61	D	20	50.72	-1	1	1	0	0
Ethanthova	Malcolm Bowyer	5	68	71	42	59	81	71	32	35	67	14	52	C	20	55.46	-1	1	1	0	0
Ethanthova	Michael Spivey	1	83	91	40	9	15	42	54	96	51	98	70	C+	22	50.38	-1	1	1	0	0
Ethanthova	Barney Harris	3	27	25	46	28	37	25	24	44	43	88	82	D+	22	37.37	-1	1	1	0	0
Ethanthova	Iggy Conway	5	52	60	70	99	97	27	54	31	67	90	83	D+	20	65.32	-1	1	1	0	0
Ethanthova	Barry Pool	2	87	79	19	11	50	99	76	44	55	63	67	D	19	55.80	-1	1	1	0	0
Dotruga	Omeri Besedoxek	5	58	52	67	41	93	59	36	12	48	96	91	C	21	55.58	-1	1	1	0	0
Dotruga	Melebin Bexoxek	1	92	92	47	9	38	77	89	93	61	52	58	D	22	64.24	-1	1	1	0	0
Dotruga	Alotru Hiemeta	5	30	29	43	94	94	35	60	27	88	8	97	C+	19	65.02	-1	1	1	0	0
Dotruga	Alubembi Olalomundi	5	53	69	72	73	94	83	52	24	53	97	86	C	20	67.69	-1	1	1	0	0
Dotruga	Sagolnasei Bexek	5	44	37	48	46	90	52	21	32	41	31	87	C	22	50.19	-1	1	1	0	0
Dotruga	Danomobei Hersa	5	24	21	32	70	66	19	46	27	49	38	54	D	22	44.55	-1	1	1	0	0
Dotruga	Danombi Hialerko	3	73	77	56	32	33	30	56	55	97	41	65	C	22	54.23	-1	1	1	0	0
Dotruga	Dugaro Himadosadetsei	2	100	90	50	25	61	37	94	63	95	78	98	D+	22	66.61	-1	1	1	0	0
Dotruga	Dasarbi Hadosadolsei	2	84	82	50	57	59	85	86	92	94	75	81	C	21	78.30	-1	1	1	0	0
Dotruga	Sagosiei Keget	3	66	55	53	37	55	100	92	41	91	31	92	C+	20	69.69	-1	1	1	0	0
Dotruga	Alokeili Hersa	5	39	39	79	90	84	48	51	19	72	77	96	C+	21	65.95	-1	1	1	0	0
Tri_National_Dominion	Volker Alt	3	61	66	75	40	31	69	27	92	57	75	68	D+	22	55.78	-1	1	1	0	0
Tri_National_Dominion	Volkhardt Fichtner	3	41	58	88	28	51	49	47	64	65	37	82	C+	21	57.37	-1	1	1	0	0
Tri_National_Dominion	Oskar Fein	5	53	56	39	52	90	31	24	29	23	18	85	F+	23	45.04	-1	1	1	0	0
Aeridani	Matsuyama Harumi	4	37	43	81	54	79	45	76	33	71	95	73	C	20	63.80	-1	1	1	0	0
Aeridani	Muramoto Tokaji	2	92	70	66	30	56	53	42	100	54	36	69	C	22	60.11	-1	1	1	0	0
Aeridani	Sasagawa Sadaharu	2	91	98	56	55	54	45	44	62	55	44	74	D+	22	53.70	-1	1	1	0	0
Aeridani	Takamitsu Tomoyuki	1	97	94	18	14	49	48	98	95	73	70	97	C	20	63.72	-1	1	1	0	0
Aeridani	Métro Sumiteru	5	46	31	70	57	87	49	32	40	36	59	84	C	20	55.08	-1	1	1	0	0
Aeridani	Nomura Sadaharu	2	90	94	91	16	36	79	72	79	33	56	75	C	19	62.74	-1	1	1	0	0
Aeridani	Shishido Naizen	5	11	11	28	39	36	9	29	6	28	84	89	D+	19	29.02	-1	1	1	0	0
Aeridani	Kammuri Taki	3	65	77	95	45	80	90	98	82	56	64	90	D+	21	76.80	-1	1	1	0	0
Aeridani	Uozumi Dayu	4	46	58	98	61	45	55	54	43	99	79	88	C	21	68.46	-1	1	1	0	0
Aeridani	Wakuni Sadaharu	5	56	46	56	46	97	53	24	44	77	70	75	D+	20	57.29	-1	1	1	0	0
Aeridani	Komatsu Toyozo	1	96	95	52	7	38	69	75	92	40	72	89	C	20	59.12	-1	1	1	0	0
Aiyota	Munglegarra	3	35	27	43	14	37	68	16	10	41	23	72	D	22	35.51	-1	1	1	0	0
Aiyota	Windella	5	22	26	57	24	47	45	27	31	21	11	74	D+	22	37.89	-1	1	1	0	0
Aiyota	Gnuger	5	44	55	45	39	60	39	30	9	48	63	92	D+	22	42.94	-1	1	1	0	0
Aiyota	Puttyyearra	1	56	53	33	12	19	40	36	98	16	91	96	D	22	41.98	-1	1	1	0	0
Aiyota	Gnuger	3	15	14	21	9	5	79	12	9	18	48	84	D	22	25.57	-1	1	1	0	0
Aiyota	Moonoriguna	5	37	20	98	88	97	54	72	31	63	85	97	C	21	74.12	-1	1	1	0	0
Aiyota	Pranga	4	34	23	66	56	31	77	62	28	68	83	66	C	19	56.61	-1	1	1	0	0
Aiyota	Mungagee	4	85	82	53	58	52	36	43	20	92	23	90	C	21	55.86	-1	1	1	0	0
Aiyota	Mungagee	4	100	90	75	98	36	64	68	22	96	68	70	D+	22	69.64	-1	1	1	0	0
Aiyota	Mornay	1	56	94	15	15	29	52	40	97	86	95	90	D	23	55.92	-1	1	1	0	0
Czalliso	ilo	5	26	26	29	44	47	35	23	39	25	71	86	F+	22	36.45	-1	1	1	0	0
Czalliso	ilo	5	38	25	75	72	77	52	40	32	78	94	63	C+	22	60.53	-1	1	1	0	0
Czalliso	ilo	4	52	53	61	24	25	22	14	10	38	80	94	D+	19	33.52	-1	1	1	0	0
Czalliso	pot	3	44	49	93	44	54	90	98	32	53	37	54	D	22	65.04	-1	1	1	0	0
Czalliso	kaf	1	96	94	16	14	30	90	69	96	59	55	56	D+	20	59.63	-1	1	1	0	0
Czalliso	ilu	2	97	82	25	30	48	71	59	59	36	75	72	D+	22	50.22	-1	1	1	0	0
Czalliso	roe	2	92	93	82	21	40	40	50	42	49	9	99	C	22	50.75	-1	1	1	0	0
Czalliso	app	5	67	68	65	75	97	91	52	17	41	40	53	C	20	65.03	-1	1	1	0	0
Czalliso	roe	1	27	32	20	7	17	17	18	52	42	55	65	F+	22	29.01	-1	1	1	0	0
Czalliso	roe	2	45	45	25	26	36	38	29	31	28	28	66	C+	19	32.12	-1	1	1	0	0
Czalliso	fu	4	31	22	61	49	30	59	64	14	50	49	98	C	20	50.41	-1	1	1	0	0
Czalliso	ilu	3	94	98	17	26	63	37	31	69	41	22	64	D	19	41.15	-1	1	1	0	0
Czalliso	pot	4	33	33	19	41	57	23	19	17	41	63	57	C	19	32.96	-1	1	1	0	0
Czalliso	noe	5	42	38	100	91	60	26	39	37	56	55	97	C	21	59.49	-1	1	1	0	0
Czalliso	noe	3	41	80	45	41	44	52	60	70	72	19	94	D+	23	57.33	-1	1	1	0	0
Czalliso	pot	5	62	61	23	41	40	13	22	17	23	93	68	F+	19	28.55	-1	1	1	0	0
Czalliso	ilo	3	35	37	84	42	32	47	21	34	55	15	98	D	22	48.02	-1	1	1	0	0
Czalliso	kaf	5	19	29	53	83	89	67	44	30	62	43	59	D	22	61.55	-1	1	1	0	0
Holykol	app	3	62	61	76	17	44	56	70	22	82	30	81	D+	22	56.13	-1	1	1	0	0
Holykol	app	1	62	74	34	9	16	37	83	100	58	53	97	D+	20	56.62	-1	1	1	0	0
Transhimalia	Murata Sumiteru	1	100	92	31	7	31	56	34	97	72	40	83	C+	19	54.11	-1	1	1	0	0
Transhimalia	Tembin Kazuo	5	26	24	25	92	64	38	67	25	39	79	95	D	20	53.06	-1	1	1	0	0
Transhimalia	Akamine Yuji	5	26	21	30	64	77	15	43	33	52	12	81	D	22	46.57	-1	1	1	0	0
Transhimalia	Matsuyama Udo	1	88	86	21	7	14	48	32	68	37	93	73	F+	23	38.84	-1	1	1	0	0
Transhimalia	Koguma Higashikuni	4	36	23	28	42	17	14	13	19	15	42	57	D+	22	23.74	-1	1	1	0	0
Transhimalia	Hyuwyz Lyen	2	57	58	16	13	29	28	15	42	27	54	94	D	22	29.37	-1	1	1	0	0
Transhimalia	Amari Eikichi	5	38	16	50	57	97	44	28	49	92	28	89	D+	19	59.77	-1	1	1	0	0
Transhimalia	Sugimoto Naizen	5	40	32	48	62	84	34	18	36	74	43	77	D+	19	51.61	-1	1	1	0	0
Aahrus	Kujira Paradiniton	2	47	58	34	22	55	59	53	93	85	44	70	D+	21	62.11	-1	1	1	0	0
Aahrus	Shishido Hirotada	1	89	93	19	12	43	84	96	92	86	56	87	C+	21	69.79	-1	1	1	0	0
Aahrus	Yukiyama Takuji	5	30	16	34	65	95	36	67	31	38	93	88	D+	21	55.49	-1	1	1	0	0
Aahrus	Hiroshima Eikichi	3	87	75	43	35	44	91	54	80	78	98	93	D	22	63.02	-1	1	1	0	0
Aahrus	Métro Kiyohira	4	47	43	56	70	37	54	34	26	24	56	80	D	22	45.48	-1	1	1	0	0
Aahrus	Saiki Yuji	5	34	26	56	54	57	39	52	9	59	17	99	C+	21	50.42	-1	1	1	0	0
Aahrus	Mawatari Isei	1	67	67	23	16	34	58	74	48	65	13	94	C	22	51.89	-1	1	1	0	0
Aahrus	Koguma Shirosama	5	8	18	51	32	92	79	50	25	47	65	56	C	19	55.27	-1	1	1	0	0
Aahrus	Usagi Kiyohira	1	93	96	24	14	9	53	64	97	30	83	82	C+	22	49.03	-1	1	1	0	0
Aahrus	Ishimoto Morie	3	95	83	52	15	17	94	75	78	34	41	75	C	19	53.27	-1	1	1	0	0
Aahrus	Tamatsuki Bunzo	5	12	27	61	85	95	52	88	57	67	55	78	C	20	71.46	-1	1	1	0	0
Bongatar	Luffy Iode	3	63	73	92	52	81	76	86	32	34	12	97	C	20	64.69	-1	1	1	0	0
Bongatar	Luffy Iode	4	92	99	97	37	40	95	53	44	91	90	85	B	20	67.63	-1	1	1	0	0
Bongatar	Hexar Iode	1	91	88	47	26	42	69	66	93	87	33	74	D+	21	66.50	-1	1	1	0	0
Bongatar	Hexar Logan	4	50	47	16	26	31	15	46	22	27	25	45	C	19	26.82	-1	1	1	0	0
Bongatar	Shitt Iode	4	90	69	82	85	48	43	43	50	85	92	78	F+	23	65.47	-1	1	1	0	0
Bongatar	Hexar Jeem	4	72	76	100	83	32	61	49	17	81	49	78	D	23	65.38	-1	1	1	0	0
