Game 1,Home,Score,Away,Score
,Boltway Bad Dragons,130,Holykol Bears,129
,Avura Aviators,107,Lyintaria Lynx,102
,Aiyota Pumps,133,Pyxanovia Pixies,135
,Shmupland Dictators,98,Transhimalia Disasters,99
,Serkr Atolls,91,Auspikitan Golden Falcons,109
,Red Rainbow Sickles,108,Calto Cows,122
,Naxda Nomads,99,Height Sagua Cats,93
,Kaeshar Kaisers,119,Key to Don Yees,124
,Blanaxon Hammers,102,Manwx Saguans,116
,Barsein Bats,103,Sagua Ocelots,133
,Autolik Autonomy,114,Solea Geysers,141
Game 5,Home,Score,Away,Score
,Aahrus Moosi,109,Naxda Nomads,116
,Kaeshar Kaisers,115,Red Rainbow Sickles,109
,Blanaxon Hammers,106,Serkr Atolls,103
,Barsein Bats,110,Shmupland Dictators,114
,Autolik Autonomy,112,Aiyota Pumps,134
,Solea Geysers,120,Avura Aviators,105
,Sagua Ocelots,120,Boltway Bad Dragons,115
,Manwx Saguans,121,Dotruga Falno,124
,Key to Don Yees,122,Ethanthova Ponies,125
,Height Sagua Cats,110,Faehrenfall Feathercats,102
,Calto Cows,124,Stedro Boulders,103
,Auspikitan Golden Falcons,127,TND Tanks,112
,Transhimalia Disasters,111,Bongatar Banging Bongos,128
,Pyxanovia Pixies,125,Czalliso Pythons,117
,Lyintaria Lynx,100,Dvimne Spirits,119
,Holykol Bears,108,Holy Yektonisa Bishops,107
Game 6,Home,Score,Away,Score
,Ethanthova Ponies,123,Aahrus Moosi,135
,Faehrenfall Feathercats,114,Dotruga Falno,100
,Stedro Boulders,132,Boltway Bad Dragons,134
,TND Tanks,122,Avura Aviators,105
,Bongatar Banging Bongos,117,Aiyota Pumps,123
,Czalliso Pythons,136,Shmupland Dictators,121
,Dvimne Spirits,117,Serkr Atolls,104
,Holy Yektonisa Bishops,128,Red Rainbow Sickles,122
,Holykol Bears,109,Naxda Nomads,110
,Lyintaria Lynx,106,Kaeshar Kaisers,131
,Pyxanovia Pixies,129,Blanaxon Hammers,118
,Transhimalia Disasters,114,Barsein Bats,121
,Auspikitan Golden Falcons,107,Autolik Autonomy,121
,Calto Cows,121,Solea Geysers,123
,Height Sagua Cats,105,Sagua Ocelots,147
,Key to Don Yees,104,Manwx Saguans,119
Game 7,Home,Score,Away,Score
,Auspikitan Golden Falcons,102,Aahrus Moosi,112
,Transhimalia Disasters,103,Calto Cows,125
,Pyxanovia Pixies,105,Height Sagua Cats,116
,Lyintaria Lynx,123,Key to Don Yees,99
,Holykol Bears,122,Manwx Saguans,123
,Holy Yektonisa Bishops,125,Sagua Ocelots,132
,Dvimne Spirits,114,Solea Geysers,129
,Czalliso Pythons,127,Autolik Autonomy,124
,Bongatar Banging Bongos,102,Barsein Bats,130
,TND Tanks,116,Blanaxon Hammers,110
,Stedro Boulders,114,Kaeshar Kaisers,102
,Faehrenfall Feathercats,96,Naxda Nomads,118
,Ethanthova Ponies,108,Red Rainbow Sickles,127
,Dotruga Falno,113,Serkr Atolls,111
,Boltway Bad Dragons,129,Shmupland Dictators,124
,Avura Aviators,100,Aiyota Pumps,115
Game 8,Home,Score,Away,Score
,Transhimalia Disasters,102,Bongatar Banging Bongos,126
,TND Tanks,108,Czalliso Pythons,100
,Stedro Boulders,109,Dvimne Spirits,115
,Faehrenfall Feathercats,103,Holy Yektonisa Bishops,107
,Ethanthova Ponies,115,Holykol Bears,112
,Dotruga Falno,115,Lyintaria Lynx,104
,Boltway Bad Dragons,121,Pyxanovia Pixies,110
,Avura Aviators,98,Aiyota Pumps,100
,Aahrus Moosi,104,Solea Geysers,110
,Autolik Autonomy,112,Sagua Ocelots,98
,Barsein Bats,104,Manwx Saguans,119
,Blanaxon Hammers,119,Key to Don Yees,115
,Kaeshar Kaisers,109,Height Sagua Cats,102
,Naxda Nomads,106,Calto Cows,139
,Red Rainbow Sickles,103,Auspikitan Golden Falcons,113
,Serkr Atolls,93,Shmupland Dictators,102
Game 9,Home,Score,Away,Score
,Shmupland Dictators,116,Aahrus Moosi,115
,Serkr Atolls,115,Aiyota Pumps,111
,Red Rainbow Sickles,103,Avura Aviators,114
,Naxda Nomads,107,Boltway Bad Dragons,105
,Kaeshar Kaisers,121,Dotruga Falno,133
,Blanaxon Hammers,123,Ethanthova Ponies,118
,Barsein Bats,111,Faehrenfall Feathercats,127
,Autolik Autonomy,107,Stedro Boulders,108
,Solea Geysers,127,TND Tanks,118
,Sagua Ocelots,127,Bongatar Banging Bongos,117
,Manwx Saguans,129,Czalliso Pythons,127
,Key to Don Yees,95,Dvimne Spirits,107
,Height Sagua Cats,113,Holy Yektonisa Bishops,111
,Calto Cows,106,Holykol Bears,89
,Auspikitan Golden Falcons,114,Lyintaria Lynx,115
,Transhimalia Disasters,114,Pyxanovia Pixies,129
Game 10,Home,Score,Away,Score
,Aahrus Moosi,134,Solea Geysers,120
,Autolik Autonomy,106,Sagua Ocelots,108
,Barsein Bats,108,Manwx Saguans,109
,Blanaxon Hammers,129,Key to Don Yees,134
,Kaeshar Kaisers,119,Height Sagua Cats,107
,Naxda Nomads,121,Calto Cows,123
,Red Rainbow Sickles,119,Auspikitan Golden Falcons,118
,Serkr Atolls,123,Transhimalia Disasters,127
,Shmupland Dictators,118,Pyxanovia Pixies,125
,Aiyota Pumps,135,Lyintaria Lynx,129
,Avura Aviators,108,Holykol Bears,106
,Boltway Bad Dragons,129,Holy Yektonisa Bishops,140
,Dotruga Falno,121,Dvimne Spirits,116
,Ethanthova Ponies,106,Czalliso Pythons,101
,Faehrenfall Feathercats,127,Bongatar Banging Bongos,125
,Stedro Boulders,125,TND Tanks,97
Game 11,Home,Score,Away,Score
,Aahrus Moosi,119,Lyintaria Lynx,128
,Pyxanovia Pixies,122,Holykol Bears,110
,Transhimalia Disasters,99,Holy Yektonisa Bishops,118
,Auspikitan Golden Falcons,113,Dvimne Spirits,123
,Calto Cows,122,Czalliso Pythons,124
,Height Sagua Cats,106,Bongatar Banging Bongos,115
,Key to Don Yees,105,TND Tanks,109
,Manwx Saguans,110,Stedro Boulders,101
,Sagua Ocelots,125,Faehrenfall Feathercats,126
,Solea Geysers,131,Ethanthova Ponies,138
,Autolik Autonomy,116,Dotruga Falno,120
,Barsein Bats,133,Boltway Bad Dragons,120
,Blanaxon Hammers,120,Avura Aviators,121
,Kaeshar Kaisers,143,Aiyota Pumps,134
,Naxda Nomads,130,Shmupland Dictators,120
,Red Rainbow Sickles,132,Serkr Atolls,128
Game 12,Home,Score,Away,Score
,Aahrus Moosi,121,TND Tanks,109
,Bongatar Banging Bongos,120,Stedro Boulders,113
,Czalliso Pythons,108,Faehrenfall Feathercats,107
,Dvimne Spirits,111,Ethanthova Ponies,102
,Holy Yektonisa Bishops,101,Dotruga Falno,103
,Holykol Bears,115,Boltway Bad Dragons,112
,Lyintaria Lynx,121,Avura Aviators,118
,Pyxanovia Pixies,97,Aiyota Pumps,120
,Transhimalia Disasters,121,Shmupland Dictators,115
,Auspikitan Golden Falcons,105,Serkr Atolls,130
,Calto Cows,108,Red Rainbow Sickles,110
,Height Sagua Cats,125,Naxda Nomads,113
,Key to Don Yees,103,Kaeshar Kaisers,107
,Manwx Saguans,123,Blanaxon Hammers,124
,Sagua Ocelots,109,Barsein Bats,119
,Solea Geysers,111,Autolik Autonomy,118
Game 13,Home,Score,Away,Score
,Aahrus Moosi,111,Solea Geysers,116
,Auspikitan Golden Falcons,130,Sagua Ocelots,133
,Calto Cows,133,Manwx Saguans,119
,Height Sagua Cats,104,Key to Don Yees,121
,Autolik Autonomy,118,Shmupland Dictators,102
,Barsein Bats,120,Serkr Atolls,122
,Blanaxon Hammers,111,Red Rainbow Sickles,112
,Kaeshar Kaisers,113,Naxda Nomads,122
,Transhimalia Disasters,128,Bongatar Banging Bongos,134
,Pyxanovia Pixies,108,Czalliso Pythons,102
,Lyintaria Lynx,106,Dvimne Spirits,135
,Holykol Bears,119,Holy Yektonisa Bishops,111
,TND Tanks,97,Aiyota Pumps,115
,Stedro Boulders,113,Avura Aviators,100
,Faehrenfall Feathercats,121,Boltway Bad Dragons,117
,Ethanthova Ponies,118,Dotruga Falno,122
Game 14,Home,Score,Away,Score
,Transhimalia Disasters,113,Dvimne Spirits,108
,Czalliso Pythons,118,Holy Yektonisa Bishops,122
,Bongatar Banging Bongos,119,Holykol Bears,105
,TND Tanks,96,Lyintaria Lynx,104
,Stedro Boulders,106,Pyxanovia Pixies,111
,Faehrenfall Feathercats,108,Aiyota Pumps,111
,Ethanthova Ponies,134,Avura Aviators,120
,Dotruga Falno,112,Boltway Bad Dragons,116
,Aahrus Moosi,118,Manwx Saguans,112
,Sagua Ocelots,99,Key to Don Yees,94
,Solea Geysers,123,Height Sagua Cats,118
,Autolik Autonomy,91,Calto Cows,103
,Barsein Bats,122,Auspikitan Golden Falcons,117
,Blanaxon Hammers,134,Shmupland Dictators,114
,Kaeshar Kaisers,123,Serkr Atolls,116
,Naxda Nomads,96,Red Rainbow Sickles,122
Game 15,Home,Score,Away,Score
,Transhimalia Disasters,116,Pyxanovia Pixies,107
,Lyintaria Lynx,120,Aiyota Pumps,127
,Holykol Bears,122,Avura Aviators,105
,Holy Yektonisa Bishops,111,Boltway Bad Dragons,123
,Dvimne Spirits,111,Dotruga Falno,108
,Czalliso Pythons,110,Ethanthova Ponies,100
,Bongatar Banging Bongos,111,Faehrenfall Feathercats,127
,TND Tanks,134,Stedro Boulders,127
,Aahrus Moosi,119,Auspikitan Golden Falcons,92
,Calto Cows,121,Shmupland Dictators,113
,Height Sagua Cats,117,Serkr Atolls,128
,Key to Don Yees,110,Red Rainbow Sickles,102
,Manwx Saguans,132,Naxda Nomads,129
,Sagua Ocelots,111,Kaeshar Kaisers,113
,Solea Geysers,123,Blanaxon Hammers,117
,Autolik Autonomy,103,Barsein Bats,119
Game 16,Home,Score,Away,Score
,Dotruga Falno,121,Transhimalia Disasters,113
,Boltway Bad Dragons,107,Ethanthova Ponies,106
,Avura Aviators,116,Faehrenfall Feathercats,122
,Aiyota Pumps,136,Stedro Boulders,138
,Pyxanovia Pixies,114,TND Tanks,103
,Lyintaria Lynx,121,Bongatar Banging Bongos,127
,Holykol Bears,106,Czalliso Pythons,108
,Holy Yektonisa Bishops,101,Dvimne Spirits,99
,Naxda Nomads,128,Aahrus Moosi,119
,Red Rainbow Sickles,105,Kaeshar Kaisers,115
,Serkr Atolls,123,Blanaxon Hammers,129
,Shmupland Dictators,110,Barsein Bats,116
,Auspikitan Golden Falcons,115,Autolik Autonomy,123
,Calto Cows,118,Solea Geysers,132
,Height Sagua Cats,103,Sagua Ocelots,97
,Key to Don Yees,98,Manwx Saguans,119
Game 17,Home,Score,Away,Score
,Transhimalia Disasters,105,Holykol Bears,116
,Holy Yektonisa Bishops,113,Lyintaria Lynx,112
,Dvimne Spirits,103,Pyxanovia Pixies,124
,Czalliso Pythons,104,Aiyota Pumps,110
,Bongatar Banging Bongos,110,Avura Aviators,106
,TND Tanks,119,Boltway Bad Dragons,125
,Stedro Boulders,94,Dotruga Falno,104
,Faehrenfall Feathercats,132,Ethanthova Ponies,130
,Aahrus Moosi,115,Height Sagua Cats,108
,Key to Don Yees,108,Calto Cows,119
,Manwx Saguans,111,Auspikitan Golden Falcons,118
,Sagua Ocelots,113,Shmupland Dictators,109
,Solea Geysers,131,Serkr Atolls,124
,Autolik Autonomy,118,Red Rainbow Sickles,122
,Barsein Bats,117,Naxda Nomads,119
,Blanaxon Hammers,115,Kaeshar Kaisers,130
Game 18,Home,Score,Away,Score
,Height Sagua Cats,121,Aahrus Moosi,116
,Calto Cows,112,Key to Don Yees,92
,Auspikitan Golden Falcons,110,Manwx Saguans,125
,Transhimalia Disasters,122,Sagua Ocelots,109
,Pyxanovia Pixies,116,Solea Geysers,122
,Lyintaria Lynx,108,Autolik Autonomy,96
,Holykol Bears,122,Barsein Bats,116
,Holy Yektonisa Bishops,98,Blanaxon Hammers,116
,Dvimne Spirits,112,Kaeshar Kaisers,105
,Czalliso Pythons,126,Naxda Nomads,121
,Bongatar Banging Bongos,138,Red Rainbow Sickles,122
,TND Tanks,113,Serkr Atolls,122
,Stedro Boulders,114,Shmupland Dictators,133
,Faehrenfall Feathercats,118,Aiyota Pumps,123
,Ethanthova Ponies,130,Avura Aviators,137
,Dotruga Falno,129,Boltway Bad Dragons,111
Game 19,Home,Score,Away,Score
,Sagua Ocelots,120,Aahrus Moosi,102
,Solea Geysers,100,Manwx Saguans,104
,Auspikitan Golden Falcons,112,Key to Don Yees,92
,Height Sagua Cats,100,Calto Cows,128
,Serkr Atolls,116,Autolik Autonomy,103
,Shmupland Dictators,101,Red Rainbow Sickles,116
,Barsein Bats,111,Naxda Nomads,129
,Kaeshar Kaisers,108,Blanaxon Hammers,112
,Czalliso Pythons,107,Transhimalia Disasters,115
,Bongatar Banging Bongos,88,Dvimne Spirits,113
,Pyxanovia Pixies,102,Holy Yektonisa Bishops,97
,Holykol Bears,110,Lyintaria Lynx,108
,Avura Aviators,105,TND Tanks,104
,Aiyota Pumps,116,Boltway Bad Dragons,115
,Stedro Boulders,104,Dotruga Falno,114
,Ethanthova Ponies,124,Faehrenfall Feathercats,117
Game 20,Home,Score,Away,Score
,Aahrus Moosi,116,Barsein Bats,114
,Blanaxon Hammers,94,Autolik Autonomy,104
,Kaeshar Kaisers,125,Solea Geysers,113
,Naxda Nomads,114,Sagua Ocelots,105
,Red Rainbow Sickles,110,Manwx Saguans,128
,Serkr Atolls,113,Key to Don Yees,118
,Shmupland Dictators,136,Height Sagua Cats,135
,Aiyota Pumps,125,Calto Cows,109
,Avura Aviators,109,Auspikitan Golden Falcons,126
,Boltway Bad Dragons,115,Transhimalia Disasters,128
,Dotruga Falno,109,Pyxanovia Pixies,97
,Ethanthova Ponies,103,Lyintaria Lynx,98
,Faehrenfall Feathercats,121,Holykol Bears,125
,Stedro Boulders,108,Holy Yektonisa Bishops,121
,TND Tanks,89,Dvimne Spirits,107
,Bongatar Banging Bongos,100,Czalliso Pythons,115
Game 21,Home,Score,Away,Score
,Aahrus Moosi,124,Blanaxon Hammers,120
,Barsein Bats,115,Kaeshar Kaisers,103
,Autolik Autonomy,114,Naxda Nomads,111
,Solea Geysers,117,Red Rainbow Sickles,119
,Sagua Ocelots,116,Serkr Atolls,109
,Manwx Saguans,83,Shmupland Dictators,110
,Key to Don Yees,120,Aiyota Pumps,105
,Height Sagua Cats,135,Avura Aviators,108
,Calto Cows,125,Boltway Bad Dragons,127
,Auspikitan Golden Falcons,108,Dotruga Falno,103
,Transhimalia Disasters,120,Ethanthova Ponies,116
,Pyxanovia Pixies,122,Faehrenfall Feathercats,125
,Lyintaria Lynx,109,Stedro Boulders,128
,Holykol Bears,112,TND Tanks,114
,Holy Yektonisa Bishops,131,Bongatar Banging Bongos,116
,Dvimne Spirits,130,Czalliso Pythons,116
Game 22,Home,Score,Away,Score
,Auspikitan Golden Falcons,112,Aahrus Moosi,111
,Calto Cows,109,Solea Geysers,120
,Height Sagua Cats,89,Sagua Ocelots,103
,Manwx Saguans,119,Key to Don Yees,106
,Barsein Bats,106,Autolik Autonomy,111
,Blanaxon Hammers,115,Shmupland Dictators,103
,Kaeshar Kaisers,112,Serkr Atolls,139
,Red Rainbow Sickles,135,Naxda Nomads,121
,Pyxanovia Pixies,120,Transhimalia Disasters,109
,Lyintaria Lynx,127,Bongatar Banging Bongos,106
,Holykol Bears,101,Czalliso Pythons,100
,Dvimne Spirits,98,Holy Yektonisa Bishops,99
,Stedro Boulders,121,TND Tanks,125
,Faehrenfall Feathercats,110,Aiyota Pumps,113
,Ethanthova Ponies,105,Avura Aviators,106
,Boltway Bad Dragons,131,Dotruga Falno,123
Game 23,Home,Score,Away,Score
,Solea Geysers,109,Aahrus Moosi,96
,Sagua Ocelots,121,Autolik Autonomy,99
,Manwx Saguans,134,Barsein Bats,124
,Key to Don Yees,120,Blanaxon Hammers,122
,Height Sagua Cats,136,Kaeshar Kaisers,117
,Calto Cows,118,Naxda Nomads,119
,Auspikitan Golden Falcons,129,Red Rainbow Sickles,126
,Transhimalia Disasters,116,Serkr Atolls,129
,Pyxanovia Pixies,120,Shmupland Dictators,118
,Lyintaria Lynx,125,Aiyota Pumps,119
,Holykol Bears,120,Avura Aviators,112
,Holy Yektonisa Bishops,100,Boltway Bad Dragons,123
,Dvimne Spirits,121,Dotruga Falno,120
,Czalliso Pythons,113,Ethanthova Ponies,115
,Bongatar Banging Bongos,112,Faehrenfall Feathercats,116
,TND Tanks,113,Stedro Boulders,110
Game 24,Home,Score,Away,Score
,Aahrus Moosi,113,Aiyota Pumps,127
,Shmupland Dictators,115,Avura Aviators,119
,Serkr Atolls,117,Boltway Bad Dragons,124
,Red Rainbow Sickles,121,Dotruga Falno,129
,Naxda Nomads,116,Ethanthova Ponies,146
,Kaeshar Kaisers,110,Faehrenfall Feathercats,112
,Blanaxon Hammers,116,Stedro Boulders,125
,Barsein Bats,117,TND Tanks,122
,Autolik Autonomy,91,Bongatar Banging Bongos,111
,Solea Geysers,112,Czalliso Pythons,113
,Sagua Ocelots,112,Dvimne Spirits,114
,Manwx Saguans,116,Holy Yektonisa Bishops,135
,Key to Don Yees,124,Holykol Bears,119
,Height Sagua Cats,116,Lyintaria Lynx,115
,Calto Cows,104,Pyxanovia Pixies,99
,Auspikitan Golden Falcons,112,Transhimalia Disasters,124
Game 25,Home,Score,Away,Score
,Sagua Ocelots,101,Aahrus Moosi,96
,Solea Geysers,126,Manwx Saguans,135
,Autolik Autonomy,112,Key to Don Yees,96
,Barsein Bats,123,Height Sagua Cats,104
,Blanaxon Hammers,110,Calto Cows,113
,Kaeshar Kaisers,128,Auspikitan Golden Falcons,103
,Naxda Nomads,131,Transhimalia Disasters,119
,Red Rainbow Sickles,118,Pyxanovia Pixies,142
,Serkr Atolls,120,Lyintaria Lynx,110
,Shmupland Dictators,106,Holykol Bears,104
,Aiyota Pumps,109,Holy Yektonisa Bishops,123
,Avura Aviators,111,Dvimne Spirits,128
,Boltway Bad Dragons,120,Czalliso Pythons,124
,Dotruga Falno,120,Bongatar Banging Bongos,107
,Ethanthova Ponies,119,TND Tanks,121
,Faehrenfall Feathercats,121,Stedro Boulders,128
Game 26,Home,Score,Away,Score
,Avura Aviators,93,Transhimalia Disasters,110
,Aiyota Pumps,107,Boltway Bad Dragons,117
,Pyxanovia Pixies,111,Dotruga Falno,118
,Lyintaria Lynx,105,Ethanthova Ponies,111
,Holykol Bears,123,Faehrenfall Feathercats,122
,Holy Yektonisa Bishops,132,Stedro Boulders,138
,Dvimne Spirits,123,TND Tanks,120
,Czalliso Pythons,112,Bongatar Banging Bongos,120
,Serkr Atolls,118,Aahrus Moosi,95
,Shmupland Dictators,106,Red Rainbow Sickles,117
,Auspikitan Golden Falcons,115,Naxda Nomads,112
,Calto Cows,110,Kaeshar Kaisers,101
,Height Sagua Cats,127,Blanaxon Hammers,107
,Key to Don Yees,123,Barsein Bats,120
,Manwx Saguans,111,Autolik Autonomy,107
,Sagua Ocelots,129,Solea Geysers,133
Game 27,Home,Score,Away,Score
,Aahrus Moosi,116,Manwx Saguans,130
,Sagua Ocelots,113,Key to Don Yees,114
,Solea Geysers,109,Height Sagua Cats,107
,Autolik Autonomy,118,Calto Cows,111
,Barsein Bats,146,Auspikitan Golden Falcons,129
,Blanaxon Hammers,125,Transhimalia Disasters,135
,Kaeshar Kaisers,107,Pyxanovia Pixies,125
,Naxda Nomads,127,Lyintaria Lynx,121
,Red Rainbow Sickles,117,Holykol Bears,105
,Serkr Atolls,129,Holy Yektonisa Bishops,117
,Shmupland Dictators,124,Dvimne Spirits,121
,Aiyota Pumps,111,Czalliso Pythons,124
,Avura Aviators,123,Bongatar Banging Bongos,121
,Boltway Bad Dragons,138,TND Tanks,129
,Dotruga Falno,112,Stedro Boulders,107
,Ethanthova Ponies,114,Faehrenfall Feathercats,116
Game 28,Home,Score,Away,Score
,Aahrus Moosi,116,Transhimalia Disasters,113
,Auspikitan Golden Falcons,108,Pyxanovia Pixies,121
,Calto Cows,114,Lyintaria Lynx,100
,Height Sagua Cats,109,Holykol Bears,108
,Key to Don Yees,109,Holy Yektonisa Bishops,108
,Manwx Saguans,114,Dvimne Spirits,106
,Sagua Ocelots,120,Czalliso Pythons,118
,Solea Geysers,108,Bongatar Banging Bongos,120
,Autolik Autonomy,119,TND Tanks,102
,Barsein Bats,137,Stedro Boulders,111
,Blanaxon Hammers,131,Faehrenfall Feathercats,138
,Kaeshar Kaisers,113,Ethanthova Ponies,106
,Naxda Nomads,113,Dotruga Falno,133
,Red Rainbow Sickles,126,Boltway Bad Dragons,116
,Serkr Atolls,134,Avura Aviators,132
,Shmupland Dictators,117,Aiyota Pumps,125
Game 29,Home,Score,Away,Score
,Aahrus Moosi,113,Pyxanovia Pixies,127
,Lyintaria Lynx,122,Transhimalia Disasters,114
,Holykol Bears,103,Auspikitan Golden Falcons,102
,Holy Yektonisa Bishops,111,Calto Cows,128
,Dvimne Spirits,128,Height Sagua Cats,123
,Czalliso Pythons,123,Key to Don Yees,116
,Bongatar Banging Bongos,113,Manwx Saguans,122
,TND Tanks,109,Sagua Ocelots,111
,Stedro Boulders,91,Solea Geysers,121
,Faehrenfall Feathercats,117,Autolik Autonomy,113
,Ethanthova Ponies,114,Barsein Bats,129
,Dotruga Falno,129,Blanaxon Hammers,118
,Boltway Bad Dragons,112,Kaeshar Kaisers,110
,Avura Aviators,113,Naxda Nomads,129
,Aiyota Pumps,114,Red Rainbow Sickles,94
,Shmupland Dictators,110,Serkr Atolls,116
Game 30,Home,Score,Away,Score
,Aahrus Moosi,120,Shmupland Dictators,136
,Aiyota Pumps,116,Serkr Atolls,122
,Avura Aviators,103,Red Rainbow Sickles,102
,Boltway Bad Dragons,114,Naxda Nomads,126
,Dotruga Falno,121,Kaeshar Kaisers,114
,Ethanthova Ponies,114,Blanaxon Hammers,115
,Faehrenfall Feathercats,95,Barsein Bats,124
,Stedro Boulders,109,Autolik Autonomy,107
,TND Tanks,114,Solea Geysers,104
,Bongatar Banging Bongos,123,Sagua Ocelots,121
,Czalliso Pythons,114,Manwx Saguans,102
,Dvimne Spirits,112,Key to Don Yees,114
,Holy Yektonisa Bishops,116,Height Sagua Cats,100
,Holykol Bears,132,Calto Cows,128
,Lyintaria Lynx,123,Auspikitan Golden Falcons,108
,Pyxanovia Pixies,111,Transhimalia Disasters,109
Game 31,Home,Score,Away,Score
,Faehrenfall Feathercats,116,Transhimalia Disasters,132
,Ethanthova Ponies,121,Stedro Boulders,139
,Dotruga Falno,117,TND Tanks,113
,Boltway Bad Dragons,123,Bongatar Banging Bongos,108
,Avura Aviators,105,Czalliso Pythons,110
,Aiyota Pumps,111,Dvimne Spirits,106
,Pyxanovia Pixies,124,Holy Yektonisa Bishops,97
,Lyintaria Lynx,96,Holykol Bears,100
,Blanaxon Hammers,122,Aahrus Moosi,121
,Kaeshar Kaisers,109,Barsein Bats,121
,Naxda Nomads,114,Autolik Autonomy,126
,Red Rainbow Sickles,106,Solea Geysers,118
,Serkr Atolls,126,Sagua Ocelots,109
,Shmupland Dictators,107,Manwx Saguans,112
,Auspikitan Golden Falcons,129,Key to Don Yees,131
,Calto Cows,116,Height Sagua Cats,110
Game 32,Home,Score,Away,Score
,Aahrus Moosi,128,Auspikitan Golden Falcons,132
,Calto Cows,106,Transhimalia Disasters,108
,Height Sagua Cats,115,Pyxanovia Pixies,116
,Key to Don Yees,92,Lyintaria Lynx,109
,Manwx Saguans,102,Holykol Bears,117
,Sagua Ocelots,109,Holy Yektonisa Bishops,100
,Solea Geysers,125,Dvimne Spirits,112
,Autolik Autonomy,117,Czalliso Pythons,104
,Barsein Bats,111,Bongatar Banging Bongos,109
,Blanaxon Hammers,115,TND Tanks,112
,Kaeshar Kaisers,114,Stedro Boulders,115
,Naxda Nomads,133,Faehrenfall Feathercats,112
,Red Rainbow Sickles,127,Ethanthova Ponies,153
,Serkr Atolls,119,Dotruga Falno,123
,Shmupland Dictators,124,Boltway Bad Dragons,126
,Aiyota Pumps,121,Avura Aviators,115
Game 33,Home,Score,Away,Score
,Naxda Nomads,118,Aahrus Moosi,105
,Red Rainbow Sickles,112,Kaeshar Kaisers,145
,Serkr Atolls,96,Blanaxon Hammers,107
,Shmupland Dictators,109,Barsein Bats,118
,Aiyota Pumps,126,Autolik Autonomy,111
,Avura Aviators,112,Solea Geysers,96
,Boltway Bad Dragons,132,Sagua Ocelots,125
,Dotruga Falno,139,Manwx Saguans,122
,Ethanthova Ponies,98,Key to Don Yees,118
,Faehrenfall Feathercats,119,Height Sagua Cats,124
,Stedro Boulders,122,Calto Cows,121
,TND Tanks,122,Auspikitan Golden Falcons,117
,Bongatar Banging Bongos,128,Transhimalia Disasters,125
,Czalliso Pythons,111,Pyxanovia Pixies,124
,Dvimne Spirits,102,Lyintaria Lynx,128
,Holy Yektonisa Bishops,105,Holykol Bears,112
Game 34,Home,Score,Away,Score
