University of Pxalit'k'a	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Oesa	Nouka Lereŋ	3	46	16	52	50	25	69	55	22	51	29	99	D+	19	49.48	-1	1	1	0	0
Oesa	Olue Porewo	4	42	35	36	32	31	63	36	6	36	12	72	F+	20	36.94	-1	1	1	0	0
Oesa	Olue Lereŋ	5	28	15	31	17	30	25	19	12	13	74	86	D+	20	25.15	-1	1	1	0	0
Oesa	Nouka Epi	1	18	37	18	18	16	34	28	63	50	78	71	D	22	37.32	-1	1	1	0	0
Oesa	Tise Atona	2	32	28	52	23	9	21	16	25	55	82	55	F	21	31.74	-1	1	1	0	0
Oesa	Oevu Lereŋ	3	93	72	45	58	64	63	43	33	38	62	97	D	21	50.84	-1	1	1	0	0
Oesa	Oevu Porewo	4	61	78	58	28	57	19	45	24	69	96	61	C	20	45.61	-1	1	1	0	0
Oesa	Olue Aq'aie	5	26	15	32	17	33	16	28	21	26	86	55	D	21	26.08	-1	1	1	0	0
Oesa	Piri Aq'aie	1	42	34	24	12	16	51	38	38	36	54	69	D	22	35.31	-1	1	1	0	0
Oesa	Oevu Porewo	2	61	68	21	8	13	73	49	32	33	77	90	D	18	40.20	-1	1	1	0	0
Oesa	Piri Lereŋ	3	108	94	84	42	23	69	18	88	58	11	92	C	18	56.78	-1	1	1	0	0
Oesa	Apu Tuni	4	51	39	61	74	29	52	42	15	62	39	67	D	21	51.41	-1	1	1	0	0
Oesa	Tise Pitwa	5	73	51	47	41	50	24	26	32	23	53	88	D+	19	37.84	-1	1	1	0	0
University of Futi'akep	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Futiakep	Oevu Tuni	1	77	79	35	16	21	55	49	58	11	72	95	C	20	40.20	-1	1	1	0	0
Futiakep	Lekena Epi	2	54	70	48	5	29	31	52	61	49	53	87	D+	20	45.84	-1	1	1	0	0
Futiakep	Apu Lereŋ	3	27	33	38	16	10	49	47	6	39	6	78	D	18	33.17	-1	1	1	0	0
Futiakep	Piri Tuni	4	72	78	51	70	11	27	57	24	31	22	56	C	19	41.15	-1	1	1	0	0
Futiakep	Apu Atona	5	7	19	23	20	35	10	19	23	27	45	98	C	19	25.99	-1	1	1	0	0
Futiakep	Oevu Pitwa	1	54	63	29	7	30	50	42	88	51	99	66	F+	21	47.48	-1	1	1	0	0
Futiakep	Tise Lome	2	70	42	41	8	29	68	34	89	43	39	95	D	20	52.19	-1	1	1	0	0
Futiakep	Oevu Pitwa	3	14	13	20	12	14	13	18	29	8	69	92	C	18	19.65	-1	1	1	0	0
Futiakep	Lekena Epi	4	47	37	68	26	38	45	17	7	40	27	87	D	19	39.17	-1	1	1	0	0
Futiakep	Nouka Epi	5	30	19	30	42	38	25	45	20	20	45	71	F+	20	33.94	-1	1	1	0	0
Futiakep	Paekua Epi	1	95	81	34	17	26	73	88	63	47	89	76	C	22	55.73	-1	1	1	0	0
Futiakep	Olue Porewo	2	15	27	18	38	12	44	40	21	22	89	86	C	18	31.21	-1	1	1	0	0
Futiakep	Olue Pitwa	3	48	55	5	42	36	21	52	31	35	90	53	D	18	32.47	-1	1	1	0	0
Futiakep	Oevu Pitwa	4	72	56	35	82	51	69	60	32	60	21	69	C+	20	56.77	-1	1	1	0	0
Futiakep	Nouka Atona	5	29	31	59	65	84	19	34	15	47	30	63	D	21	48.32	-1	1	1	0	0
University of Atapwa	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Atapwa	Olue Porewo	1	20	24	20	14	24	13	19	22	13	8	89	F	19	20.94	-1	1	1	0	0
Atapwa	Piri Lereŋ	2	48	59	14	21	23	38	29	42	37	90	92	D+	18	34.67	-1	1	1	0	0
Atapwa	Paekua Pitwa	3	23	20	27	10	14	7	17	5	13	78	89	F+	21	17.61	-1	1	1	0	0
Atapwa	Apu Tuni	4	7	13	27	19	19	6	54	9	6	25	50	D+	20	21.13	-1	1	1	0	0
Atapwa	Olue Pitwa	5	55	46	33	80	70	42	24	22	88	14	67	C+	20	51.97	-1	1	1	0	0
Atapwa	Piri Epi	1	65	86	30	10	17	21	28	46	9	24	107	C	19	28.90	-1	1	1	0	0
Atapwa	Paekua Atona	2	62	55	29	11	44	46	34	89	22	98	73	C	20	43.42	-1	1	1	0	0
Atapwa	Lekena Lereŋ	3	33	42	22	13	11	21	32	19	12	61	100	D+	18	23.07	-1	1	1	0	0
Atapwa	Piri Lome	4	32	30	25	41	29	32	17	16	51	75	52	D+	19	32.59	-1	1	1	0	0
Atapwa	Paekua Porewo	5	32	30	69	24	81	84	54	44	47	55	60	C	20	57.75	-1	1	1	0	0
Atapwa	Tise Pitwa	1	106	107	12	8	12	16	21	70	60	54	76	D	19	35.95	-1	1	1	0	0
Atapwa	Nouka Pitwa	2	85	81	35	20	29	53	43	53	35	75	100	D	21	44.41	-1	1	1	0	0
Atapwa	Tise Tuni	3	63	71	87	24	33	61	49	33	87	48	90	C+	21	57.76	-1	1	1	0	0
Atapwa	Lekena Atona	4	53	47	37	48	50	20	50	17	82	81	53	F+	20	46.14	-1	1	1	0	0
Atapwa	Apu Lome	5	31	37	40	37	43	25	28	23	20	10	78	D+	18	33.67	-1	1	1	0	0
University of Hinaika Oceanography Institute	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Hinaika	Olue Epi	1	32	35	42	21	12	38	33	40	16	48	54	D+	19	30.76	-1	1	1	0	0
Hinaika	Nouka Epi	2	28	31	27	9	24	16	26	48	28	89	93	D+	19	30.66	-1	1	1	0	0
Hinaika	Paekua Atona	3	15	10	17	6	6	22	10	6	17	22	90	D	18	16.77	-1	1	1	0	0
Hinaika	Piri Tuni	4	25	30	38	47	31	15	20	8	57	64	47	F+	20	34.23	-1	1	1	0	0
Hinaika	Oevu Lome	5	27	24	26	39	69	14	38	22	28	80	80	F+	18	37.06	-1	1	1	0	0
Hinaika	Olue Aq'aie	1	43	46	36	27	33	21	46	47	45	95	89	C	19	39.69	-1	1	1	0	0
Hinaika	Piri Lome	2	79	81	31	17	16	68	49	57	46	25	75	C	19	47.29	-1	1	1	0	0
Hinaika	Paekua Porewo	3	33	33	44	15	37	54	39	43	36	94	97	D	19	41.09	-1	1	1	0	0
Hinaika	Paekua Tuni	4	7	16	29	44	32	31	24	16	50	58	57	D	20	34.64	-1	1	1	0	0
Hinaika	Apu Atona	5	7	17	59	13	39	28	19	32	51	29	77	D	18	35.19	-1	1	1	0	0
Hinaika	Olue Epi	1	67	54	20	12	18	29	48	99	64	22	76	D+	19	48.38	-1	1	1	0	0
Hinaika	Piri Pitwa	2	18	26	19	10	10	37	59	29	54	45	66	C	18	37.09	-1	1	1	0	0
Hinaika	Paekua Porewo	3	35	57	54	16	39	44	29	62	39	21	74	C	20	41.80	-1	1	1	0	0
Hinaika	Oevu Porewo	4	41	26	70	40	15	51	28	38	29	70	100	C	21	42.05	-1	1	1	0	0
Hinaika	Nouka Tuni	5	46	63	42	74	105	29	36	12	17	87	60	C	18	49.22	-1	1	1	0	0
University of Auspikitan	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Auspikitan	Kudqoatlop Nide	1	49	45	22	16	14	45	22	90	80	82	89	C	19	48.97	-1	1	1	0	0
Auspikitan	Makiaipisi Fana	2	32	17	35	19	30	36	23	23	26	51	77	D	19	29.95	-1	1	1	0	0
Auspikitan	Aseqa Fekku	3	72	61	89	41	32	33	49	29	35	10	77	D	21	45.67	-1	1	1	0	0
Auspikitan	Otop Gekxakŋi	4	63	54	92	53	36	52	34	45	62	21	79	C+	18	56.05	-1	1	1	0	0
Auspikitan	Klegna Vokigei	5	11	15	12	36	30	44	11	39	8	31	68	F	20	26.81	-1	1	1	0	0
Auspikitan	Pezi Aivik	1	53	58	33	23	22	67	44	123	86	17	103	C	20	65.24	-1	1	1	0	0
Auspikitan	Nio Kivi	2	58	62	27	33	14	57	21	69	48	23	57	D+	20	42.73	-1	1	1	0	0
Auspikitan	Dezik Fekku	3	52	44	45	25	74	52	88	32	22	94	56	F+	22	47.00	-1	1	1	0	0
Auspikitan	Eiqe Depazeoni	4	76	64	55	41	28	50	25	44	89	96	60	D+	20	49.71	-1	1	1	0	0
Auspikitan	Nio Depazeoni	5	35	30	60	48	75	29	22	22	41	30	86	D+	19	45.53	-1	1	1	0	0
Auspikitan	Einep Abu	1	43	43	13	10	7	14	41	42	45	53	46	D	18	29.00	-1	1	1	0	0
Auspikitan	Iveo Vuki	2	76	46	57	24	18	22	45	91	60	58	106	D+	21	53.09	-1	1	1	0	0
Auspikitan	Kipana Kateni	3	54	61	36	32	36	43	105	36	54	37	85	D	20	51.29	-1	1	1	0	0
Auspikitan	Ivi Vokigei	4	49	50	85	59	50	77	31	27	58	8	93	C+	21	58.71	-1	1	1	0	0
Auspikitan	Oiŋi Finapeke	5	50	56	69	101	91	64	81	35	89	70	97	D	21	77.14	-1	1	1	0	0
University of Alteus	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Wyverncliff	Daniel Vuchko	1	76	81	46	8	23	42	69	42	17	28	48	D	18	38.02	-1	1	1	0	0
Wyverncliff	Alex Wells	2	83	90	42	39	34	65	22	50	23	55	49	C	18	40.08	-1	1	1	0	0
Wyverncliff	Yoade McBob	3	28	28	46	11	44	27	30	40	74	21	59	D+	19	41.13	-1	1	1	0	0
Wyverncliff	Brian McSteve	4	38	39	25	24	27	20	26	14	45	75	49	F	21	28.12	-1	1	1	0	0
Wyverncliff	Travis Wells	5	45	37	47	49	104	47	57	42	87	44	74	D+	21	62.33	-1	1	1	0	0
Wyverncliff	Quinten Perch	1	61	73	37	17	26	69	71	92	35	63	98	D+	19	56.06	-1	1	1	0	0
Wyverncliff	Bob Byrne	2	66	66	30	8	40	51	24	54	63	15	69	D	21	43.59	-1	1	1	0	0
Wyverncliff	Bob Wilcox	3	100	114	68	11	39	67	13	35	89	83	56	C+	18	49.76	-1	1	1	0	0
Wyverncliff	Pat Wells	4	54	71	97	60	50	24	58	17	98	14	89	D	22	63.65	-1	1	1	0	0
Wyverncliff	Zac Perch	5	20	26	67	73	98	49	74	30	95	38	73	C	21	69.72	-1	1	1	0	0
Wyverncliff	Steve Svensson	1	83	94	44	10	86	54	72	149	71	19	56	C	19	71.37	-1	1	1	0	0
Wyverncliff	Thomas Hoover	2	59	59	32	21	17	42	53	30	51	54	93	C	18	41.37	-1	1	1	0	0
Wyverncliff	Alex Keaton	3	39	41	42	18	45	82	40	45	53	34	73	D	20	47.94	-1	1	1	0	0
Wyverncliff	Alex Vuchko	4	48	42	50	46	10	50	42	18	75	51	70	F+	18	45.32	-1	1	1	0	0
Wyverncliff	Travis Turner	5	24	26	21	35	33	24	24	17	48	85	54	F+	18	29.71	-1	1	1	0	0
University of Saelunavvk	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Solea	pukaktál lekeŋ	1	48	47	43	10	13	60	33	68	19	54	61	D+	19	38.98	-1	1	1	0	0
Solea	zepkék kitet	2	59	53	18	12	33	15	48	50	68	46	83	F+	19	40.95	-1	1	1	0	0
Solea	pekleɰ upaiktotgekóg	3	58	46	63	30	38	36	41	44	68	49	63	D	19	47.54	-1	1	1	0	0
Solea	napuk aiqík	4	49	50	53	46	44	25	56	27	87	88	89	D	19	52.44	-1	1	1	0	0
Solea	tikit' kuvkithet	5	26	17	52	52	46	25	60	12	10	34	69	D+	19	39.90	-1	1	1	0	0
Solea	zepkék kutap	1	76	91	26	39	12	53	16	78	53	76	73	D	19	44.48	-1	1	1	0	0
Solea	petgek leppakút	2	66	79	55	21	35	35	46	47	68	18	110	D	21	50.32	-1	1	1	0	0
Solea	petgek zaiqatpit	3	69	84	59	21	36	55	49	43	69	90	70	C+	20	50.21	-1	1	1	0	0
Solea	kekh pátélokain	4	68	86	91	78	42	63	99	23	148	28	80	C	20	82.37	-1	1	1	0	0
Solea	napuk pátélokain	5	75	75	49	41	62	20	21	43	32	45	64	D+	19	39.23	-1	1	1	0	0
Solea	ákpn áqál	1	88	80	6	17	46	84	90	91	39	67	59	B	18	57.86	-1	1	1	0	0
Solea	vaŋun tŋken	2	43	48	13	9	44	39	32	122	35	46	65	D	20	47.08	-1	1	1	0	0
Solea	pukaktál zaiqatpit	3	12	8	18	51	39	33	71	16	36	49	76	D	18	38.84	-1	1	1	0	0
Solea	zepkék zeinélak'	4	9	9	23	60	33	23	28	20	32	77	105	C+	18	35.74	-1	1	1	0	0
Solea	zepkék okepekít	5	66	56	68	78	98	36	38	36	48	14	65	D	19	58.71	-1	1	1	0	0
University of Nausicaa	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Nausicaa	Nàsà Cows	1	34	38	18	8	6	21	7	23	21	19	71	D+	21	19.22	-1	1	1	0	0
Nausicaa	Tapan Kanix	2	56	59	12	27	42	30	29	36	34	90	79	D	20	32.60	-1	1	1	0	0
Nausicaa	Mhasłanok Kánpovŕagá	3	27	34	11	15	11	23	21	18	12	77	83	F+	18	19.46	-1	1	1	0	0
Nausicaa	Ha Si	4	22	24	25	9	23	21	46	12	21	88	91	C	18	25.73	-1	1	1	0	0
Nausicaa	Kardo Cows	5	23	13	68	47	63	28	20	25	26	36	91	F+	21	42.68	-1	1	1	0	0
Nausicaa	Kĺokŕañhá Blamhákpwano	1	38	32	25	13	25	50	37	53	53	27	60	D	21	40.58	-1	1	1	0	0
Nausicaa	Vŕá Płońiblá	2	38	41	58	13	14	51	18	67	31	34	66	D+	21	40.60	-1	1	1	0	0
Nausicaa	Mom Slivókŕámhomhók	3	39	55	87	47	36	48	67	27	42	15	91	D+	21	52.47	-1	1	1	0	0
Nausicaa	Tapan Sikasbë	4	30	25	29	49	31	44	24	18	50	50	72	C+	21	37.99	-1	1	1	0	0
Nausicaa	Mazló Nasa	5	59	47	65	64	71	75	29	28	39	51	97	C	20	56.43	-1	1	1	0	0
Nausicaa	Sávákán Vanho	1	61	52	25	10	9	25	78	72	12	42	84	C	19	39.13	-1	1	1	0	0
Nausicaa	Tapan Sikasbë	2	77	73	29	38	45	36	37	62	32	84	54	C	19	40.65	-1	1	1	0	0
Nausicaa	Mi'ódá Zlánáḿ	3	93	93	35	44	92	78	73	28	69	67	105	D+	19	62.47	-1	1	1	0	0
Nausicaa	Kĺokŕañhá Qlámipanońqo	4	35	41	49	65	50	18	12	30	16	27	70	D+	19	36.78	-1	1	1	0	0
Nausicaa	Ḿavwápŕi Pámhóǵwá	5	21	25	55	52	48	31	30	29	37	64	70	D	18	41.34	-1	1	1	0	0
University of Noxium	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Nupa Kurit	1	41	42	18	7	18	14	8	60	40	92	53	C+	18	27.21	-1	1	1	0	0
Blaist_Blaland	Sopratyabla Kolau	2	44	50	56	11	17	46	39	44	49	27	62	D+	21	42.20	-1	1	1	0	0
Blaist_Blaland	Lato Tanpratia	3	25	27	10	15	35	21	36	57	40	71	67	D+	20	32.05	-1	1	1	0	0
Blaist_Blaland	Uxku Noxkol	4	33	43	46	26	19	34	17	34	56	90	71	F+	19	35.97	-1	1	1	0	0
Blaist_Blaland	Noxrit Idaso	5	9	5	12	11	16	16	18	15	24	7	52	F	20	17.32	-1	1	1	0	0
Blaist_Blaland	Sokolnox Zaxau	1	22	28	11	26	22	33	18	58	30	84	71	D+	20	31.38	-1	1	1	0	0
Blaist_Blaland	Lakolku Krofar	2	95	85	50	13	6	52	66	57	37	54	89	C	19	48.23	-1	1	1	0	0
Blaist_Blaland	Kuilikki Idaso	3	58	62	96	41	65	44	55	60	44	54	65	C	21	56.77	-1	1	1	0	0
Blaist_Blaland	Tansov Naixi	4	85	81	15	64	51	20	34	37	33	19	86	D	18	39.11	-1	1	1	0	0
Blaist_Blaland	Sopratyabla Kaxpa	5	15	17	24	71	40	53	23	58	34	73	75	C+	19	42.35	-1	1	1	0	0
Blaist_Blaland	Pratnoxpro Pasovya	1	78	73	33	31	13	48	35	68	61	21	60	C	19	45.82	-1	1	1	0	0
Blaist_Blaland	Blanoxium Kolau	2	49	45	5	14	23	30	18	21	75	36	82	D+	18	32.70	-1	1	1	0	0
Blaist_Blaland	Iix Lizaxium	3	52	40	40	14	20	30	22	50	38	84	59	D	18	32.38	-1	1	1	0	0
Blaist_Blaland	Nuux Zaxau	4	61	62	55	40	27	33	26	18	87	61	110	D+	20	47.80	-1	1	1	0	0
Blaist_Blaland	Farbla Proki	5	42	32	15	36	76	45	49	26	58	26	56	C	18	44.89	-1	1	1	0	0
University of Prokax	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Blanoxium Dazaxka	1	15	12	16	14	6	30	16	10	23	51	92	D+	19	21.41	-1	1	1	0	0
Blaist_Blaland	Kolnu Kukroda	2	22	25	29	32	23	11	28	31	50	41	51	D	18	30.56	-1	1	1	0	0
Blaist_Blaland	Kilik Ixau	3	32	27	36	29	12	24	30	31	43	44	68	D	20	31.88	-1	1	1	0	0
Blaist_Blaland	Nuux Ixau	4	13	8	24	10	16	6	8	7	14	71	86	D	19	16.71	-1	1	1	0	0
Blaist_Blaland	Autanblanaix Ritkropro	5	42	34	55	77	105	37	30	19	70	91	70	C	21	58.27	-1	1	1	0	0
Blaist_Blaland	Blalikki Uxyakro	1	51	47	16	5	21	63	43	95	38	78	85	F+	20	47.10	-1	1	1	0	0
Blaist_Blaland	Noxuxnaix Kaxfar	2	53	49	20	23	12	17	25	51	28	49	83	F+	20	30.22	-1	1	1	0	0
Blaist_Blaland	Sovtanzax Bla	3	36	34	31	27	20	52	49	48	46	15	47	C	18	39.46	-1	1	1	0	0
Blaist_Blaland	Danax Lizaxium	4	42	35	24	16	23	25	48	9	21	84	86	F+	18	27.09	-1	1	1	0	0
Blaist_Blaland	Sovtanzax Sovku	5	12	12	20	64	64	19	39	37	62	67	85	D+	18	44.48	-1	1	1	0	0
Blaist_Blaland	Uxproku Kuproku	1	57	60	24	7	22	87	33	111	43	56	80	C+	18	53.63	-1	1	1	0	0
Blaist_Blaland	Farbla Noxkol	2	54	47	25	18	27	74	30	32	17	58	84	D+	19	36.10	-1	1	1	0	0
Blaist_Blaland	Zaxix Auproda	3	106	111	64	26	30	30	115	84	60	43	62	C	18	59.14	-1	1	1	0	0
Blaist_Blaland	Ikkrosovi Kolpauxso	4	92	102	28	70	22	25	44	32	55	74	83	C	21	43.61	-1	1	1	0	0
Blaist_Blaland	Uxproku Dazaxka	5	24	20	32	58	85	41	31	18	10	65	83	C+	18	43.81	-1	1	1	0	0
University of Klanaxon	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Hjeki Kaxbla	1	88	91	28	13	19	22	36	67	17	45	53	F+	19	32.22	-1	1	1	0	0
Blaist_Blaland	Kolnu Kiixrit	2	64	79	37	18	40	67	33	50	30	73	86	C	20	43.62	-1	1	1	0	0
Blaist_Blaland	Nuux Naxkro	3	63	58	36	17	45	44	11	45	12	87	70	D	18	30.95	-1	1	1	0	0
Blaist_Blaland	Nukunaix Prokexov	4	28	31	13	12	24	28	9	13	29	8	60	F+	20	20.73	-1	1	1	0	0
Blaist_Blaland	Ixux Kurit	5	38	30	29	72	116	83	33	25	31	100	71	C	19	59.12	-1	1	1	0	0
Blaist_Blaland	Sokolnox Ikro	1	52	58	50	14	24	65	50	127	72	45	88	C	19	64.48	-1	1	1	0	0
Blaist_Blaland	Blanox Noxtan	2	72	64	43	27	14	57	55	56	35	38	97	C	21	47.48	-1	1	1	0	0
Blaist_Blaland	Uxku Kibla	3	79	80	19	33	22	44	70	59	67	71	63	D+	19	46.97	-1	1	1	0	0
Blaist_Blaland	Lakolku Ixau	4	62	66	55	23	30	7	15	14	27	26	88	D+	20	29.72	-1	1	1	0	0
Blaist_Blaland	Lato Noxkol	5	28	8	49	40	125	72	29	42	32	52	77	D+	19	58.30	-1	1	1	0	0
Blaist_Blaland	Kinox Ritkropro	1	22	29	16	16	14	63	24	111	17	70	81	C	18	42.73	-1	1	1	0	0
Blaist_Blaland	Blalikki Tanpratia	2	29	36	37	30	43	45	24	77	72	22	86	D+	18	51.09	-1	1	1	0	0
Blaist_Blaland	Nuux Naxki	3	46	47	74	29	48	74	44	28	69	98	72	C	20	54.21	-1	1	1	0	0
Blaist_Blaland	Lakolku Kipafar	4	24	22	33	43	16	31	30	23	46	90	68	C+	18	34.45	-1	1	1	0	0
Blaist_Blaland	Ikkrosovi Kiux	5	23	22	56	32	114	16	17	36	14	30	82	C	18	44.32	-1	1	1	0	0
University of Naxda	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Tonox Naxix	1	41	39	6	8	19	55	12	34	21	65	87	D	19	27.47	-1	1	1	0	0
Blaist_Blaland	Sovhjekax Bla	2	22	24	25	12	15	7	6	16	18	26	78	F	20	17.45	-1	1	1	0	0
Blaist_Blaland	Danaix Sovix	3	10	17	21	26	28	28	43	22	22	29	80	D	19	29.31	-1	1	1	0	0
Blaist_Blaland	Naxnoxsoya Proki	4	13	10	57	30	9	28	33	35	71	62	88	F+	19	41.37	-1	1	1	0	0
Blaist_Blaland	Tansov Uxyakro	5	30	18	54	32	56	11	27	39	25	100	75	D	21	36.23	-1	1	1	0	0
Blaist_Blaland	Zax Kibla	1	99	85	34	7	16	76	40	63	51	40	58	D	19	47.06	-1	1	1	0	0
Blaist_Blaland	Kudapa Lizaxium	2	38	47	39	9	55	40	59	81	20	37	95	C+	19	47.50	-1	1	1	0	0
